Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"He has also worked with local people and schoolchildren and some of the text is incorporated into pavements and walls elsewhere in the initiative. back to top Key Issues Shared vision The time which the members of the design team - architect, landscape architect and public art consultant - gave to developing a trusting relationship, was essential in giving rise to a shared vision and allowing for a free interchange of ideas.",m,0,1,0,0
2,"ENTRY REQUIREMENTS Estates Managers may need to have chartered status (for example as an engineer, architect or surveyor ).",u,0,0,1,0
3,Springer Dutch landscape architect.,u,0,0,1,0
4,"An architect by training, Mr Dubowitz has established himself as a specialist public arts project manager and has worked on projects including Crown Street in Glasgow''s Gorbals area.",m,0,1,0,0
5,"This is a plan drawn up by the architect, James Brown of Innerleithen, for an extension to the house in 1831.",m,0,1,0,0
6,"Sir James, who eventually inherited the moiety, diplomat, courtier, soldier and renowned military architect, is one of the most fascinating men of the period.",m,0,1,0,0
7,The architect patted his dog and gave him a biscuit.,m,0,1,0,0
8,"A sailor, as well as a countryman with an interest in ornithology and ecology, he also practised as a naval architect and owned several yacht-yards, resulting in the construction of nearly one thousand boats and yachts.",m,0,1,0,0
9,"Register House is built to a design by Robert Adam, and according to the account in Modern Athens, the book that contained the above engraving, is ""considered to be the most beautiful work of that eminent architect.",m,0,1,0,0
10,"Measurements of Success 6.1 In the short-term, during the financial year 2000/01 the measurable outcomes are The establishment of a training programme, led by the City Architect, to inform departments about applying the Design for Access Manual Setting up a Multi-department Officers'' Group on Accessibility, facilitated by Environment and Development Establishing an Access Review Forum, facilitated by Environment and Development, with significant external representation from disabled people and their organisations, as well as appropriate representatives from the City''s business community Through the mechanism of the Officers'' Group and the Access Review Forum, creating an agreed Action Plan to deliver the Access 2000 Strategy 6.2 Year upon year, the degree of success in achieving the Strategy will be judged by the",u,0,0,1,0
11,"That said, I have rarely seen such an odd looking station (possibly Smethwick Galton Bridge - but that station is odd in a good way) - the architect was obviously amusing himself when choosing both building materials and the overall structure of the station building.",m,0,1,0,0
12,"There are now four arbitrators in the wings, ready and willing to correct fundamental errors of adjudication: a surveyor, an architect, an engineer and a lawyer.",u,0,0,1,0
13,"situated on the east facing slopes west of the river, Bryn Terrace, Pleasant View and Brondeg Street in Cwm Waun-newydd and a small amount of ribbon development i.e. Furnace Road and Margaret Street, the settlement includes a church, Holy Trinity (EM Bruce Vaughan, 1882-3), post office, hotel, chapels and Pontygwaith station on the Taff Vale Railway; opposite on the eastern side of the valley are the linear terraced houses of Stanleytown, eighty of which were erected by the Stanley Building-club in 1895, TR Phillips of Pontypridd the architect (Newman 1995), and consists of Upper, Middle (colliery-built houses, include 10 on Middle Terrace constructed by David Davies and son) and Lower Terraces.",u,0,0,1,0
14,Kemble carried out some improvements to the house (his initials can be seen on railings that used to be part of the bridge over the mill stream at the entrance) but is best known for dealing with the restoration of Bath Abbey 1864-74 using George Gilbert Scott Junior as architect.,m,0,1,0,0
15,"""Olympic"" pool, it was not designed or built as such. 1.1.4 It was the decision of the Council to reduce the design width of the pool which led to rumours that the pool was not big enough for competitions, a myth which has been chinese-whispered into a number of variations, the most prevalent, but incorrect, being that the pool was built too short. 1.2 A 25 year prejudice 1.2.1 Five years after it was built, in 1972, the City Council launched a £278,000 claim against the architect for allegedly failing to include a vapour barrier in the roof. 1.2.2 By 1978, ten years into its life, the pool was exhibiting certain signs of wear and tear, which led the Director of Leisure Services at the time to state that it might have to be demolished.",u,0,0,1,0
16,"The architect, planner and builder was William Parker of Henley.",m,0,1,0,0
17,"The Architects Act, which protects the term ""architect"", should be repealed.",u,0,0,1,0
18,Richard Cass Architect and landscape architect.,m,0,1,0,0
19,"New Concordia Wharf was among the first dock buildings to be converted to residential use in London carried out by the 23 year old Andrew Wadsworth in 1980 while the garden village conservation area by St Saviours Dock, also has striking new buildings such as China Wharf by Piers Gough, the architect of The Circle towards the west.",m,0,1,0,0
20,"Architect commissioned structure for showing video at Le Parvais, France. related resources Features: - The hole of France: Part 2",u,0,0,1,0
21,"H.G. was the first ever commission made in Britain by acclaimed US theatre artist Robert Wilson and his long-term collaborator, sound and light architect Hans-Peter Kuhn.",m,0,1,0,0
22,Eclectic mix of art works in the house designed and lived in by architect Sir John Soane.,m,0,1,0,0
23,"Architect Joshua Bolchover, local curator for the Manchester/Liverpool section of Shrinking Cities, says: ""The idea is, I think, to work towards an urban design toolkit for these kinds of places.",m,0,1,0,0
