Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"The Moderator''s personal assistant, Sue Wilkinson, who has kept the Synod in order for nine years and served the Church in many ways for longer, retired from the Synod office in 2006.",f,1,0,0,0
2,"There is very nearly five hours from the partner, two hours for the assistant and trainee.",u,0,0,1,0
3,Can my personal assistant take me out?,u,0,0,1,0
4,The consultation involved a one-to-one discussion between a trained research assistant and participant lasting 30 minutes.,u,0,0,1,0
5,Service Development Through 1998/1999 I had been experimenting on how to export my work as a Clinical assistant in addiction back to general practice and learnt from my mistakes.,u,0,0,1,0
6,"When the home care assistant arrived on 10 June, she found Mrs X on the floor of the shower room, with a cut to the head.",f,1,0,0,0
7,"It is also deserving of particular notice that at two of the great works,- the Gartsherrie and the Coltness - the proprietors have provided further spiritual superintendence expressly for the population collected round the works ; in the first case, as an assistant to the minister already provided by the liberality of the proprietors, the Messrs. Baird.",u,0,0,1,0
8,"As assistant to Lennie Lawrance, Ian helped Cardiff into Division One in May 2003.",m,0,1,0,0
9,"Because the intranet is just another web site, members can access it from anywhere they wish - from the office computer, from home computer, from a public library, from a hotel whilst travelling internationally, from a personal digital assistant (e.g. iPaq, XDA etc).",d,0,0,0,1
10,""" Usanee Jangeon, Father Joe''s assistant, a Buddhist nurse who trained at St Thomas''s Hospital in London, shows me round.",f,1,0,0,0
11,The classroom assistant is able to keep a group on task in a way that would be hard in a whole-class context . As the teacher explains: We are timetabled for two consecutive days each week.,u,0,0,1,0
12,They occasionally serve when trade is slack if the manager and his assistant happen to be in another part of the house when customers come in.,u,0,0,1,0
13,"Events Mrs Sandra Knappett a nursing assistant at Calderstones in her evidence stated that on the morning of 31 October 1985, she received a telephone call from a man, who did not identify himself, asking if two residents Marjorie T and Dorothy P could have tea with a Margaret S, a former resident at the ward at Calderstones, and then at her home at Glencairn, Padiham, being a private residential care home.",f,1,0,0,0
14,"But the referee''s assistant on the far side, who was close to being in line with the goal, signalled the ball had crossed the line and Mr Ilderton awarded a goal.",u,0,0,1,0
15,At one time he had worked as a fieldwork assistant for a Canadian pro- fessor who was studying folklore in the region.,m,0,1,0,0
16,"During the summer months, there is a lock keeper and an assistant on duty at the locks.",u,0,0,1,0
17,"Both the Catholic and Anglican Bishops, not unnaturally, trace their line back to St Felix, Bishop of Dunwich, and the Suffolk Anglicans even created a new Bishop of Dunwich as suffragan assistant to their Diocesan Bishop of St Edmundsbury and Ipswich, when this Diocese was carved out of Ely and Norwich in 1912.",u,0,0,1,0
18,"We are always grateful to anyone who can lend a hand, whether it is someone who is interested in becoming an assistant, or simply a regular helper.",u,0,0,1,0
19,"'' asked Miss Kinder''s assistant, who had a moustache and a motorbike.",u,0,0,1,0
20,"The front room on the ground floor was occupied by J A Iggulden, Stephens ''indoor'' assistant, the principal clerk and two assistants.",u,0,0,1,0
21,"Modise was addressed in our presence as ''my Father'' by his most senior assistant, Reverend Mphulo, a man at least in his sixties.",m,0,1,0,0
22,"His assistant had to take over, you know.",u,0,0,1,0
23,"The third year will be spent in a French-speaking country, either as an English-language assistant at a school or as a university student.",u,0,0,1,0
24,"Of course nobody but Deronjic saw this, he had already sent his assistant away.",u,0,0,1,0
25,"""I am convinced that the courses helped me with my application to become a care assistant,"" said Paulette Wright.",f,1,0,0,0
26,"Cliff Uney joined us to job share with Bebe Clement when she returned from maternity leave. 71 Sam Wines, ULF project manager and Harry Burke, administration assistant, are both on one year fixed-term contracts working on the rail union learning fund project. 72 Several employees left TSSA during the year.",m,0,1,0,0
27,""" ""Yes, of course"" - answered the shop assistant - ""We have a lot of books of Marx.",u,0,0,1,0
28,"Unfortunately, only seven entrants actually entered the contest and one of those â€"" the president of the Aeronautical Society himself â€"" had to withdraw because his assistant failed to arrive with wire needed for his kite.",u,0,0,1,0
29,"That evening, in a suburban London mansion house, Von Hoosen''s Renfield-like assistant, (Ian Wilson), wakes his master from daytime slumber and for the first and only time on film we actually see Bela rise and step out of his coffin.",m,0,1,0,0
30,GA: You worked with a number of very important filmmakers when you were an assistant.,u,0,0,1,0
31,"When he left school, Lazarus became the assistant to Charles Godfrey, the Bandmaster of the Coldstream Guards and one of the major figures in the history of military music in England.",m,0,1,0,0
32,In Moscow teachers earn a little more but even working in two positions as both a teacher and educational assistant (an 8am to 6pm job) they earn less than cleaners in banks or commercial offices.,u,0,0,1,0
33,Well-trodden territory but at salomon brothers that such searches a research assistant.,u,0,0,1,0
34,"Other rarities are John Halfpenny''s The gentleman''s jocky (London, 1671), Matthew Allen''s The farrier''s assistant (London, 1737), and John Bradstreet''s The farmer''s request (Norwich, 1730).",u,0,0,1,0
35,She agreed and thereafter worked as a care assistant so far as the Respondents were aware she remained manager of the home until Mr Rowbottom informed them she had left in mid November.,f,1,0,0,0
36,"A young research assistant is killed (Christie) when she touches these plates, and this is quickly followed by a second genetic code, which rapidly grows into a replica of the dead assistant (again played by Christie ).",f,1,0,0,0
37,"Within these lessons they used a mixture of whole class interactive teaching and small group guided work, with occasional individual teaching usually undertaken by a classroom assistant or volunteer helper.",u,0,0,1,0
38,Scout assistant and national center for paper on january had preceded him.,u,0,0,1,0
39,"These can range from the nursery assistant, with few or no formal qualifications, through to management level, or working as a childminder or a playworker.",u,0,0,1,0
40,This project will involve the senior auditory physiologist with support from a research assistant.,u,0,0,1,0
41,"G.A. Purdey, Christian''s assistant, suggests, Nov 26 th 1877 , ""could you not get the whole range done and charge the cost of each one to persons wishing to put up a memorial tablet?",u,0,0,1,0
