Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Clichéd as it might now be, back in the ''80s, sitcoms did consist of 2.4 children, and the boss coming round for dinner.",u,0,0,1,0
2,The Dutch striker is reported to have fallen out with boss Sir Alex Ferguson.,m,0,1,0,0
3,"Bluebirds boss Lawrence saw the Republic record a 2-1 win over Australia at Lansdowne Road on Tuesday - and believes the Irish manager, Brian Kerr, should have included the City midfielder in his squad.",u,0,0,1,0
4,And the Gers boss has urged his players to focus on the match in Italy as they prepare to take on the Israeli team.,m,0,1,0,0
5,"Annabel could shoot reference pictures or even video clips of a location on her camera, edit them on her laptop, then e-mail the best from her smartphone to the boss without returning to the office.",u,0,0,1,0
6,"This story of lust, greed and homicide establishes an authoritative grip from the moment brash, weak insurance salesman Walter Neff (Fred MacMurray, then a popular light comedian and all-American regular guy) starts to record his confession of fraud and murder on an office dictaphone for his boss and conscience-keeper, Barton Keyes (Edward G Robinson).",m,0,1,0,0
7,"""We also feel that when ordinary people fight back against the system - be that your boss, the local council or some multi-national company - they need to be supported.",u,0,0,1,0
8,"The character is Henrys boss, Miles (that is the name on the official ""Bruiser"" site , but is pronounced ""Meelo"").",u,0,0,1,0
9,"In an effort to alleviate the summertime suffering of the multitude of hacked off students across the country, Van Mildert Web Committee has put together a list of our favourite online games to play whilst your boss is not looking...",u,0,0,1,0
10,"Press speculation had suggested that Jones was being lined up to take charge at Pride Park, with caretaker boss Terry Westley''s future still in doubt.",m,0,1,0,0
11,His boss (Geoffrey Keen) gets cross with him when reports start getting wrongly numbered.,m,0,1,0,0
12,"But Haven boss Rotheram pointed to his team also being below full strength, with skipper Aaron Lester and try machine Craig Calvert among the absentees. â€œLook whatâ€TMs sitting in the stand for us â€"" Baynes, Jackson, Lester and Calvert â€"" blokes who would normally be in our best 17,â€? he said. â€œHull KR had boys missing, so what.",u,0,0,1,0
13,Carole Nash marketing boss Warren Dickson says the company is glad to be on board.,m,0,1,0,0
14,The steering wheel is particularly well shaped for a comfortable and confidence inspiring grip and features a very handsome enamel type red and white MG badge on the boss.,d,0,0,0,1
15,"But at the same time I was auditioning the Bee Gees and wanted them as well, but the boss didn''t like them so didn''t sign them on, much to people''s sorrow later on.",u,0,0,1,0
16,"Grant bagged his second ten minutes later to bring the score to 2-2, but it wasn''t until the 90th minute that they took the lead, with Ryan Scott assuring Aldershot boss Terry Brown of all three points.",m,0,1,0,0
17,"Keenan says, ""I suspect a male boss may listen more to the hard benefits you''re bringing to the company, whereas a female boss may be more interested in your skills and how well you get on with others.",u,0,0,1,0
18,When you answer this question provide an answer in a way that you think you would like your boss to actually think of you.,u,0,0,1,0
19,"Country News - 2002 Archive: [ 2006 ] [ 2005 ] [ 2004 ] [ 2003 ] [ 2002 ] [ 2001 ] [ Have your say ] Knighthood for countryside boss Tuesday 31 December 2002 THE CHAIRMAN of the Countryside Agency, Ewen Cameron, has been granted a knighthood in the New Yearâ€TMs honours list, it was announced today. £50,000 to save Uist hedgehogs Monday 23 December 2002 IN a remarkable act of Christmas charity, animal-lovers have raised £50,000 to save 5,000 hedgehogs condemned to death on the Scottish island of Uist - but it is still not enough.",m,0,1,0,0
20,EX-OFT CHIEF''S CALL FOR NEW SUPERMARKET PROBE WELCOMED A CALL by the former boss of the Office of Fair Trading for a new investigation into the dominance of Britain''s supermarkets has been welcomed by the Farmers'' Union of Wales.,u,0,0,1,0
21,""" Restaurant Manager ""I''ve told the boss no end of times that we need better safety labelling and more staff so I can supervise and train properly.",u,0,0,1,0
22,"Tuesday, December 03, 2002 @ 7:17 AM yet again, i have added further unnecessary trauma to my life.... last night, i pulled mr boss man... aaaghhhh... stop it ! k x 9 Comments is there anybody more behind than me......?",m,0,1,0,0
23,"Carlisle boss Paul Simpson had reportedly agreed a five-figure fee for the Ivory Coast-born striker with his Weymouth counterpart Garry Hill, but Nade has said that he will only make a decision in the summer.",m,0,1,0,0
24,After the race he was seen in a shouting match with his team boss and pit chief.,u,0,0,1,0
25,Bolton boss Sam Allardyce admitted he is a big fan of the 30-year-old and is optimistic a deal can be agreed before the weekend.,m,0,1,0,0
26,"Middlesbrough vs Arsenal is a logical first choice of match - new boss for the home team, new players for the visitors.",u,0,0,1,0
27,"Stephen McCormack reports John Brennan: ''Judge me by what I deliver'' Published: 05 June 2003 The mild new boss of the college employers'' association wants results but not confrontation, writes Nadine Cartner Theatre of dreams Published: 05 June 2003 Paul Rhodes left school at 15.",m,0,1,0,0
28,"Boss Roy McFarland could be without Derek Niven, however, as the midfielder sustained a back injury in Saturday''s 3-2 defeat at Port Vale. 20th August 2006 Match Reaction Wolves boss Mick McCarthy admitted his long pursuit of Jemal Johnson was well worth the wait after his debut goal secured three points in the 1-0 win at Burnley.",m,0,1,0,0
29,The boss knew the 19-year-old was playing the night before but did not tell him until Saturday to lessen the shock.,u,0,0,1,0
30,"However, Harriers boss Watkiss is believed to be keen on playing the Reading man on the right hand side of his defence.",u,0,0,1,0
31,Also in the movie is Hugh Grant who is great as the slimy boss.,m,0,1,0,0
32,"Unfortunately when Sally got there, it seems that Ian had briefed her new boss on exactly where Sally''s skills lay and it wasn''t her words per minute.",u,0,0,1,0
33,""" It was actually then Hammer Powell who recommended left-back Paul Konchesky to West Ham United boss Alan Pardew last summer, and his younger teammate''s move pre-empted Powell''s own switch back through the Blackwall Tunnel.",m,0,1,0,0
34,And former BBC entertainment boss Paul Jackson will be there to take part in a discussion about the links between comedy and mental health - and the use of comedy in challenging stigma.,m,0,1,0,0
35,By Jonathan Wilsher - Evening Post Swansea City boss John Hollins will be telling his Second Division strugglers to make their mid-table move at Northampton tonight – before it''s too late.,m,0,1,0,0
36,Kujo wins the game - contestants have to lean from railings then let go and see how many times they can clap before grabbing the railings again - and consequently is appointed as the ''boss'' of his school''s senior year.,m,0,1,0,0
37,"November 2004 : Derby County should not feel too downhearted about their narrow defeat at the hands of Sheffield United. more """" Rams tickets for last half of season 23 November 2004 : The festive period is almost here - and Rams fans have a chance to win themselves a super Christmas present. more """" We''re still looking up 22 November 2004 : Jeff Kenna says Derby County can take defeat by Sheffield United on the chin and bounce back to challenge for a play-off place this season. more """" We lacked our spark, admits boss Burley 22 November 2004 : George Burley felt his Derby County team lacked their usual spark as they slipped to a first defeat in six Championship games, writes Steve Nicholson. more """" Warnock hard work no shock for Pesch 22 November 2004 : Paul Peschisolido spent almost three years under Neil Warnock and wasn''t surprised his old boss had done the necessary homework to go back up the M1 with all three points on Saturday. more """" Blades'' tactics simply too well honed for the Rams 22 November 2004 : Manager George Burley was proved right",m,0,1,0,0
38,"Promotional cards will also be distributed at this weekend''s In The City convention event in Manchester. -------------------------------------------------- APPLE DON''T SEE NEED FOR CONVERGENCE Talking of iTunes, and senior Apple boss has joined the device convergence debate by saying he thinks there is nothing wrong with his company making players that will only play tracks from his download platform.",m,0,1,0,0
39,He finds that he is only welcome at the European clubs when he is accompanied by his European boss.,u,0,0,1,0
40,"However, Addicks boss Keith Boanas is well aware that Birmingham have not played to their potential so far and is expecting a difficult match.",m,0,1,0,0
41,"In any case, in Britain today every kind of boss gets showered in riches.",u,0,0,1,0
42,"Latest News From Ewood In Brief Aussie pair have two weeks to decide Blackburn boss Mark Hughes has told Australian duo Lucas Neill and Brett Emerton they have two weeks... more "" Gunners Heading For Shawbridge!",m,0,1,0,0
