Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Indeed, he felt that what had made AA successful in his case was that he entered a room where regardless of their status, from consultant surgeon to builder, everyone was equal.",u,0,0,1,0
2,Then Christ is the choice builder who makes all the stones of the house cement compactly together.,u,0,0,1,0
3,"Applicants should have previous experience with either a house builder or local authority in the supervision of adoptable roads, sewer works and ideally foundations.",u,0,0,1,0
4,Good job the builder was handy when we first opened the door and immediately shouted his name.,m,0,1,0,0
5,"The game itself is excellent fun and certainly one of the best city builder games that doesn''t begin with the word, ""Sim"", but, there is always a negative.",d,0,0,0,1
6,This relief is not by way of a refund and is given by allowing the builder to zero-rate his services.,m,0,1,0,0
7,"Get one famous gardener (Alan Titchmarsh), one hulky builder (Tommy Walsh) and a red-headed water garden specialist who was happy to do all the work with neither bra nor complaint.",m,0,1,0,0
8,is what you get were can i find out how to make my own web site find me an ecommerce do it yourself site where can i find a web page template where can i find out how to start my own web site where can i find a banner for my website where can i find how to make a website where can you find a web on how to make your own page where can i find out how to design my own web site how do i find out about starting my own buisness find me web builder software find ecommerce templates find how to make my own web site i can i find my own website to create find how to make my own website where can i find out about creating a web site find me web design software were can i find to make my own website where can i find out how to create my own website were can i find a companys that build web site in the uk,d,0,0,0,1
9,"Seydou did find work recently, helping a builder, but never actually got paid for it.",u,0,0,1,0
10,"We had evidence from Mrs Franklin a next door neighbour, a Mr Kendall, a builder doing work for Mrs Canning for 12 months.",m,0,1,0,0
11,"Lots of free information, builder photos, bulletin board, Free Newsletter & More!",u,0,0,1,0
12,"We decided that rather than suffering the headache of sourcing a new builder, we should try to guide the builder we''d already chosen towards the materials and techniques recommended by the auditors.",u,0,0,1,0
13,So which Dutch barge and which boat builder to choose?,u,0,0,1,0
14,"In a traditional setting, the entire community would provide food and palmwine for the master builder.",u,0,0,1,0
15,Agreeing on the new partitions and extra storage we need to complete our elegant new offices just off Grey Street prompts me to ring my house builder to check progress.,u,0,0,1,0
