Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Regarding Keller and Trotter, for example, both have received the James Beard best chef in the country award and of the books attributed to these two chefs, I much prefer the two from Keller than the three from Trotter which I have reviewed.",u,0,0,1,0
2,"Celebrity chef Delia would make Britain''s best mum, ahead of Judy Finnigan and Melinda Messenger.",f,1,0,0,0
3,"In preparation of this Report members of the Commission consulted many leading authorities on euro issues including: Mr Eddie George: Governor of The Bank of England, Professor Willem Buiter: Monetary Policy Committee, The Bank of England, Professor Charles Goodhart: Monetary Policy Committee, The Bank of England, Professor Hans Tietmeyer: President of the Bundesbank, Mr Tomasso Padoa-Schioppa: Executive Board, The European Central Bank, Mr Xavier Larnaudie-Eiffel: Chef du Cabinet to Yves-Thibault de Silguy, EU Commissioner for Economic and Financial Affairs, Brussels, The Chairman, Morgan, Stanley, Dean, Witter (Europe) Ltd. We thank all these who gave so freely of their valuable time.",m,0,1,0,0
4,"Books Surfing the Menu, 2004, BBC Publishing Displaying 1-20 of 62 recipes by Curtis Stone Page 1 2 3 4 Next Search recipes for this chef Apple Tarte Tatin Artichoke and Avocado Salad with Truffle Vinaigrette Asian Spiced Halibut Asparagus with Brown Butter, Aged Pecorino and Summer Truffle Blueberry Crème Brûlée Butternut Squash Gnocchi with Wild Mushrooms and Rocket Cappuccino of Mushroom Carpaccio of Pineapple with Black Pepper and Ice Cream Char-grilled Pork Cutlets with Roasted Peppers and Sautéed Potatoes Chargrilled Baby Octopus Salad Chicken and Sweetcorn Soup Chocolate Coffee Fondants Chocolate Fondant with Raspberries Chocolate Orange Tart Compote of Red Berries with Vanilla Ice Cream Courgette Flowers Stuffed with Ricotta and a Balsamic Reduction Deep-fried Sole Fillets with Pak Choi and Chilli Mayonnaise Dover",u,0,0,1,0
5,"THE BEST August 3, 2004 16 out of 20 found this review helpful As a chef i found that this is possably the best cook book ever writen and i belive that any one interested in food at all should get a copy A simply divine book.",u,0,0,1,0
6,"That evening at dinner we met Leki, the camp chef who was to look after us for the next three days on the Lingmethang road.",u,0,0,1,0
7,"This stylish boutique-style hotel has gained a reputation for fine cuisine under the supervision of head chef, Nick Seckington, who has worked for Raymond Blanc at Le Petit Blanc and Anton Mossiman at Mossimans.",m,0,1,0,0
8,"It also more than justifies the later, much more graphic scene in which Michael, Ben and Joe, high on E, break into the house of a celebrity TV chef (Michael Howe) who has just moved into the area with his wife.",m,0,1,0,0
9,"A renowned food writer and chef, she loves good food and is passionate about sharing her knowledge.",f,1,0,0,0
10,"""Autumn is known as the real chef''s season, when fruit and vegetables are at their ripest and lamb at its tastiest"" says celebrity chef Nigel Slater, so here are a few of his guidelines to help you enjoy food as the weather cools down and the Aga heats up: Meat: Autumn lamb is available until the end of October and generally produces a better flavour than the strangely more popular spring lamb.",m,0,1,0,0
11,"Salmon, shellfish, game and Angus beef are specialities here, and all are used with verve and imagination by their award winning chef.",u,0,0,1,0
12,"With an enthusiastic, dynamic chef and menu to compliment this restaurant could be a hit, but sadly, with our party it wasn''t. - Name: Sam - Date: Saturday 1st April 2006 23:23 Thanks for the review Karl.",u,0,0,1,0
13,Business in the was a better pampered chef home to reclassify contractors.,u,0,0,1,0
14,January 2003 Pub chef of the year award won by Williams Arms in Wrafton.,m,0,1,0,0
15,"Shane, who is a qualified chef and has a good understanding of the fruit and veg he sells, said: ""The survival of markets today is dependent on quality stalls offering quality goods and friendly service.",m,0,1,0,0
