Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Even Brian Harrison, the Stroud coach who kindly accepted our invitation to officiate as Referee, expressed his admiration at the numbers of swimmers who entered, the times achieved and above all the friendly but competitive atmosphere.",m,0,1,0,0
2,"If this behaviour continues to disrupt the session, following discussion with the accompanying teachers, the facilitator will stop the session and arrangements will be made for the coach to collect the school party early.",u,0,0,1,0
3,Whats Included Return travel by luxury coach * Two nights accommodation in Brussels * Sightseeing tour * Day excursion to Brugge * Services of a Tour Manager.,d,0,0,0,1
4,"Visitors can also enjoy the deer park, large walled gardens, coach and carriage collection, woodland adventure playground, picnic area and gift shop.",d,0,0,0,1
5,"Needless to say, the coach gave up on me.",u,0,0,1,0
6,"The veteren midfielder spent the next two years at Shrewsbury, before becoming player/coach at Harrogate Town in the summer.",u,0,0,1,0
7,"April . These vehicles are registered YN06 MXR-Y . Re-registered during March were Volvo B12M W100 TEN to FE02 FCC , Leyland Olympian 760 BUS to B782 FOG , Leyland National Greenway JIL 2199 to UHG 736R and Bristol VRT WJI 2849 to JWV 273W . Leyland Olympian Coach B782 FOG (B107 LPH) has been withdrawn and sold along with the remaining Iveco Euroriders FG03 JAU , FG03 JBU , FG03 JCU , FN52 GVE and FN52 GVF . Also withdrawn are Volvo B12M / Jonckheere Mistral FE02 FCC and Volvo B7R / Jonckheere FE02 FCA . The coach fleet is now 100% Volvo for the first time.",d,0,0,0,1
8,Parking Car parking and coach parking facilities are available for a small fee.,d,0,0,0,1
9,June 20 : Former player news: Noel Whelan looks set to be shown the door at the Riverside - new coach Steve Maclaren doesn''t see him fitting into his side (no doubt he''s intending to build his team around Brian Deane).,m,0,1,0,0
10,Three new players come on court and volley feed their ball to the coach and the drill continues.,u,0,0,1,0
11,"In the 4Bep units, the Trailer Second coach was replaced by a Trailer Buffet (TRB).",d,0,0,0,1
12,""" Longleat also provides free coach parking next to its main attractions area, free passport tickets, meal and drinks vouchers for all coach drivers.",d,0,0,0,1
