Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded,
1,She was made redundant and then employed as a cook at Dyke Nook Childrenâ€TMs Home until her retirement in October 1996.,f,1,0,0,0,
2,"Reg. (Bur.), Bailllie''s Lett., Steven''s High School.] 1663 . john cook, A.M., took his degree at the Univ. of St. Andrews in 1648, pres. by James, Earl of Home,-------, ord. and coll. 21st July, and adm. 25th Aug. 1663.",d,0,0,0,1,
3,"While she was trying to fix on one, the cook took the cauldron of soup off the fire, and at once set to work throwing everything within her reach at the Duchess and the baby –the fire-irons came first; then followed a shower of saucepans, plates, and dishes.",f,1,0,0,0,
4,"Well, monks, that wise, experienced, skilful cook has perquisites of clothing, gratuities and offerings.",u,0,0,1,0,
5,"As for the cook book, I could do without it; yes, indeed.",d,0,0,0,1,
6,"When the meat is brown add the leek, cook for a further five minutes then gradually introduce the stock and ale and add the horseradish, stir regularly.",d,0,0,0,1,
7,"It was the first cook book I bought, and I still return to it time and time again.",d,0,0,0,1,
8,Safe food storage and handling 1 Thoroughly cook all raw foods. 2.,d,0,0,0,1,
9,"Food Hygiene ALWAYS wash your hands before starting the cooking wash salads and vegetables thoroughly ensure that tongs, skewers and forks are spotlessly clean ensure that the barbecue grill is thoroughly cleaned after use use separate utensils for raw and cooked food defrost frozen meat and poultry fully before cooking (ideally defrosting should be carried out in the fridge) keep raw and cooked food separate cover all food to protect it from insects and dust keep meat, salads and other perishable foods in the fridge until you are ready to use them - a cook box is suitable if a fridge is not available pre-cook poultry and then barbecue cook poultry, sausages, burgers and chopped or minced meats until the juices run clear General Barbecue Safety site the barbecue away from fences, trees, hedges and wooden sheds choose a sheltered, level spot NEVER use petrol or paraffin on barbecues.",d,0,0,0,1,
10,"Later the doctor''s cook, Behari, informed me of the doctor''s response: ""Abdul Haqq''s salary will not be increased because of baptism!",u,0,0,1,0,
11,Rani is a superb cook and served us some amazing food.,u,0,0,1,0,
12,"""Heat"" is the story of an amateur cook surviving - or, perhaps more accurately, trying to survive - in a professional kitchen.",u,0,0,1,0,
13,Suzan johnson cook spokeswoman for carnival it''s not enough.,d,0,0,0,1,
14,"It was completely quiet, the owner was an excellent cook, and there was the most adorable toddler who lived there, whose name was Dana.",u,0,0,1,0,
15,"Falmouth Negotiable Sep 16th 67 Cook AGE CONCERN ST JUST and PENDEEN Fore Street, St Just A vacancy has arisen for a part time cook for Monday and Thursday mornings.",u,0,0,1,0,
16,"Place all the sauce ingredients in a small pan and cook over a low heat, stirring constantly, until well blended. 2.",d,0,0,0,1,
17,"Each month we showcase a new recipe from our cook book, Green & Black''s chocolate recipes, for you to try.",d,0,0,0,1,
18,"Being unable to find words to express himself, the enthusiastic cook placed his hand on the region which was destined ere long to become a receptacle for the mapira, and rolled his eyes upwards in rapture.",m,0,1,0,0,
19,"Gently cook until the leeks have softened, add a pinch of salt, some freshly ground pepper and the harissa paste. 3.",d,0,0,0,1,
20,"Cut in two, roll out thin to fill a large dinner plate, take two or three handfuls of leeks, wash, cut up finely and lay over first layer of paste, put a few strips of fat bacon on top of the leeks, add pepper and salt to taste, add an eggcupful of cold water, add the other layer of paste and cook in a hot oven till done.",d,0,0,0,1,
21,There is an old saying that one shouldn''t trust a thin cook and this chap looks positively bulemic.,m,0,1,0,0,
22,"COOK, railway porter, of a daughter.",u,0,0,1,0,
23,The sudden onset of eczema of this distribution has been observed in a male cook who had regularly handled garlic with impunity for over 20 years (Rook 1974).,m,0,1,0,0,
24,"No please, Frank, if I am cook, you must be scullery-maid.",u,0,0,1,0,
25,"Production cook in Worksop, school business manager in Retford and a senior midday supervisor/school meals administration or a senior science technician and many others around the Nottinghamshire area.",u,0,0,1,0,
26,Add the bread cubes and cook until golden brown.,d,0,0,0,1,
27,"Indeed, James 1 is said to have employed a French cook, and during the reign of Mary Queen of Scots, so much money was spent on foreign sweetmeats that Parliament passed a law forbidding all but the wealthy to have anything on their table that was not made in Scotland.",u,0,0,1,0,
28,"Robert McBay worked as a baker and pastry cook, skilled at making both daily bread and special occasion pies.",m,0,1,0,0,
29,Cut the potatoes and parsnips into 1cm chunks and cook in boiling water for five minutes.,d,0,0,0,1,
30,"Bring to a gentle boil, cook until the liquid turns a golden caramel colour, then pour it into the tart tin. 3.",d,0,0,0,1,
31,"I heard more men coming, my cook was lying quiet on the other side of the counter, stunned or scared speechless, and I had to make another dash for it, like a rabbit hunted out of a wood-pile.",u,0,0,1,0,
