Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,America to battle to per person a dance instructor could get all.,u,0,0,1,0
2,"Stage version of ''Dirty Dancing'' sells out in record time By Terri Judd Published: 13 April 2006 Almost 20 years after Patrick Swayze''s brooding dance instructor turned Dirty Dancing into one of the screen hits of the decade, the West End stage version it inspired has sold out before the cast has even been selected.",m,0,1,0,0
3,Qualified dance instructor Louise Bennett will continue to run the programme within local primary and secondary schools.,f,1,0,0,0
4,She and the movie star are rehearsed by the dance instructor.,u,0,0,1,0
5,"The face in question belongs to Jennifer Lopez''s heartbroken dance instructor, Paulina, and she gradually draws Clark into the world of ballroom dancing, providing him with an innocent but much-needed outlet for his day-to-day frustrations.",f,1,0,0,0
6,Can experience only a dance instructor the seven-daynext from the next day.,u,0,0,1,0
7,"The band were guided by requests from Nick and the dance instructor, and were able to adjust dance tempos to suit inexperienced dancers.",u,0,0,1,0
8,Managing editor jay and john derbyshire a dance instructor caribbean destinations in.,m,0,1,0,0
9,"Every Thursday night, the performing band will bring their own dance instructor to show the audience a few moves.",u,0,0,1,0
10,"It became another principal location, with its own cast of characters: Gwen Twining the manager ( Jayne Eastwood ), Ron Bacon the maintenance man ( Robert Haley ), and Dorothy ( Linda Rennhofer ), the dance instructor.",f,1,0,0,0
11,"In 1925 she became dance instructor at the Eastman School of Music and Theater in Rochester, New York.",f,1,0,0,0
12,"Vicky Hahn, Dance Instructor Trinity, Vicky (dance instructor) and Alina wearing Fairtrade dresses from India Alona showing off her Fairtrade shawl made in Jerusalem Alona Myshelovka, Trinity Hutton and Alina Kniajeva",f,1,0,0,0
13,Canadian Sailing Expeditions And a light a dance instructor gay scene its and stayed at.,u,0,0,1,0
14,She is currently the dance instructor in the Fine Arts Department at an all-girls college preparatory school in Illinois in the United States.,f,1,0,0,0
15,Starting a high school dance instructor position in the fall.,u,0,0,1,0
16,"Even within the folkloric movement, the chances of getting to work with a dance instructor whose creative inspiration comes directly from an intact, vital and vibrant spiritual tradition are slim.",u,0,0,1,0
17,"Nelson became the first Salsa dance instructor in London, to high acclaim.",u,0,0,1,0
18,A dance instructor close all too been sure store chain wwwcostcocom.,u,0,0,1,0
19,"Check the credentials of anyone offering supervision as a trainer, coach or aerobic dance instructor.",u,0,0,1,0
20,He suspects there may be more to the case than meets the eye when he notices the close connection she has with society rival Rita Smith and her dance instructor.,u,0,0,1,0
21,Royal Caribbean International Caribbean cruise line review royal is a great and complimentary cognac a dance instructor vienna cafe.,u,0,0,1,0
22,"To my horror, the professor and the dance instructor are the main characters.",u,0,0,1,0
23,"In 2002 Tracie took me under her wing and tutored me to be a future salsa dance instructor for TLC, hence in January 2003, after having been educated to a brain aching degree, I have immense pleasure in instructing others in Salsa on Fridays at Caliente and on Tuesdays at Ford (see classes page ) I cannot put into words how much I love the feeling of expressing myself to music, the different moods from Mambo, Latin Jazz through to more funky or romantic salsa, it is one of the best feelings in the world.",f,1,0,0,0
24,"The club has been up and running, in various guises, since July 20 th , 1999 when Mick took a series of BWDA (British Western Dance Association - now renamed Best Western Dance Academy), courses and became a qualified line dance instructor.",m,0,1,0,0
25,"When a computer addresses users, it doesn''t speak as an authority like a schoolteacher or dance instructor.",d,0,0,0,1
26,"NTA and CWDI (Country Western Dance International) will be glad to tell you how to get certified as a country dance instructor, but even they cannot license you.",u,0,0,1,0
27,Things clinton rodham awaits you her primary mission a dance instructor.,f,1,0,0,0
28,"In "" Take the Lead,"" Antonio Banderas''s ballroom dance instructor exemplifies such a teacher.",u,0,0,1,0
