Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"The crisis in NHS dentistry is echoed in Chesterfield where: 31% of adults and 12% of children in Chesterfield are already NOT registered with an NHS dentist; TWO MORE dental practices have now refused to sign the new contract and are leaving the NHS altogether; Only ONE out of 18 local NHS dental practices is taking new NHS patients, and the wait for a new appointment could be as long as six months.",u,0,0,1,0
2,"You could actually repeat that question and substitute electrician, dentist or builder as the subject matter and still get very little response.",u,0,0,1,0
3,Mother was one of the first women to qualify as a dentist in Melbourne.,f,1,0,0,0
4,"(Note: When my investigator showed the first dentist an x-ray of the extraction site taken by the third dentist on 4 March 1997, the first dentist commented that the retained piece of tooth was ''bigger than I thought it would be''.) Back to top 9.",u,0,0,1,0
5,"CHC advice and information services include: Information Information about local NHS services, e.g. where to find a doctor, dentist or an optician; details of local clinics.",u,0,0,1,0
6,"The dentist decides not to x-ray so MB ask whether he will be needing MRS BEETON ""MISS Warrender''s file"" Interior - Day - Vince''s flat Penny enters and walks into the kitchen where Vince is preparing something VINCE ""won''t keep you a moment = take your clothes off and lie on the couch .. Oh its you Pen"" Penny sits down and asks for Vince''s attention PENNY ""Vince I''m pregnant - well say something"" VINCE ""Congratulations"" Vince is for once knocked of his feet if a little confused VINCE ""The dentist",u,0,0,1,0
7,"They won''t have to waste any time finding a hair salon, dentist or pub, whatever town they are in,"" he said.",u,0,0,1,0
8,When people are absent - unless for an agreed appointment with the doctor or dentist - it is usually for a whole day at a time.,u,0,0,1,0
9,'' ''I am on a waiting list at my local dentist to become one of his NHS patients.,u,0,0,1,0
10,Twice yearly visits to the dentist and hygienist were also recommended to ensure her oral health is monitored and any recurring problems are treated early.,u,0,0,1,0
11,It is important to tell your dentist that you have PSC as there may be an increased risk of bleeding.,u,0,0,1,0
12,"The developers'' own consultation found that at least a health centre/surgery, pharmacy and dentist would be needed.",u,0,0,1,0
13,Cuts in the National Health Service subsidies have made it harder for the independent dentist to earn a good living and invest in new equipment.,u,0,0,1,0
14,The dentist can make an inlay by preparing the cavity in much the same way as they would for a filling.,u,0,0,1,0
15,"If you do use tobacco, let your dentist and physician know, and make sure you tell them about any mouth problems you may be experiencing.",u,0,0,1,0
16,"Stung by his father''s observation that he''s not a strong swimmer, Nemo sets out for a boat on a dare and is captured by a diver, a Sydney-based dentist named Sherman, who relocates him to his office aquarium.",m,0,1,0,0
17,"Typing "" james hull +dentist "" into google will tell you all you need to know about making money - Mr Hull started as a NHS dentist in Wales in the mid 1980''s and is now quoted as being worth around £58 million.",m,0,1,0,0
18,"They raised a number of issues, including: removal from a dentist''s practice list when the dentist began to undertake only private work; inability to register with another NHS dentist since none were taking on new NHS patients; the distances involved in travelling to an alternative NHS dentist; delay in getting an appointment when a dentist was found who would undertake NHS work; the lack of NHS dentists available for people moving into the area; the way the PCT advertised the service which was available; and the role of the PCT''s dental access team.",u,0,0,1,0
19,"24/06/2006 Dental results delight minister Health Minister Andy Kerr visits Lochmaben to see the impact Polish dentists are having there. 12/06/2006 Dentist guilty of embracing nurse A dentist cleared of allowing a nurse to extract teeth is found guilty of professional misconduct for embracing her. 09/06/2006 Extra £3m to improve NHS dentists NHS dentists in Wales are to get an extra £3m from the Welsh Assembly Government to help improve the service. 09/06/2006 Dentist denies chest exam offer A dentist claims he was trying to put a female patient at ease with an ''inappropriate'' joke. 08/06/2006 Dentist''s lover ''extracted teeth'' A dentist let his nurse lover illegally extract patients'' teeth, a disciplinary hearing is told. 07/06/2006 Patient dental helpline launched Patients without dentists in the Forth Valley are provided with a new NHS helpline to help with dental problems. 06/06/2006 Dentist''s view A top dentist gives her views on the challenges facing the NHS. 02/06/2006",u,0,0,1,0
20,"If a resident does not have a regular dentist, arrangements should be made by the home with local dental practices to supply their services to the residents making it clear whether or not NHS treatment is available. 5.8.6 Diet The food that is served to residents should be regarded as part of the general process of care-giving within the home.",u,0,0,1,0
21,"Neu causes nouns, adjectives and verb-nouns to mutate (Unit 10 Geirfa ): coffi neu d e yfed neu f wyta du neu w yn Verbs never mutate after neu: neu darllenon nhw a) Win or lose b) yellow or blue c) Wear a coat or close the window ch) a doctor or a dentist Answers 11.",d,0,0,0,1
22,"In restorative dentistry the dentist is required to be competent in a range of operational and non-operational management procedures in both diagnosis and planning (General Dental Council, 2002: 31).",u,0,0,1,0
23,''Oahspe is a book written in 1880 by an American dentist named John Ballou Newbrough [1828-1891].,m,0,1,0,0
24,"Contraceptive services District nursing Expert Patients Programme HIV community service Homeless services Hospital at Home Hospitals Interpreting service Learning disabilities Mental health services Minor injuries units Nursing homes Nutrition & dietetics Older people services Palliative care Patient Advice and Liaison Service (PALS) Physical activity Physical disability and wheelchair services Physiotherapy Smoking cessation service Social services Speech & language therapy Tissue viability service Voluntary services Walk-in centre Find a GP, dentist, pharmacist or optician Search www.nhs.uk for a GP, dentist, pharmacist or optician . This search enables you to look for a local doctor, dentist, pharmacist or optician by postcode or by the name of your area.",u,0,0,1,0
25,Visit the dentist regularly for professional cleanings and checkups.,u,0,0,1,0
26,(closed) asked in Health by (Guest4342) on 07/11/2006 01:08am 3 Answers Answer: Your best off going to your dentist or doctor it sounds a bit like thrush but as im not a dentist or doctor i cant help you.,u,0,0,1,0
27,Specialist is a dentist that has undertaken years of post-graduate training to develop a level of expertise in a particular field of dentistry.,u,0,0,1,0
28,"No dentist working in such an environment can fail to consider the need for considering ways to prevent dental caries, a disease of multi-factorial origins.",u,0,0,1,0
29,Mrs Z said that if she had accepted the fillings recommended by the second dentist she would have been treated unnecessarily and would have incurred unnecessary expense.,u,0,0,1,0
30,Always ask when attending the dentist – either as a completely new patient or returning after a while.,u,0,0,1,0
31,"This had everything: giant alien weeds with deep voices, crazy sadistic motorbiking dentists (Menken''s father was a dentist!), lots of 40s period Doo-Wop songs, and plenty of humour.",m,0,1,0,0
32,"It is claimed that the new system will simplify dental charges for the patient, promote good oral health, improve overall affordability and reduce health inequalities caused by patients not going to the dentist over confusion about costs.",u,0,0,1,0
33,"Nationally the figures are even more shocking with fewer than 4 in 10 adults and just over half of all children able to see an NHS dentist (38.8% adults, 55% children in 2004 down from 51% and 66% respectively in 1997).",u,0,0,1,0
34,Mouth Cancer Awareness Visit your dentist at once if you notice any abnormal problems or are not sure.,u,0,0,1,0
35,This means that if your dentist leaves the NHS your PCT will buy in replacement services leaving you better protected.,u,0,0,1,0
36,Dentist Your child should continue to visit their own dentist as usual but you should inform him/her that your child does have diabetes and requires treatment.,u,0,0,1,0
37,I am also a cat dentist,u,0,0,1,0
38,"Because there are Rotary clubs everywhere, many a Rotarian in need of a doctor, lawyer, hotel, dentist, advice, etc., while travelling has found assistance through Rotary. 11.",u,0,0,1,0
39,Educating your local GP or dentist will help keep HIV on the agenda.,u,0,0,1,0
