Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"permission under paragraphs 2.2(1) or 2.2(2) --- (1) must be made in writing; (2) must include the other party''s written response, if any, to the notice served under paragraph 2.4; and (3) will be determined without a hearing. 2.7 An order under paragraph 2.3(2) may only be made by --- (1) a Court of Appeal judge; (2) a High Court judge or master; or (3) a designated civil judge or his appointed deputy. 2.8 Where a party makes an application for permission under paragraphs 2.2(1) or 2.2(2) and permission is refused, any application for permission to appeal --- (1) must be made in writing; and (2) will be determined without a hearing. 2.9 A limited civil restraint order --- (1) is limited to the particular proceedings in which it is made; (2) will remain in effect for the duration of the proceedings in which it is made, unless the court otherwise orders;",u,0,0,1,0
2,Umm works been gr8 as u wud all know castlepoint where i work closed for safety reasons 4 1 month so was working in poole so got 2 know every1 there! but sinse being bak at castlepoint had nothing but nice comments from customers and Sadie who is new manager was my deputy but congratulations shes my manager now which is gr8 ! New yrs eve went 2 Sadies as she invited me and Katie who is manager from poole shop! kinda weird really a 16 yr old spending new yrs wid 2 managers but was quite funni! have grown up so fast its scary even last summer half the stuff i did then i wudnt dream of doing now!,f,1,0,0,0
3,The Head of Personnel or his/her nominated deputy will convene a meeting with the member of staff and his/her representative within 10 working days of receipt of the note requesting a Stage 3 Hearing is convened.,u,0,0,1,0
4,"Former Irish secretary of the Amalgamated Transport and General Workers Union Mick Oâ€TMReilly and his Belfast-based deputy, Eugene McGlone, were sacked by Morris in April following suspension and lengthy disciplinary proceedings.",m,0,1,0,0
5,The deputy though.,u,0,0,1,0
6,The Maintenance Engineer or his nominated deputy retains the Written Schemes of Examination for systems maintained by Estates Services.,u,0,0,1,0
7,"For the purposes of pastoral work the school is divided into five Houses, each under the management of a Head of House, who is assisted by a deputy.",u,0,0,1,0
8,"The Public Guardian The main functions of the Public Guardian will be to maintain a register of LPAs and deputies, to supervise the actions of deputies, to authorise a Court of Protection Visitor (who will have the power to look at records and interview a person who lacks capacity in private) to visit a deputy or donor, and to hear representations (including complaints) about the way an attorney or deputy is exercising his powers.",u,0,0,1,0
9,"As we have seen, the authorization of ordinations is an act of the Conference, and it is the senior representative of the Conference, or a deputy, who carries out the act.",u,0,0,1,0
10,He is the uncomplaining deputy for Andrew Flintoff or any of the batsmen who happen to be injured - it''s usually Michael Vaughan - and a routinely brilliant substitute in the field whenever anyone is indisposed.,m,0,1,0,0
11,"That is why this role reports directly to the Chief Executive, and has a strong deputy who manages the team, day to day.",u,0,0,1,0
12,"The suspects range from the General himself to his adjutant, Colonel Fowler (CLARENCE WILLIAMS III), a faithful colleague and trusted family friend; to Colonel Moore (JAMES WOODS), Elisabeth''s mentor and commanding officer; to several of the enlisted men on base and even a deputy within the local sheriff''s department.",u,0,0,1,0
13,Water companies should ensure that they have robust arrangements in place to ensure that the nominated person in the company (or a nominated deputy) is informed of all the relevant details without delay.,u,0,0,1,0
14,What leadership tips do you give your deputy/assistant heads?,u,0,0,1,0
15,"If in doubt the Primary Care Trust/Island NHS Board will consult the Area Medical Committee. 48.18 Where the practitioner, whether full or part-time, engages a locum or other deputy part-time, the amount that practitioner will be paid will be limited to the proportion of time for which the locum or other deputy is engaged. 48.19 In the case of job-sharing practitioners, the amount payable will be subject to the limit set out in paragraphs 48.15, 48.16, 48.18 and 48.20.",u,0,0,1,0
16,"Note suppliers catalogue prices are not acceptable under this process 3.3.2 If the Purchaser wishes to accept a quotation other than the lowest quotation or is unable to obtain the minimum number of quotes required above, the Purchaser shall provide a written explanation to the Head of Procurement or his/her deputy and obtain his/her consent to accept that quotation or (as applicable) the lowest of the quotes obtained. 3.4 Process 4 3.4.1 Tenders shall be invited in consultation with the Head of Procurement or his/her deputy. 3.4.2 For all transactions valued over the EC threshold (see Appendix 2 for the limit) the prior written approval for the proposed tender process must be sought from the Head of Procurement or his/her deputy 3.4.3 Public notice shall be given :- (a) in an appropriate local newspaper; and (b) in at least one trade newspaper or journal circulating among such persons or bodies as undertake such contracts; and (c) in the Official Journal of the European Union in cases valued over the EC threshold Note",u,0,0,1,0
17,"The Principal (or his or her deputy) may: (a) authorise proceedings to be brought before the Discipline Committee, or (b) request the Authorised Officer to deal with the case, taking into account such advice as the Principal may offer, or (c) where the student elects to have his or her case heard before the Discipline Committee in accordance with Section 4.1, the Authorised Officer shall similarly report the matter to the Principal and the Principal shall decide that no proceedings shall be taken or shall authorise proceedings to be brought before the Discipline Committee.",u,0,0,1,0
18,"According to the Kansas Highway Patrol, the car, still being pursued by the sheriff''s deputy, exited the interstate at Wilson and attempted to go south on Kansas Highway 232, toward Wilson.",u,0,0,1,0
19,"Arthur Blomfield, representing the Bishop of London, appointed Thomas Hardy as his deputy to oversee exhumation works at St Pancras.",m,0,1,0,0
