Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Dr Saad Eskander, the newly appointed director of the National Library of Iraq, was also one of the group. 2.",m,0,1,0,0
2,BBC director of drama and children''s programming Alan Yentob will talk about the ''secret life of BBC'' in the Convocation lecture.,m,0,1,0,0
3,"Janet Holmes A''Court major shareholding director of the Stoll Moss Theatre Group, owners of ten West End Theatres including Her Majesty''s, The London Palladium and The Theatre Royal, Drury Lane.",m,0,1,0,0
4,"LIZ MONKS, director of fundraising, NCH Why did you choose this partnership?",f,1,0,0,0
5,"Williams, combined with Tom Shadyac, director of Ace Ventura and The Nutty Professor , and Steve Oedekirk, whom supplied the script for both.",m,0,1,0,0
6,""" ""Yesterday, David Liddiment, ITV director of channels, said he felt screening the programmes would be wrong.",m,0,1,0,0
7,"This is the finding of a book, ''Snapshots of Possibilities'', published by the Alliance For Inclusive Education , which highlights successful strategies used by 21 primary and secondary schools, all with effective inclusion policies . Micheline Mason, director of the Alliance, said: ''For a child to feel included they need friends.",m,0,1,0,0
8,"Please use the ''Online 288a Form'' on the right hand side to appoint a new director or secretary, and the request will be filed electronically with Companies House.",u,0,0,1,0
9,"Actors: Jack Hawkins , Michael Caine , Stanley Baker , Ulla Jacobbson Director: Cy Endfield Special Features Other Extras ''And Snappeth The Spear In Sunder: A Making Of Zulu'' featurette ''Roll Of Honour: The Making Of Zulu'' documentary (45 mins) Audio commentary from second unit director Robert Porter and film historian Sheldon Hall Theatrical trailer Interactive menus Scene access Compare Prices & Buy Zulu Cheapest Compare prices of Zulu , please report inaccurate prices to live help.",m,0,1,0,0
10,"Night Shyamalan''s latest head-scratcher Lady in the Water (again, with Paul Giamatti); Dumped superhero Uma Thurman wreaks comedy vengeance on former boyfriend Luke Wilson in Ivan Reitman''s glossy My Super Ex-Girlfriend; Jack Black moonlights as a Mexican wrestler in Nacho Libre, a strange and silly film from the writer/director of Napoleon Dynamite, Jared Hess; and finally, the memorably titled Snakes on a Plane, which is exactly what it sounds like, only even nastier than you''d imagine, especially since, at the request of online nerds, the producers added lots more sex and violence to the final cut.",m,0,1,0,0
11,"This special edition contains the original theatrical trailer and archive interviews with Bonnie Langford, David Tomlinson and writer/director Lionel Jeffries.",m,0,1,0,0
12,"It will feature an executive director of strategy with a director of theatre strategy, director of diversity strategy, director of participation strategy and a director of dance strategy operating underneath.",u,0,0,1,0
13,"The ambitious task of directing such an emotive, linguistically-challenging and complex play is one which director Stuart Rouse approached admirably.",m,0,1,0,0
14,"Manana Tabatadze, the school director in Sovkhoz Samgorski, Georgia.",u,0,0,1,0
15,"Mechanisms of Development 62, 29-40. ˆˆ top << back update Page last updated: Thursday, 13-Apr-2006 16:34:34 BST Institute of Medical Sciences · University of Aberdeen · Foresterhill · Aberdeen · AB25 2ZD Tel: 01224 555700 · Fax: 01224 555844 Director: Professor Ian Booth · Email: ims@abdn.ac.uk View this page as text only University Home · Prospective students · Prospectuses · A to Z Index · Search Email & Telephone Directories · Contacts/Help · Maps · Privacy Policy & Disclaimer · Accessibility Policy",m,0,1,0,0
16,"Medem has come in for some well-publicised criticism for daring to make Basque Ball (and given that the director was born in Basque country, this was somewhat inevitable), but in truth it''s a remarkably even-handed treatment of an inflammatory subject matter.",u,0,0,1,0
17,"""The situation is dramatic, especially in the south,"" reports Paul Saghbini, director of the Foundation of the Order of Malta in Lebanon.",m,0,1,0,0
18,"How was Ben Elton as a director on MAYBE BABY ? At the read-though he was so sweet - he thanked us all for coming like we''d come to his birthday party, and then he was handing out cake!",m,0,1,0,0
19,""" Mike Farmer, regional director of the Road Haulage Assocation, said drivers would had no choice but to put up with the misery while the job is being done.",m,0,1,0,0
20,He is also a non-executive director of Spectris plc.,m,0,1,0,0
21,"That is thanks in part to three qualities, according to Nicola''s new colleague, Rob Greig, co-chair and director of the task force, who sits in on our interview.",m,0,1,0,0
22,"Hosted by Roger Mills, regional managing director of Newsquest (London), other guests included John Banks, regional managing director of Newsquest (South-West) and Steve Long, Newsquest''s print director.",m,0,1,0,0
23,ODA appoints Olympic transport director The Olympic Delivery Authority has appointed Hugh Sumner as transport direc...,m,0,1,0,0
24,"ABOUT STEVE NOBEL visit Steve''s website Steve Nobel is a director of Alternatives , in Piccadilly London, a non-profit organisation that has been promoting mind body spirit events for 21 years.",m,0,1,0,0
25,"A Box Of Tricks TX : 21st December 1963 Director : Harold French Writer : Ian Stuart Black Cast : Walter Gotell, Ferdy Mayne Notes : The character of Chin was also a magician and illusionist and this final episode is almost entirely devoted to him.",m,0,1,0,0
26,"Plus Latin American cinema, the book Alexander Mackendrick should have written, the 1960s revolution, Atom Egoyan, and the loves and lusts of Ireland''s most prolific post-war director.",u,0,0,1,0
27,"James Cridland, director of digital media at Virgin Radio, says podcasting has allowed passengers on the London Underground to tune into radio content for the first time.",m,0,1,0,0
28,"Currently the system is used primarily in the Student Selected Components and Problem Based Learning in Years 1 and 2. 6.2.5 Guidelines for Medical Students on Clinical Attachments The Director of Undergraduate Learning and Teaching led a working group to write guidelines in response to the needs of students on clinical attachments, especially those in Year 3 in transition into the primarily clinical years.",u,0,0,1,0
29,""" Debbie Hewitt, Managing director, RAC added: ""It has been another successful day for the team.",f,1,0,0,0
30,This JCR resolves: To mandate the JCR president to write to the Director of the Environmental Change institute expressing the JCR''s concerns about the ''Coca Cola Water Sustainability Scholarship''.,u,0,0,1,0
31,"In 1957 the young Enrico Mihich was offered a research position with the Roswell Park Cancer Institute in Buffalo , NewYork State , where he went on to establish a brilliant career as developer and director of its Cancer Drug Center . The Tyberg scores lay fallow for many years, while Enrico Mihich was absorbed in cancer research.",m,0,1,0,0
32,"I remember the rest of my colleagues saying ""We think in order to grow the agency, we need a new business director and we think you''re the best person for the job"".",u,0,0,1,0
