Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"He''d throw off the doctor like the disease, don''t you know?",u,0,0,1,0
2,"His daughter, Elizabeth, married a rich and well-connected Edinburgh doctor named William Grant, and their son, John Peter Grant, became the owner in about 1800.",m,0,1,0,0
3,"A fascinating means for those who do not intend to become therapists to achieve greater understanding of themselves and other Sigmund Freud, Psychoanalyst, began his career as a doctor.",m,0,1,0,0
4,"If you have any side effects that you think the anti sickness drugs are causing, also talk this over with your doctor.",u,0,0,1,0
5,When you come to the outpatients department the doctor will explain the procedure to you.,u,0,0,1,0
6,My wife''s father was a doctor in a small town in Ohio.,m,0,1,0,0
7,This will allow you and your doctor or practice nurse to see: how well controlled your asthma is. how effectively the medication is controlling your asthma. whether or not you need to increase or decrease your medication. whether or not you are sensitive to certain over-the-counter medicines.,u,0,0,1,0
8,"Any member of staff giving medicine should check any written instructions provided by parents or doctor, the prescribed dose and the expiry date.",u,0,0,1,0
9,"Bullock next re-teamed with her ""Speed"" co-star Keanu Reeves for ""The Lake House"" (2006), as a doctor and an architecture school dropout who live in the same house two years apart and fall in love via letters they exchange through a mailbox that mysteriously bridges time.",u,0,0,1,0
10,What does the lovely flush in a beauty''s cheek mean to a doctor but a ''break'' that ripples above some deadly disease.,u,0,0,1,0
11,HEALTH CARE Emergency funding schemes for urgent medical care to reduce the need of families to walk many miles across the desert to reach a doctor.,u,0,0,1,0
12,"[ IOL.co.za, 24 August ] A Kenyan doctor has drawn attention to the use of inflated and falsified statistics by abortion advocates, during a presentation at Strathmore University.",u,0,0,1,0
13,''Unhappy'' people do not display the same spending behaviour as happy people. is there a doctor in the house?,u,0,0,1,0
14,The contraceptive pill and the ''morning after'' pill are only available on prescription from a doctor.,u,0,0,1,0
15,"Women like their doctor to be involved with their care (Jones and Smith 1996) and where they give their added support the homebirth rate is increased further (Cronk and Flint, 1989).",u,0,0,1,0
16,"He said to me, "" When I grow up, I want to be a doctor"".",m,0,1,0,0
17,"Even when I went to the doctor, I was made to feel bad.",u,0,0,1,0
18,''Is there a doctor in the Temple?,u,0,0,1,0
19,"Information on NSCAG designated centres for MPS and related diseases . Support at doctors appointments and to access a treatment if prescribed by an NSCAG centre doctor, but denied for other reasons such as PCT funding.",u,0,0,1,0
20,"I have just survived an operation for cancer and my doctor was able to remove the tumour and I have no need of any further treatment, praise God.",u,0,0,1,0
21,This is a three doctor practice with a long tradition of teaching stretching back twenty years with undergraduate sand ten years as a training practice.,u,0,0,1,0
22,My doctor is talking about ''surgical intervention'' to strengthen it.,u,0,0,1,0
23,"The doctor will come up to us too for the last time there, my friend in motley.",u,0,0,1,0
24,I have mentioned this to my doctor who says that it would be virtually impossible for this to happen.,u,0,0,1,0
25,"For instance, we have a teacher of music; her mother works as a doctor, so she took care of my teeth ... . 14.3 In terms of social relations perhaps as big an advantage related to the teacher''s profession were the connections with pupils and their parents.",f,1,0,0,0
26,For information on doctors in Cambridge and the surrounding area and help with choosing and registering with a doctor you can call the Cambridge & Huntingdon Health Authority on 01480 398500.,u,0,0,1,0
27,Do I need to see the nurse of doctor after I''ve taken them?,u,0,0,1,0
28,"By passing this ""scope"" into your stomach, the doctor can directly examine the lining of your upper digestive system on a television monitor.",u,0,0,1,0
29,Prompt treatment of suspected infection would require the use of injected antibiotics and the advice of an informed doctor.,u,0,0,1,0
