Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"If an employee who holds a disabled driver''s badge is obliged, because of his disability, to drive a car with automatic transmission, the CO2 emissions figure of the equivalent make and model of car with a manual transmission will be used, if it is lower.",m,0,1,0,0
2,"Possibly such stories come from a disgruntled employee, or a government malcontent.",u,0,0,1,0
3,SAFETY TIPS FOR FORKLIFT DRIVERS The news of a massive fine imposed on a Supermarket giant after an employee was crushed to death in an accident involving an unsafe forklift truck sends a strong warning message to employers.,u,0,0,1,0
4,"They can help you understand the nature of a disability from an early stage, advise you on the likelihood of the employee coming back to work and ensure that both parties remain in touch during the period of absence.",u,0,0,1,0
5,The ability to persuade others of the value of effective employee resourcing and development.,u,0,0,1,0
6,Than issues relating protection for the employee.,u,0,0,1,0
7,"Michael Jackson''s Neverland Ranch was shut down yesterday (09.03.06) and he was fined around $169,000 for failing to pay or insure his workers for months . California officials ordered the eccentric star to ""stop using any employee labour"", at the sprawling 2,700-acre ranch, until he obtains workers'' insurance.",u,0,0,1,0
8,At the appeal the employee should be entitled to attend to state their case and to be accompanied by a fellow employee of their choice.,u,0,0,1,0
9,"Install water saving devices for employee washing and toilet facilities, including low volume flush cisterns, toilet cistern displacement devices, timed flow or waterless urinals, time devices for showers and sensor taps which turn on and off when hands are sensed.",u,0,0,1,0
10,Department employee policy they appear to the flop to involved in themmake.,u,0,0,1,0
11,It may be used at two stages - * within six months of an employee first joining the Scheme.,u,0,0,1,0
12,"Providing lump sum death benefits In general, the regulator''s view is that: where an employee has been offered membership of a pension scheme for pension benefits; or where an employee will be offered membership of a pension scheme for pension benefits if they remain with the employer for long enough, it would be acceptable for that employee to be provided with lump sum death benefits as part of the package of benefits under that scheme.",u,0,0,1,0
13,Employment The Annual Business Inquiry (ABI) surveys businesses to understand changing pattern in employee jobs (i.e. not including self-employment).,u,0,0,1,0
14,"See the Information Commissioner''s website at http://www.informationcommissioner.gov.uk/. 3.3.9 Deductions from salary Where there are debts owed by the employee to the employer, it is unlawful to deduct those debts from the employee''s salary without his or her express consent.",u,0,0,1,0
15,"Transfer of Undertakings (Protection of Employment) Regulations 1981 (TUPE) Where an employee of the transferring employer was an active member, eligible member, or would have become eligible after completion of a waiting period of an occupational pension scheme there will be an obligation to offer a minimum level of pension protection.",u,0,0,1,0
16,"The compensation recovery unit of the Department for Work and Pensions reported that as at May 2004 employee liability claims were in fact down by 15% and public liability claims were down 17%, compared to the previous year.",u,0,0,1,0
17,"Do you want to introduce a blanket solution, for example a company-wide leadership development course run by one supplier Would you prefer to identify training programmes for particular levels of employee or perhaps even on an individual basis?",u,0,0,1,0
18,The Dimensions of a Great Place to Work ® Trust is the essential ingredient for the primary workplace relationship between the employee and the employer.,u,0,0,1,0
19,"The TrackStick will be seen by many as the perfect solution for obtaining detailed information on the movements of a spouse suspected of straying, an employee or driver suspected of goofing off or monitoring where your children are spending their time and how fast they drive the family sedan on Saturday night.",u,0,0,1,0
20,You must send us a Return if you are required to prepare a P11 Deductions Working Sheet (or equivalent record) for any employee during the tax year.,u,0,0,1,0
21,"This requires: defining the ability range of the employee, linked to career aspirations identifying any training or adjustments that could expand that range looking for transferable skills considering all suitable options for redeployment 3.4 Ill-health Retirement Where an employee''s health has deteriorated such that he/she can no longer perform his/her duties, and all efforts to redesign the job or redeploy the individual have been unsuccessful, or are not practicable then it may be appropriate for early retirement on grounds of ill-health to be considered.",u,0,0,1,0
22,Department employee policy their style of with caution because have improved their.,u,0,0,1,0
23,"The question is then whether an employer can say that an employee is only entitled to the day off if the employee is actually due to work on the day that the bank holiday falls, or whether a part-time employee is entitled to a pro-rata number of days off in lieu of the bank holidays.",u,0,0,1,0
24,"Inland Revenue by 31 May following the end of the tax year and, in addition, the following details are provided: the employee provides a statement of residence by their home country tax authorities or, in the case of US citizens, evidence of continuing residence in the USA a statement is given by 31 May giving details of the employee''s nationality, country of birth and country in which they usually live, date of arrival in the UK, dates of visits in the five years before the date of arrival and confirmation that the employee has spent a total of less than 364 days in the UK during the last four tax years and less than 183 days in any of the last four tax years If these conditions are not met, or the employee is assigned for longer periods than 183 days in one year (or other tests where they have been in the UK in more than one tax year) then PAYE must be operated in full.",u,0,0,1,0
25,"Following discussions with Sunart Community Council, this path is to be named ''Phemie''s Walk'' in memory of a well respected member of the community and former FC employee.",f,1,0,0,0
26,Saving time and effort to process your employee payroll and tax computations.,u,0,0,1,0
27,"The higher the cost of a keyword, the likelier the chance of it being targeted, typically by a disgruntled employee or a competitor.",u,0,0,1,0
28,"Several SMEs will achieve a high profile by entering the FTSE 100 index, displacing constituents with much larger workforces, but also much lower value per employee.",u,0,0,1,0
29,"After one month''s employment, the employee has the right to a written statement of employment terms and also to receive written notice of termination of employment.",u,0,0,1,0
30,Essential courses required by an employee to carry out their job (e.g. training courses required to operate the employer''s computer systems).,u,0,0,1,0
31,"For example, in Figure 2.2 the employee Mr. Spock has not been assigned any starship as yet; therefore, the Starship value for Mr. Spock is null.",m,0,1,0,0
32,Employee relations : developing a constructive partnership with employees and their representatives.,u,0,0,1,0
33,"Immediate Notification You must notify the enforcing authority without delay, normally by a phone call, of the following: any fatal injuries to employees or other people in an accident connected with your business; any major injuries to employees or other people in an accident connected with your business; any of the dangerous occurrences listed in the Regulations Reporting You must also send a written report to the enforcing authority within seven days of any notifiable incident (a to c above) and also of: any other injury to an employee which results in their absence from work or being unable to do their normal work for more than three days (including days which would not normally be working days); any of the cases of ill health listed in the Regulations.",u,0,0,1,0
34,Work Permits ( UK ) Official government service aimed at employers gives information on how to apply for an employee visa.,u,0,0,1,0
35,"A British Aerospace employee of MECHEM denied this, claiming 100% clearance and blaming inter-agency rivalry for NPA''s adverse opinion.",u,0,0,1,0
36,"As with any employee or potential employee, each individual will have pluses and minuses.",u,0,0,1,0
37,Just as Guardian on-Line requires job applicants to have a web presence to judge their qualities as prospectiove employee then perhaps we could use blogs to from an important part of the selection process - or at least enable us to match up people with schools.,u,0,0,1,0
38,Upon being confronted by the trustees the employee admitted the theft and agreed to pay back all the monies.,u,0,0,1,0
39,"Deltek Vision consolidates, automates and unifies core business functions for everything from client relationship management, proposal development, resource and project scheduling and planning, and employee time and expense to financial accounting, billing and human resources.",u,0,0,1,0
40,Therefore an employee who does not take the trouble to prove themselves worthy either in terms of capability or conduct should be taken to task very early on and the manager should not delay taking action until the next scheduled review meeting.,u,0,0,1,0
41,What obligations do I have as an employee in a redundancy situation?,u,0,0,1,0
42,"As Figure A2.11 shows, the number of employee jobs in the security sector has increased relatively quickly, while in the hospitality and retail sectors the number of employee jobs has increased in line with the national average.",u,0,0,1,0
43,In most cases this worry will be unfounded but where there is cause for concern discuss the options with the employee.,u,0,0,1,0
44,"We will achieve this by: Sponsoring a minimum of five business meetings each year with quality speakers on a range of pensions and employee benefit subjects Offering a minimum of 9 hours CPD qualifying activity each year Communicating regularly with our members to promote Regional Group activities Actively seeking, promoting and participating in local activities to enhance the profession and industry Innovative educational support for student members Providing a social forum for like-minded professionals to meet and have fun.",u,0,0,1,0
45,"The German employee himself has become too expensive, so what German can still afford to employ another German nowadays?",m,0,1,0,0
46,"The employee should be notified however, that if performance declines within the next 12 months, they will enter the procedure at Stage Two.",u,0,0,1,0
47,Employee Share Plans & Pensions: The group administers and advises on employee share plans and employee benefit schemes.,u,0,0,1,0
48,"At the employee setup stage you can include or exclude benefit types and create the required number of instances of each benefit - for example, you may need several company cars.",u,0,0,1,0
49,"Where this happens, the Revenue will allow the employee to claim a deduction for travel expenses based on the ''lesser of'' rule, subject to certain restrictions. 2.12.5 The employee can be regarded as temporarily absent from his normal place of work provided: the absence is not expected to, and does not in fact, exceed 12 months and the employee returns to his normal place of work at the end of it. 2.12.6 If these conditions are not satisfied, no deduction for travel expenses is due.",u,0,0,1,0
50,"Includes types of wood burners, costs and possible grants available. http://www.mwea.org.uk/downloads/woodfuel/english.pdf Wood Products: Environmental Regulations (NETREGS) Energy & the Environment Aimed at all businesses involved in the processing & treatment of wood, and those who use wood in manufacturing products including containers, furniture and building components. http://www.environment-agency.gov.uk/netregs/sectors/278289/?version=1&lang=_e Work - An A to Z (ACAS) Recruitment, Development & Training, Your Rights at Work This handbook provides a brief introduction to important employee relations topics. http://www.acas.org.uk/index.aspx?articleid=857 Working at Height Regulations (HSE) Health & Safety Health & Safety Executive guide to complying with the Working From Height regulations outlining whether the regulations apply to you, employer responsibilities and sources of further information. http://www.hse.gov.uk/pubns/indg401.pdf Working Parents & Carers'' Rights (BHP) Your Rights at Work Businesses need to be clear about the rights of their employees and responsibilities as an employer if they are going to minimise disruption and prevent disputes arising.",u,0,0,1,0
51,"It is intended that no job applicant or employee receives less favourable treatment on the grounds of race, colour, nationality, ethnic origin, age, sexual orientation, marital status, religion and belief or disability and that no conditions are imposed on such groups which cannot be justified on work related grounds.",u,0,0,1,0
52,"member of staff is receiving under the programme; § Self-referral or referral through a manager will not affect job security, promotion, or any other privilege of any person accepting and successfully completing the recommendations made by the EAP professional; § The programme is available to all members of staff who are eligible for a SOAS staff ID card - in any location, throughout all levels of the organisation, and including any immediate family members who have personal problems which affect or are likely to affect an members of staff'' work; § All employee information given to the EAP Provider(s) is treated confidentially; § The School will meet the cost of the Employee Support Helpline an intranet service, which is available to all members of staff and their immediate dependants Members of staff cannot use the programme to avoid performance management procedures or the consequences of breaching the School''s Staff Code of Conduct.",u,0,0,1,0
53,"So let''s say a Census employee had dropped by the $15,000-umbrella-stand- festooned apartment of ousted Tyco Chairman Dennis Kozlowski in 2001.",u,0,0,1,0
54,This includes recruitment and selection; training and development; industrial/employee relations; management services and employee support services.,u,0,0,1,0
55,"Employees (including company directors) If you are an employee, further items and information you should keep include: Form P60 (the certificate of pay and tax deducted issued by the employer at the end of the tax year) Form P45 part 1A (issued by the employer when an employee changes jobs) Payslips (even though identical pay and tax information may also be shown on a form P60 or P45) Details of tips, gratuities or incidental receipts (the Inland Revenue have stated that this should be written up on a daily basis) Details of taxable benefits and expenses received (the employer must supply a copy of form P9D or P11D, where appropriate) Details of tax-allowable expenses incurred (supporting vouchers are required, e.g. credit card statements, phone accounts, restaurant bills, car park tickets etc) A log",u,0,0,1,0
56,"Choosing a partner who can advise on employee tax liabilities, registration requirements and local best practice means that you can be operational more quickly and be sure you''re compliant.",u,0,0,1,0
57,Part-Time A part-time arrangement enables an employee to work less than a standard full-time schedule per week.,u,0,0,1,0
58,To markets that price of self employed health insurance in pa group there is some employee premium cost.,u,0,0,1,0
