Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Depending on the facts, it may well be argued by an employee that an amendment or termination of a pension scheme falls within s3 on the basis that it results in contractual performance by the employer which is substantially different from that which was reasonably expected.",u,0,0,1,0
2,There is nothing wrong with the employee (the vet) telling the employer (the Government) what he thinks should be done.,u,0,0,1,0
3,The anaesthetist (KR) is seconded from his post as Consultant Anaesthetist with the same employer.,u,0,0,1,0
4,"First impressions do count so when you meet the employer give a pleasant natural smile, a firm handshake and a brief exchange of words/pleasantries.",u,0,0,1,0
5,Employer The University of Southampton is the third largest employer in the Southampton region.,u,0,0,1,0
6,"They are also home to our Employer Liaison Team (see our employer services ), which continuously enhances our corporate network, visiting companies and assisting them in achieving their recruitment needs - and has over 6,500 contacts!",u,0,0,1,0
7,The employer must provide enough information to the representatives in order for them to be able to act effectively.,u,0,0,1,0
8,We are an equal opportunities employer.,u,0,0,1,0
9,"It allowed these young men to work full-time in a global company with 21st century manufacturing processes, and to start on the pathway towards a skilled occupational qualification - in effect, a new form of apprenticeship that secured the interests of both employee and employer.",u,0,0,1,0
10,Post-prwora period findings for those parents are less pay quot employer.,u,0,0,1,0
11,The basic conditions that must be satisfied are: the employee is sent by the employer in the home State to undertake work for that employer in the host State; the work is expected to last less than 12 months at the outset; the worker is not replacing another employee who has completed a tour of duty abroad.,u,0,0,1,0
12,It shall be a defence if ''the employer took such steps as were reasonably practicable to prevent the employee from doing the act.,u,0,0,1,0
13,"If a employer fails to make the redundancy payment and the employee has taken all reasonable steps to recover payment or the employer has serious cash flow problems and is unable to make the payment, the Redundancy Payments Service (RPS) may be able to make the payment and the employer will be expected to pay back the amount owed as soon as possible, if necessary in instalments.",u,0,0,1,0
14,"Noyce became his secretary and afterwards chauffeur but it was remarked that their friendship was ""much stronger than usually existed between employer and employed"".",u,0,0,1,0
15,"Encourage working from home with financial incentives for employers (eg for each worker-day at home, pay employer £20) and wider take-up of broadband (for remote login).",u,0,0,1,0
16,"If the relationship breaks down and becomes unworkable the employer may be justified in terminating the arrangement (this happened in Deacon v Leicestershire Constabulary Case No 65899/95 where the job-sharers had different styles of management and were not able to liase with each other) . splitting the benefits, particularly bank holidays (if one employee usually works Mondays): the fairest practice is to share these equally irrespective of days worked, company car; can a car be shared; if not, would an equivalent car allowance be an acceptable alternative? how will health insurance and other benefits be split?",u,0,0,1,0
17,Are similar purchase ohio auto insurance online for status and whether the employer survey.,u,0,0,1,0
18,"George Bathgate, director of production for United Distillers (the massive whisky making giants and a huge employer) said ""this is going to cause us tremendous inconvenience"".",u,0,0,1,0
19,Right to change employer If you are working on a migrant domestic worker visa you have the right to change your employer at any time as long as your migrant domestic worker visa is valid.,u,0,0,1,0
20,"There was an American employer who saw one of his employees reading the bible and he despised Christians and Christians who read the bible, and he said to her, ''Well, am I one of the elect?",m,0,1,0,0
21,"If the project is for an employer but carried out whilst the student or team is still based at the university or higher education institution, then the employer would probably need to devote time to visiting the university department to oversee the project at intervals.",u,0,0,1,0
22,Employer paying per all of their and tourist information and pacific health.,u,0,0,1,0
23,If an employer uses the services of an unlicensed Gang-master they can face a prison sentence of up to 51 months.,u,0,0,1,0
24,Various court decisions have denied the status of employee to people who were allowed to provide a substitute to do their work or who were under the control of another party rather than their supposed employer.,u,0,0,1,0
25,Nevertheless a tribunal can still decide to make an award to cover an additional period when the employee would have worked had proper consultation taken place If an employer fails to consult it is advisable to claim both redundancy and unfair dismissal.,u,0,0,1,0
26,"In February 2002 a Court of Appeal decision stated inter alia, that ""any employer who offers a confidential counselling advice service with access to treatment is unlikely to be found in breach of duty"" (of care) by the Courts.",u,0,0,1,0
27,"From 190 January 1999 (Bargaining Report, January 1999) Restrictive covenants The Court of Session in Scotland has re-iterated the view that restrictions in contracts which prevent employees from disclosing information to a new employer will not be upheld by the courts unless the employer can show that there would be a perceived actual or potential harm which is real and not fanciful (Jack Allen (Sales & Service) v Smith [1999] IRLR 19).",u,0,0,1,0
28,"To them WAC has been trainer, friend, parent, employer, guidance counsellor and darn nice place to be associated with.",u,0,0,1,0
29,I am an employer.,u,0,0,1,0
30,The employer in Bridgen fell foul of these standards by only providing employees with their matrix once the decision to dismiss had been taken.,u,0,0,1,0
31,"The role played by your employer At the end of each financial year, your employer will tell HMRC how much you have repaid by advising them of your deductions.",u,0,0,1,0
32,"From 6 April 2000, any amount over £8,000 is liable to Class 1A National Insurance contributions, and this is so (for relocation expenses only) whether the item is an expense reimbursement or a benefit under a contract made direct with the supplier by the employer.",u,0,0,1,0
33,"For example, under (a), workers sent by their employer to another Member State to perform work on a contract will be covered only if the workers are employees of the posting employer, and their employer has a contract for the provision of services, including those of the worker, with another party in the host State.",u,0,0,1,0
34,"So if you are an Employer who seeks not only, a qualified accountant specialising in Audit & Consultancy work, but also a friendly & fast service then please contact me by by clicking here , or for more information ""Click Here"" In the meantime, if you''re patient you will enjoy the sounds of "" Mission Impossible"" , or browse through numerous pages of ""delight"" on this site.",u,0,0,1,0
35,"Remedy If the employer fails to comply with these requirements, a complaint may be made to an Employment Tribunal within three months of the failure to comply.",u,0,0,1,0
36,It should be noted that the provisions that follow do not constitute an entitlement for GP Registrars to maternity leave or pay as these are matters between the GP Registrar and the trainer as her employer subject to the employee''s statutory entitlements (see paragraph 38.38).,u,0,0,1,0
37,Offsetting refunds of employer NI contributions in this way was fundamental to securing HM Treasury agreement to individual employers not being directly charged the appropriate additional Scheme contributions.,u,0,0,1,0
38,"These requirements apply to all work activities, including workplace transport, e.g. deliveries, operating lift trucks, loading operations, car parking and maintenance etc. As with all work activities an employer must make a suitable and sufficient assessment of the risks to the health and safety of employees and others affected by work activities.",u,0,0,1,0
39,"Whilst much of this was excellent work, and was given boosts in numbers where it proved possible to work through employer networks, this approach was never going to unlock to high volumes of employee development work to make the skills breakthroughs required.",u,0,0,1,0
40,"The absence of adequate procedures could lead to legal difficulties, especially for the employer.",u,0,0,1,0
41,Salary negotiations We can help you develop arguments you need in salary negotiations with your employer Single Status Single status is the harmonisation of pay and conditions across a local authority for comparable posts.,u,0,0,1,0
42,"If an employee refuses unreasonably, an offer the employer considers suitable, the employee can lose entitlement to statutory redundancy payments.",u,0,0,1,0
43,This could dramatically increase the tax liability of the employee but also the national insurance liability of the employer.,u,0,0,1,0
44,"Porta Studio at the rear of Unit 2 Health and Safety at Work etc Act 1974 Section 2(2)(c) '' The general duties of an employer extend to ''the provision and maintenance of a working environment for his employees that is, so far as is reasonably practicable, safe, without risks to health and adequate as regards facilities and arrangements for their welfare at work'' Workplace (Health, Safety and Welfare) Regulations 1992.",u,0,0,1,0
45,"If you, as an employer, do not take reasonable action to prevent anyone smoking in such an enclosed space** you could be liable to a fixed penalty of upto £2500, with additional penalties for the smoker and their manager.",u,0,0,1,0
46,"BES Consulting aims to be an equal opportunity employer, and has a policy for this purpose.",u,0,0,1,0
47,"You may wonder why your employer would pay £600 up front for a new bike for you, and only get the money back over three years.",u,0,0,1,0
48,My employer knew i had no previous experience.,u,0,0,1,0
49,(This includes pensioners who pay tax on their pension through PAYE) This enables you to authorise your employer to deduct charitable donations from your pay before calculating PAYE tax.,u,0,0,1,0
50,For more information see Usdaw''s Maternity and Parental Rights Pack (Leaflet 3 ''Returning to Work'') . The right to request flexible working Parents of children under the age of six (or 18 if disabled) have the right to ask their employer for a change in their working hours and their employer must seriously consider this request.,u,0,0,1,0
51,The regulations say that an employer can still provide benefits based on marital status.,u,0,0,1,0
52,"Add to that the security of knowing your progress is being monitored and supported by your employer and your LEC, and that you are working towards a nationally recognised qualification.",u,0,0,1,0
53,"PALATINE will recognise the Development Award recipient''s intellectual contribution to the work and the recipient, or their employer (as appropriate), will retain the intellectual property.",u,0,0,1,0
54,"Following successful processing of the details, the new employer PAYE and Accounts Office reference numbers will be issued by post, as now, usually within 3 working days.",u,0,0,1,0
55,"Note new information on Review Panel Membership and remuneration of external reviewers Overview of process Department/School reflects on Programme operation and outcomes over period since last review current situation and likely future trends and developments plans at Department/School, Faculty/School, University levels Department/School prepares · Provisional Programme Document outlining philosophy and rationale and describing the Programme proposed for the future period (e.g. next 5 years) Review Panel · convened by Faculty/School AS Comm., includes internal reviewer (extra-faculty representation) and external academic and employer representation (the external academic representation is effectively the same as the ''External Reviewer'' from the previous SHEFC preparation phase); Panel: reviews Provisional Programme Document meets staff and students prepares Review Report Department considers Review Report revises Provisional Programme Document to produce Programme Document which is submitted to Faculty/School AS Comm. and then Faculty/School Board (via Board of Studies if appropriate) and Senate for formal approval Note ''return loops'' from Faculty/School AS Comm., Faculty/School Board and Senate allow for possibility",u,0,0,1,0
56,"Health and safety Under the Health and Safety at Work Act 1974 and the Offices, Shops and Railway Premises Act 1963, an employer has a legal duty to ensure a safe and healthy environment for employees.",u,0,0,1,0
57,Employer benefits to a certified agent.,u,0,0,1,0
