Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,Our factory manager Vinod is an extremely caring employer and encourages a relaxed and friendly atmosphere at work.,m,0,1,0,0
2,"The Bardin family are landowners who have branched out into manufacturing, hardly noticing that they''ve morphed from aristocrats to bourgeoisie in the process, and while the head of the family is kind and liberal, his factory manager is a hard-liner.",u,0,0,1,0
3,"A relieved Horwood could now go home to England which prompted the Chilean factory manager to show a sudden interest in the project, ask a lot of questions and rush off to England ahead of him.",u,0,0,1,0
4,Graham has returned to SATRA after more than four years as factory manager of a company producing dance shoes.,m,0,1,0,0
5,"""What we need to do is make it cool to be good,"" argues one factory manager.",u,0,0,1,0
6,Moved up to Mid Wales to work for Laura Ashley''s in 1976 as a factory manager.,u,0,0,1,0
7,"It may be that ss factory manager, Cernak had an interest in robbing and poisoning the Slovak people.",u,0,0,1,0
8,"The company showed a significant commitment to the environment through carrying out a number of initiatives ranging from recycling cartridges, using paper from sustainable forests and environmentally friendly cleaning products, to reducing mains water usage, re-using damaged concrete blocks and designing and creating a new bonus scheme for the factory manager to minimise block production waste.",u,0,0,1,0
9,A move to Sperrin Textiles in Coleraine resulted in the position of factory manager.,u,0,0,1,0
10,"Career Change Story for Quarriers A £10,000 drop in salary brought total job satisfaction to Glasgow born Ronnie Moir when he changed career direction from factory manager to project worker with Scottish care charity Quarriers.",m,0,1,0,0
11,In individual factories there may be a works or factory manager with overall responsibility for organising and managing the production function.,u,0,0,1,0
12,"He had recurring roles as a good-natured carpenter in NBC''s ""The Facts of Life"" (during the 1985-86 season), a womanizing factory manager in ABC''s ""Roseanne"" (during the 1988-89 season), a construction worker in ""Baby Talk"" (ABC, 1991, which he quit when he clashed with the show''s producer) and as a detective in ""Bodies of Evidence"" (CBS, 1992-93).",m,0,1,0,0
13,"(Page 61 : 380 words) More . . . INTERVIEW Chris Robinson is factory manager for the afternoon shift at dried fruit and nut specialist Sundora Foods'' Pocklington, Yorkshire site By Gail Hunt Published: 11 May, 2005 Q: What was the first product you worked with?",u,0,0,1,0
14,"All rebuild parts are genuine, all polished stainless fixings, the paint was done by the factory manager at dream machine, and all chromework at the famous london chroming.",u,0,0,1,0
15,The factory manager was a tyrant who always seemed to pick me out for public humiliation in front of dozens of women.,u,0,0,1,0
16,"Mr E, a retired factory manager, insists that everything in the living room must always remain in exactly the same position.",m,0,1,0,0
17,"""Occasionally I get fed up, going to visit a factory, when I am being shown around by the chairman, who clearly hasn''t got a clue, and I try to get hold of the factory manager but I can''t because the chairman wants to make sure he''s the one in all the photographs.",u,0,0,1,0
18,At this juncture I was invited to apply for the position of factory manager at the then new Turbosound factory.,u,0,0,1,0
19,"Mr E, a retired factory manager, insists that everything in the living room must always remain in exactly the same position.",m,0,1,0,0
20,"""At any point in the day I could tell exactly where we were in the manufacturing cycle to within a few minutes,"" said factory manager David Moore.",m,0,1,0,0
21,"On 18 January, a group of workers went in their lunch break to politely ask their factory manager to pay their wages on time.",u,0,0,1,0
22,"Consumers became addicted to the delicious new flavour of the ""Secrets"" chocolates, leaving factory manager and owner Rose (Warren Mitchell) with the problem of how to meet consumer demand.",u,0,0,1,0
23,My ambitions for the future are to continue to gain experience in all of the business functions as I have an ultimate goal of becoming a factory manager.,u,0,0,1,0
24,"My Favourite Photographs A School in Kayonza where the classrooms were built with Cafédirect Premiums A Tea plucker in Igara The Tea Factory in Igara and the factory manager with me on the right Collecting tea leaves from the farmers of Kayonza Thoughts on the trip Following the trip, we could see that the partnership with Cafédirect is making a tangible social impact on the producer communities.",u,0,0,1,0
25,"Panellists will include Prof Dan Jones, with Ray Stone, operations director, Special Metals Wiggin, Bob Davis, managing director Deltron Emcon, Tim Williams-Wood and Jaguar and Land Rover virtual factory manager.",m,0,1,0,0
26,"Then there was Mr.Cresswell, the biscuit factory manager.",m,0,1,0,0
27,They tell the factory manager where the factory is to be located.,u,0,0,1,0
28,"In 1851 William Isaac Palmer, the youngest brother of George, became factory manager at a salary of £200 per year.",m,0,1,0,0
29,""" ""What you are really looking for,"" I pointed out, ""is a factory manager.",u,0,0,1,0
30,"Then Geoff, a cheerful former factory manager from Lancashire, turned cycle guide and part-time tango dancer, showed us our six-speed lightweight bikes.",m,0,1,0,0
31,"Yet the trouble was not the stereotyping – the tireless factory manager, the smiling peasants – but that the stereotyping was untrue.",u,0,0,1,0
32,I am not a factory manager.,u,0,0,1,0
33,"""ÉHe [Brezhnev] lived well, he agreed, but earned no more than a top factory manager, who could expect, with bonuses, about £200 a week.",u,0,0,1,0
34,"When I left the factory manager said to me, ''You have decided to give up an honest job to become a musician.",u,0,0,1,0
35,"And then we have the donuts factory in Peterborough, where I''m factory manager.",u,0,0,1,0
36,If you have spent some time in a production role this would be and advantage as you will be expected to work closely with the factory manager.,u,0,0,1,0
37,"We had still more trouble over our factory manager, because of the secrets of the inner room, and in the end we got a very capable woman, Mrs. Hampton Diggs, who had formerly managed a large millinery workroom, whom we could trust to keep everything in good working order without finding out anything that wasn''t put exactly under her loyal and energetic nose.",f,1,0,0,0
