Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Link Flight attendants ... of an emergency is the test important responsibility of a flight attendant ... replacement items, and may provide a small allowance to cover cleaning and upkeep of the uniforms.",u,0,0,1,0
2,But chances are I''d have my drink mixed and I''d start drinking before the flight attendant got there. *shrugs* Just a personal preference.,u,0,0,1,0
3,""" United announced on Friday, Nov. 11, that it will hire approximately 2,000 flight attendants, the first time the company has added to its flight attendant ranks in over four years.",u,0,0,1,0
4,Just then a flight attendant notified my husband that a man had fallen asleep and missed his stop.,u,0,0,1,0
5,"He repeatedly wheels out the shibboleth of Weapons of Mass Destruction but with none of the religious fervour and mock sincerity that Blair musters : a veteran United Airlines flight attendant telling us for the thousandth time how to fasten our seat belts speaks with greater conviction than either of these two. 8 a.m.: I drive Jessica down Park Lane to school as usual, and we chatter happily all the way.",u,0,0,1,0
6,"As one poster on the discussion around the original Geek feature on tech site Slashdot remarked: ""Knowing how to use technical things in the prescribed manner does not make you a geek, any more than knowing the exits on an airplane makes you a flight attendant"".",u,0,0,1,0
7,I am beginning to think that the flight attendant was right to doubt my sanity.,u,0,0,1,0
8,Start Driving Traffic & Revenue : Cover Letter Sample -- For the Corporate ... Link Flight Attendant Interview Mock flight attendant job interviews with flight attendant interview questions and answer tips ... Amazing Cover Letter Creator.,u,0,0,1,0
9,I noticed a flight attendant nipping into the loo.,u,0,0,1,0
10,"After the plane finally took off, he told the flight attendant how amazed he was at her poise and self-control, and said he wanted to write a letter of commendation for her to the airline.",f,1,0,0,0
11,Resulting from the fatal incidents fears were expressed that either the pilot of such aircraft would require a central locking system of that a flight attendant would have to be employed.,u,0,0,1,0
12,"""Velkomin heim"" - welcome home - says the flight attendant.",u,0,0,1,0
13,Start Driving Traffic & Revenue : Cover Letter Sample -- For the Corporate ... Link Flight Attendant Interview Mock flight attendant job interviews with flight attendant interview questions and answer tips ... Amazing Cover Letter Creator.,u,0,0,1,0
14,"First time I''ve ever heard of a lying preacher. effi ... wait til you hear about the lieing preachers, caught in the horizontal Chris ''golden idol tarnished'' Pando Continental says she was asked to leave after argument with attendant HOUSTON, Texas (AP) -- The wife of the pastor of the nation''s largest church said she chose to leave an airplane after a disagreement with a flight attendant, disputing accounts that she was asked to go.",u,0,0,1,0
15,Flat at Rua Alberto de Campos 51 ipanema. contact owner in the United states Pedro at (917) 749 5160. rates &30 a night or &180 per week. one week during new years for &400. he is a flight attendant and lives in New york.,m,0,1,0,0
16,"Luckily a flight attendant passed by at that moment, and he could distract himself and Buffy by a polite lunge and an ""Oh, miss-- any chance of a brandy?",f,1,0,0,0
17,"CAMERON STOUT : Big Brother, a chaperone and a cameraman, as well as a flight attendant and crew were on the plane but even the flight attendant had to ask Big Brother whether I would like a drink/meal/etc and not speak to me.",u,0,0,1,0
18,The flight attendant then began the safety speech.,u,0,0,1,0
19,Do not hesitate to ask a flight attendant for a blanket.,u,0,0,1,0
20,"A Northwest Airlines flight attendant faces charges after security officers found a real - but inactive - hand grenade in her carry-on luggage at Mitchell International Airport, officials said Wednesday.",f,1,0,0,0
21,The flight attendant watches her do this and asks to see her ticket.,u,0,0,1,0
22,"Our middle daughter, Louise, is a flight attendant with Thomas Cook (formerly JMC).",f,1,0,0,0
23,"The flight attendant winked and moved on in the darkened, almost silent cabin.",u,0,0,1,0
24,"Her brother is Jack Fields, a Fresh flight attendant.",m,0,1,0,0
25,Take an Anywaycup with you and get the flight attendant to fill that up rather than one of the plastic cups on the tray.,u,0,0,1,0
26,"Date: 2006-08-10) Preview: Passive Membership (Non-subscribers) Basic Profile, no photos, no subscription Chances of success - poor No subscription means that as a passive member you can only hope that someone contacts you, but what is there on such a brief profile that will attract contact from another member when there are so many more to browse an... 10 Reasons to be a Flight Attendant (Date: 2006-08-10) Preview: by Stephanie Shaw Every day, aspring flight attendants ask me to describe some of the benefits of a flight attendant career.",u,0,0,1,0
27,Matthews ... Perhaps they should reserve business class as an infection ward and require that at least one flight attendant be a qualified infection control nurse.,u,0,0,1,0
28,A flight attendant came out of the cockpit (fightdeck?) and with a clear sense of urgency made a PA announcement to turn off all portable electronic devices and instructed the other FAs to check all the passengers.,u,0,0,1,0
29,Simply present your Mileage Plus Premier Executive or 1K card to the flight attendant onboard and it can be swiped to activate your discount.,u,0,0,1,0
30,Only alcoholic beverages served by a flight attendant may be consumed onboard.,u,0,0,1,0
31,"A concerned passenger asked the flight attendant, ""What, exactly, was the problem?",u,0,0,1,0
32,"Despite Port Director Frank Mercer''s efforts to make his exile as uncomfortable as possible, Viktor finds a surprisingly rich life within the confines of the terminal - including a sweet romance with beautiful but insecure flight attendant Amelia (the role Catherine Zeta-Jones is circling)"".",f,1,0,0,0
33,The ''flight attendant'' (Account Coordinator) would chat with the client to determine their exhibition requirements and make them an appointment with the Account Manager on the main stand.,u,0,0,1,0
34,"Anticipating VIP treatment, he immediately sought out a flight attendant and pointed to his badge.",u,0,0,1,0
35,Our boarding representative will introduce your child to the flight attendant and provide the flight attendant with any information pertinent to your child''s flight.,u,0,0,1,0
36,"The craft had no flight attendant, planes were small and no need was, at that time, seen for them.",u,0,0,1,0
37,"His face paled and he exclaimed to a flight attendant, ""Good grief!",u,0,0,1,0
38,"About an hour or so into the flight, the flight attendant brought around the complimentary peanuts and soda pop to all the passengers.",u,0,0,1,0
39,"A passenger in Row 1 - directly above the flight computers and near the navigation antennas - was using a radio transmitter and receiver, a flight attendant said.",u,0,0,1,0
40,"After the plane finally took off, he told the flight attendant how amazed he was at her poise and self-control, and said he wanted to write a letter of commendation for her to the airline.",f,1,0,0,0
41,"Cello in hand, he approached the flight attendant at the gate and asked, ""May I bring my clarinet on board?",u,0,0,1,0
42,"I recall speaking to an American Airlines flight attendant a few years ago and she told me they start you out at about $16,000 per year.",f,1,0,0,0
43,My friend just got back from Houston where she interviewed with Continental and was offered a job as a flight attendant.,f,1,0,0,0
44,Or the African American flight attendant CeeCee Lyles and all the others that perished and who will not easily be forgotten.,f,1,0,0,0
45,Take off on time and a pleasant flight made all the merrier by the wonderful humour of the flight attendant.,u,0,0,1,0
46,"A flight attendant came over and politely said that it was ok to use my portable (Compaq LTE) on the plane but that according to a new regulation, I would not be able to use my mouse (Microsoft ballpoint)!",u,0,0,1,0
47,"Tom Roger, whose daughter was a flight attendant on American Airlines Flight 11, said: ""I would be less offended if he showed a picture of himself in front of the Statue of Liberty.",f,1,0,0,0
48,"As a flight attendant once said to a woman in front of me who complained, ""He can''t cut his legs off.",u,0,0,1,0
49,This was a 10.7% increase from the previous year. http://www.phl.org top QANTAS has officially reported that a flight attendant is in hospital in Sydney with a probable case of SARS after working on a flight from Singapore.,u,0,0,1,0
50,"After the plane was airborne, the flight attendant came around for drink orders.",u,0,0,1,0
51,Evelyn Gregory was 71 when she was hired as an airline flight attendant.,f,1,0,0,0
52,"A flight attendant, Doreen, (pseudonym) offered me tea.",f,1,0,0,0
