Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"You yourself, from your affection towards me, and the natural candour and equity of your temper, judge with indulgence.",d,0,0,0,1
2,"Last month the Strasbourg court ruled it was a breach of the right to a fair trial for a governor to sit as ""judge and jury"" in internal disciplinary hearings for offences that would be considered criminal outside prison . The government was forced to begin releasing around 900 inmates who had had up to six weeks added to their sentences for each disciplinary offence.",u,0,0,1,0
3,The judge disagreed.,u,0,0,1,0
4,"Howard was opposed to granting so unusual a privilege, but the judge took Luigi''s part, and added that indeed he himself might fairly be considered entitled to another trial, because although the proxy on the other side was in no way to blame for his (the judge''s) humiliatingly resultless work, the gentleman with whom he was fighting this duel was to blame for it, since if he had played no advantages and had held his head still, his proxy would have been disposed of early.",m,0,1,0,0
5,""" There was another vast and unnatural silence, and this time it was the judge who spoke.",u,0,0,1,0
6,"The judge dismissed the appeal, adopting the opinion of Thomas J ( The Aegean Sea ), that the 1976 Convention ""does not provide, (and is not intended to provide) any entitlement to charterers to limit where the shipowner brings [this type of claim] against the charterers.",u,0,0,1,0
7,"The judge instructed him to purge himself with the aid of five neighbours, and issued a new monition.",u,0,0,1,0
8,The judge was Sylvia Spencer from Wakefield.,f,1,0,0,0
9,"ASSIGNMENT OF PROCEEDINGS Rule 3 The jurisdiction of the High Court under section 54(3) of the Act shall be exercised by a single judge . TIME LIMIT FOR MAKING APPLICATION Rule 4 An application under section 54(3) of the Act shall be made not later than 28 days after --- (a) the expiry of the period allowed for appealing (whether by case stated or otherwise), or making an application for leave to appeal , against the conviction referred to in section 54(1)(b) of the Act; or (b) where notice of appeal or application for leave to appeal against the conviction is given, the determination of the",u,0,0,1,0
10,"At first instance, the judge accepted that SRT had been in breach of duty and Somatra would otherwise have won the trial.",u,0,0,1,0
11,"The judge took account of the fac.oblig nature of the transaction, which imposed no restriction on the reinsured''s right to choose whether to cede or not, but gave the reinsurer no equivalent right to reject the risk ceded.",u,0,0,1,0
12,"The judge, Mr Justice Collins, commenting on the last minute settlement said: ""It doesn''t altogether surprise me"".",m,0,1,0,0
13,""" The judge found that: ""the Group had at all material times expertise in contemporaneous terms with respect to asbestos and the known hazards arising therefrom through the experience and knowledge of its Unit Companies.",u,0,0,1,0
14,"Judge -- Mr E Crozier, Faugh Beeches, Heads Nook, Carlisle, Cumbria.",m,0,1,0,0
15,Judge for yourself...,d,0,0,0,1
16,JUDGE SEROTA: Very well.,u,0,0,1,0
17,That''s for the judge and jury!,u,0,0,1,0
18,This interest has developed through her membership of the executive committee of the Commonwealth Writers Prize and in her role as a judge of a number of literary prizes.,d,0,0,0,1
19,"In Drake v Whipp [1996] 1 FLR 826, CA the trial judge had awarded the claimant an interest of 19.4%, raised to one-third on appeal; in Cooke , 6.47% was raised to one-half.",u,0,0,1,0
20,"""Finally, ladies and gents, I present to you our third judge, noted author and activist, womens'' rights champion and president of the Free Your Captive Foundation, it''s Gloria Steinem!",d,0,0,0,1
21,In some cases an unfavourable ruling by the judge may cause the prosecution to be discontinued because the material information is so sensitive that it is not possible to disclose it in any form.,u,0,0,1,0
22,"Crippen was defended by A.A. Tobin, KC (later a judge).",u,0,0,1,0
23,"Russian police said they had received complaints about the loud ""squawking"" of the teenage fans - Shapovalov was later reprimanded by a judge.",u,0,0,1,0
24,"It is, however, important to have in mind that what the Lawrences are seeking to do is to adduce further evidence of bias after this court has already considered an appeal where the issue of bias was raised and it was decided that no case of bias on the part of the deputy circuit judge was made out. 59.",u,0,0,1,0
25,"Part of it appears to have passed to Martin de la Rokele, who in 1311-12 sold a house, a carucate, and 4 a. of wood to Roger le Brabazon, a judge.",m,0,1,0,0
26,"However, the only reference to this issue in Park J''s judgment is to ""documents which are marked without prejudice but which were properly shown to me when my judgment had been delivered and the case moved on to issues of costs"" . Is this case authority for the proposition that a judge may have access to all without prejudice material to decide costs issues, even where no right has been reserved to refer it?",u,0,0,1,0
27,That comment strikes a responsive echo in the heart of any judge who has heard care proceedings.,u,0,0,1,0
28,"The judge seems to tolerate this unresponsiveness, even when I protest, and once he instructs me, using sharp words, to allow Evans to complete his remarks.",m,0,1,0,0
29,JUDGE: No excuse.,u,0,0,1,0
30,"A party against whom an issue has been decided by a judge may allege that there was a real danger that the judge was biased, eg because he was a member of an organisation (professional or otherwise) which might be said to have an interest in the other party''s success; or because the judge has expressed opinions which arguably pre-dispose him to decide the case as he has.",m,0,1,0,0
31,Some Sports Stuff: Once renowned line judge Thomas Shibley Thomas will be on hand next Saturday to dedicate the new clay tennis court at the Ernest Stuffe University Wymsey Manor campus.,d,0,0,0,1
32,LAFON: Expert = the de facto judge - therefore in what way can the lawyer organize his defense in terms of omnipresence of the de facto judge who is the expert and dominates the legal judge?,u,0,0,1,0
33,Appeals court judge Piero Sandulli defended the verdicts in the Italian match-fixing case which have seen Fiorentina and Lazio reinstated to Serie A and Juventus have their points penalty reduced at the first time of asking.,m,0,1,0,0
34,"But Oisin had obviously decided he was going to finish his Irish career with a flourish as, to a tremendous cheer from the large group of spectators, he won yet another Best in Show title under judge Mr Terry Griffin.",d,0,0,0,1
35,The judge confirmed ISPs unaware of their customers using their services to post defamatory statements are likely to have comprehensive defences.,u,0,0,1,0
36,"Trisha, who hopes to adopt Baby Emily, is biding her time until a judge makes a final ruling on the case.",u,0,0,1,0
37,"Whilst, speaking for myself, I have no quarrel with the first seven words of the final sentence of that citation, and whilst I accept that what the judge is saying in the balance of the extract amounts to a finding of fact, I do not think that what the judge says is a proper fulfilment of his obligation to weigh in the balance the matters contained in section 3(1)(d) of the 1975 Act, particularly when he has not troubled to relate how much money was available in the other ""family trusts"" to benefit Diana, Victor and the latter''s children, or set out what the terms of those trusts were. 51.",m,0,1,0,0
38,"(4) Where a warrant is issued for the whole or part of the said sum of money and costs , the court officer shall, unless the district judge responsible for execution of the warrant directs otherwise, send a warning notice to the person against whom the warrant is issued and, where such a notice is sent, the warrant shall not be levied until 7 days thereafter.",u,0,0,1,0
39,There''s no need to go over the top at this stage as time and supporters'' opinions will be the judge of the new regime.,d,0,0,0,1
40,A London judge has apparently refused to deport a Reading robber even though he should have been deported some two years ago!,u,0,0,1,0
41,"The track is to be included instead on their next album, which is to be released later in the year following their first ever UK tour this summer. -------------------------------------------------- AMERICAN IDOL AFFAIR ACCUSATIONS Scandalous accusations are emerging over at American idol, as former American Idol contestant Corey Clark has claimed he had a secret affair with judge Paula Abdul.",d,0,0,0,1
42,"Where in future there was the possibility of witness contamination, it was suggested that if the decision to admit bad character evidence were postponed until the evidence of the complainants and any other witnesses were concluded, the judge, when deciding whether to admit the evidence of bad character, would have well in mind the precise details of the evidence actually given, with such weaknesses and problems as might have emerged.",u,0,0,1,0
43,"The judge goes on then in the following paragraph to approve the care plan with foster carers, alas not in the locality but arrangements made for transportation.",u,0,0,1,0
44,"A blind retrieve will definitely be included at some point which means that you will need to be able to handle your dog to the area pointed out by the judge, let it hunt and use its nose to find the dummy.",d,0,0,0,1
45,"He applied for an adjournment in order to attempt to recover some of the money, but the judge turned him down.",u,0,0,1,0
46,"If this is right, then transferring some of the controlling power to an external, skilled agent - the judge - would seem to make good sense: ""a good judge in essence changes the production function for Mr Right and lowers the production function for Mr Wrong"" (Tullock 1980, p 95).",u,0,0,1,0
47,The judge dealt with that in this way.,u,0,0,1,0
48,"After her demise the Lordship was purchased from her father in 1538 by Sir John Baldwin, a leading citizen of Aylesbury and the late Queen''s judge.",m,0,1,0,0
49,''Who are you to judge?,d,0,0,0,1
50,"The official receiver should serve notice on the county court district judge in each county in which the insolvent is believed to have property. 9.75 Officer charged with execution in possession of property If the official receiver becomes aware that the officer charged with the execution is in possession of the insolvent''s property, he/she should serve notice on the officer charged with the execution, by recorded delivery, requesting delivery of the property and an account of the officer charged with the execution''s charges [ note 23 ] . Where execution has been levied in more than one county and the executions are complete (see paragraph",u,0,0,1,0
51,"At the conclusion of a trial of an exceptionally exacting nature, the judge may direct that the members of the jury be excused from further jury service for such period as he thinks fit.",m,0,1,0,0
52,"As to acquiescence, the judge referred specifically to the fact that the father was not aware until July 2005 of the existence of the Hague Convention and the mechanisms that exist to enforce rights arising under it.",u,0,0,1,0
53,"When the judge asked where the defendant had gone, Trevor replied, ""You asked me to give him good advice.",u,0,0,1,0
54,They said that they elected to call no evidence after the judge had wrongly ruled in favour of the Crown''s submission on the law.,u,0,0,1,0
