Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,,u,0,0,1,0
2,,u,0,0,1,0
3,,u,0,0,1,0
4,,u,0,0,1,0
5,,m,0,1,0,0
6,,u,0,0,1,0
7,,m,0,1,0,0
8,,f,1,0,0,0
9,,f,1,0,0,0
10,,u,0,0,1,0
11,,m,0,1,0,0
12,,m,0,1,0,0
13,,m,0,1,0,0
14,,u,0,0,1,0
15,,u,0,0,1,0
16,,u,0,0,1,0
17,,u,0,0,1,0
18,,u,0,0,1,0
19,,m,0,1,0,0
20,,m,0,1,0,0
21,,u,0,0,1,0
22,,u,0,0,1,0
23,,u,0,0,1,0
24,,u,0,0,1,0
25,,u,0,0,1,0
26,,u,0,0,1,0
27,,u,0,0,1,0
28,,m,0,1,0,0
29,,u,0,0,1,0
30,,u,0,0,1,0
31,,u,0,0,1,0
32,,m,0,1,0,0
33,,m,0,1,0,0
34,,f,1,0,0,0
35,,u,0,0,1,0
36,,m,0,1,0,0
37,,u,0,0,1,0
38,,u,0,0,1,0
39,,u,0,0,1,0
40,,f,1,0,0,0
41,,u,0,0,1,0
42,,m,0,1,0,0
43,,u,0,0,1,0
44,,u,0,0,1,0
