Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,,m,0,1,0,0
2,,u,0,0,1,0
3,,m,0,1,0,0
4,,u,0,0,1,0
5,,m,0,1,0,0
6,,m,0,1,0,0
7,,m,0,1,0,0
8,,m,0,1,0,0
9,,m,0,1,0,0
10,,m,0,1,0,0
11,,u,0,0,1,0
12,,u,0,0,1,0
13,,m,0,1,0,0
14,,u,0,0,1,0
15,,u,0,0,1,0
16,,m,0,1,0,0
17,,m,0,1,0,0
18,,u,0,0,1,0
19,,u,0,0,1,0
20,,m,0,1,0,0
21,,f,1,0,0,0
22,,m,0,1,0,0
23,,u,0,0,1,0
24,,m,0,1,0,0
25,,u,0,0,1,0
26,,m,0,1,0,0
27,,m,0,1,0,0
28,,u,0,0,1,0
29,,u,0,0,1,0
30,,u,0,0,1,0
31,,m,0,1,0,0
32,,m,0,1,0,0
33,,u,0,0,1,0
34,,m,0,1,0,0
35,,m,0,1,0,0
36,,m,0,1,0,0
37,,m,0,1,0,0
38,,m,0,1,0,0
39,,m,0,1,0,0
40,,u,0,0,1,0
41,,m,0,1,0,0
42,,u,0,0,1,0
43,,m,0,1,0,0
44,,m,0,1,0,0
45,,m,0,1,0,0
46,,u,0,0,1,0
47,,m,0,1,0,0
48,,m,0,1,0,0
49,,u,0,0,1,0
50,,m,0,1,0,0
51,,m,0,1,0,0
52,,m,0,1,0,0
53,,m,0,1,0,0
54,,m,0,1,0,0
55,,m,0,1,0,0
56,,m,0,1,0,0
57,,m,0,1,0,0
58,,f,1,0,0,0
59,,u,0,0,1,0
60,,m,0,1,0,0
61,,u,0,0,1,0
62,,m,0,1,0,0
63,,u,0,0,1,0
64,,u,0,0,1,0
65,,m,0,1,0,0
66,,u,0,0,1,0
67,,m,0,1,0,0
68,,u,0,0,1,0
69,,m,0,1,0,0
70,,m,0,1,0,0
71,,m,0,1,0,0
72,,u,0,0,1,0
73,,u,0,0,1,0
74,,m,0,1,0,0
75,,m,0,1,0,0
76,,m,0,1,0,0
77,,u,0,0,1,0
78,,d,0,0,0,1
79,,u,0,0,1,0
80,,m,0,1,0,0
81,,m,0,1,0,0
82,,m,0,1,0,0
83,,u,0,0,1,0
84,,m,0,1,0,0
85,,m,0,1,0,0
86,,m,0,1,0,0
87,,m,0,1,0,0
88,,m,0,1,0,0
89,,m,0,1,0,0
90,,m,0,1,0,0
91,,u,0,0,1,0
92,,u,0,0,1,0
93,,d,0,0,0,1
94,,m,0,1,0,0
95,,m,0,1,0,0
96,,m,0,1,0,0
97,,m,0,1,0,0
98,,u,0,0,1,0
99,,m,0,1,0,0
100,,m,0,1,0,0
101,,d,0,0,0,1
102,,u,0,0,1,0
103,,m,0,1,0,0
104,,u,0,0,1,0
105,,m,0,1,0,0
106,,u,0,0,1,0
107,,m,0,1,0,0
108,,u,0,0,1,0
109,,m,0,1,0,0
110,,m,0,1,0,0
111,,m,0,1,0,0
112,,m,0,1,0,0
113,,d,0,0,0,1
114,,m,0,1,0,0
115,,u,0,0,1,0
116,,m,0,1,0,0
117,,m,0,1,0,0
118,,m,0,1,0,0
119,,u,0,0,1,0
120,,u,0,0,1,0
121,,m,0,1,0,0
122,,u,0,0,1,0
123,,d,0,0,0,1
124,,m,0,1,0,0
125,,m,0,1,0,0
126,,m,0,1,0,0
127,,m,0,1,0,0
128,,m,0,1,0,0
129,,m,0,1,0,0
130,,m,0,1,0,0
131,,u,0,0,1,0
132,,d,0,0,0,1
133,,u,0,0,1,0
134,,u,0,0,1,0
135,,u,0,0,1,0
136,,u,0,0,1,0
137,,m,0,1,0,0
138,,u,0,0,1,0
139,,m,0,1,0,0
140,,m,0,1,0,0
141,,u,0,0,1,0
142,,u,0,0,1,0
143,,m,0,1,0,0
144,,m,0,1,0,0
145,,u,0,0,1,0
146,,m,0,1,0,0
147,,u,0,0,1,0
148,,u,0,0,1,0
149,,m,0,1,0,0
150,,m,0,1,0,0
151,,m,0,1,0,0
152,,u,0,0,1,0
153,,u,0,0,1,0
154,,m,0,1,0,0
155,,u,0,0,1,0
156,,u,0,0,1,0
157,,f,1,0,0,0
158,,u,0,0,1,0
159,,u,0,0,1,0
160,,u,0,0,1,0
161,,m,0,1,0,0
162,,u,0,0,1,0
163,,u,0,0,1,0
164,,m,0,1,0,0
165,,m,0,1,0,0
166,,m,0,1,0,0
167,,u,0,0,1,0
168,,m,0,1,0,0
169,,m,0,1,0,0
170,,m,0,1,0,0
171,,d,0,0,0,1
172,,m,0,1,0,0
173,,m,0,1,0,0
174,,d,0,0,0,1
175,,m,0,1,0,0
176,,m,0,1,0,0
177,,u,0,0,1,0
178,,u,0,0,1,0
179,,u,0,0,1,0
180,,u,0,0,1,0
181,,u,0,0,1,0
182,,m,0,1,0,0
183,,m,0,1,0,0
184,,m,0,1,0,0
185,,m,0,1,0,0
186,,u,0,0,1,0
187,,m,0,1,0,0
188,,m,0,1,0,0
189,,m,0,1,0,0
190,,m,0,1,0,0
191,,m,0,1,0,0
192,,u,0,0,1,0
193,,u,0,0,1,0
194,,m,0,1,0,0
195,,m,0,1,0,0
196,,u,0,0,1,0
197,,m,0,1,0,0
198,,m,0,1,0,0
199,,u,0,0,1,0
200,,m,0,1,0,0
201,,u,0,0,1,0
202,,m,0,1,0,0
203,,m,0,1,0,0
204,,u,0,0,1,0
205,,m,0,1,0,0
206,,u,0,0,1,0
207,,u,0,0,1,0
