Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"He claimed that he was a carpenter in order to get a free passage, but actually worked again as a law clerk for solicitors in Adelaide.",m,0,1,0,0
2,"After serving as a law clerk in 2004-05 at the Minnesota Supreme Court, she returned to Faegre & Benson as an attorney.",f,1,0,0,0
3,"After serving as a law clerk to Justice Rehnquist, he began his public career in the Reagan administration as an aide to Attorney General William French Smith from 1981 to 1982, and then as an associate White House counsel.",m,0,1,0,0
4,"He also worked as a law clerk at Sughrue et al, attorneys in Washington DC specialising in antitrust and IP law.",m,0,1,0,0
5,"Daniel Jones, a law clerk, left for Australia in October 1856.",m,0,1,0,0
6,"Nothin'' like my East Lothian tenement, or the mirrored grievances of a law clerk. ... and there is no chance of getting home again...",u,0,0,1,0
7,"He worked as a law clerk for both the New York District Court and the US Supreme Court before joining Columbia Law School in the late 1980s, where he still works as a professor of law and legal history.",m,0,1,0,0
8,"Prior to coming to the UK, she had a successful and enjoyable career working for a major oil company and as a law clerk for the State of Texas District Attorney.",f,1,0,0,0
9,"Lewalski also observed, in 1962 (Lewalski 327-43), that the name Portia borrows for her disguise as a young law clerk, Balthasar (or as the Geneva Bible spells it, ""Belteshazàr""), was the name assigned to Daniel by Ashpenaz, King Nebuchadnezzar''s ""chief of the Eunuches"" when Daniel and three other children of Israel''s royal household were taken from Israel to live in captivity in Babylon (Daniel 1:7). 5 Thus, though Shylock probably alludes to the story from the book of Susanna when he praises Portia as ""a Daniel come to judgment, yea, a Daniel,"" his allusion is already undercut and displaced",f,1,0,0,0
10,"While undertaking graduate studies in Geneva, he spent six months in The Hague, as a law clerk at the International Criminal Tribunal for the former Yugoslavia, where he clerked for both the Deputy Registrar and the President of the Tribunal.",m,0,1,0,0
11,"Prior to joining the University of Toronto he served as a law clerk to the Supreme Court of Canada for the late Mr Justice John Sopkina and then briefly practised corporate law with Torys, a Toronto law firm.",m,0,1,0,0
12,"Document 10 Dfs: J Almond: 1st Sworn: 22 May 1995 Filed: 22 May 1995 IN THE TAVINGTON COUNTY COURT Case No 95/689 (Transferred from the High Court of Justice, 1995 - S - High Court No 123 Queen''s Bench Division) BETWEEN SERGEANTS (A FIRM) PLAINTIFFS AND TAVINGTON ELECTRICS LIMITED DEFENDANTS AFFIDAVIT OPPOSING APPLICATION BY DEFENDANTS FOR ORDER TO STAY ALL FURTHER PROCEEDINGS I, Joan Almond, law clerk employed with Hazel and Nut of 12 Almond Road, Tavington, East Weyshire TV0 0XX, DX Tavington 12, solicitors for the Plaintiffs do solemnly and sincerely affirm as follows: I have had the conduct of the action on behalf of the Plaintiffs and I am authorised to make this affidavit on their behalf.",f,1,0,0,0
13,He has served as a law clerk at the New Jersey Supreme Court.,m,0,1,0,0
14,"Attention is also given to bad quartos and the matter of memorial reconstruction, source-plays, derivative plays, dating, ""collaboration,"" so-called ""stylometry,"" and handwriting (a script, Sams suggests, of a law clerk suggesting links to the hand of Edmund Ironside [c.1588]).",u,0,0,1,0
15,"Educated at Edinburgh University , Scott became a law clerk in his father''s office.",m,0,1,0,0
16,"She has many years'' experience in legal services, having started her career as Parliamentary Clerk to the Director of Public Prosecutions, before working as a law clerk and then in legal publishing.",f,1,0,0,0
17,Tulio Coelho is a partner and Ana Luiza Ferreira a law clerk in the antitrust and foreign trade/WTO practice group of Trench Rossi e Watanabe in Brasilia.,f,1,0,0,0
18,"In 1952, while a law clerk for Supreme Court Robert H. jackson, Rhenquist wrote that the nazi ""separate but equal"" doctrine announced by the Supreme Court in Plessy v. Ferguson (1892), which sanctioned economic supression, bigotry and discrimination against Afroid citizens, was ""right and should be affirmed"" Rhenquist made this statement in a legal memorandum to Justice Jackson unsuccessfully, for Jackson voted with the majority which ruled in Brown v. Board of Education that government-sponsored racial discrimination violated the equal protection clause of the what is left of the U.S. Constitution, post 2002",u,0,0,1,0
19,"He has represented law clerk Eric Adusei, who called him a ""coon"", ""black boy"" and ""blackamoor"" by his solicitor boss.",m,0,1,0,0
20,The Association of Law Clerks - provide training for those interested in obtaining work as a law clerk.,u,0,0,1,0
