Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,This led to the supposition that of all the trees in Britain the Fortingall Yew was monarch of antiquity.,u,0,0,1,0
2,"The congresses of these unions, which took place in August of this year [1915], sharply stressed that a final attempt was being made to open the eyes of the monarch, who was being pushed into an abyss by Goremykin''s policies; and when the deputation was refused an audience, the leading opposition circles resolutely decided no longer to take even the smallest steps toward contact with the monarch; because events must now move past him, for he has placed himself in a position where ""atonement"" is the only way out.",u,0,0,1,0
3,"Amidst all of the current retrospective events, one of the more neglected aspects of her reign is that Victoria was the first monarch who had to cope with the type of media attention that has subsequently become the norm for the British royal family.",f,1,0,0,0
4,"On the death of the last-named monarch, King John, setting aside the claims of his nephew, Prince Arthur (the son of an older brother) seized the crown.",m,0,1,0,0
5,"It was announced just a few days ago that research conducted by a group of scientists coordinated by USDA''s Agricultural Research Service found ""no significant risk to monarch butterflies from environmental exposure to Bt corn pollen.",d,0,0,0,1
6,The monarch can only afford to pick such a fight when it''s clear (not just to the monarch but also to the nation as a whole) that the government is out of whack with the nation and needs to be kicked back into line.,u,0,0,1,0
7,"Archetypes of Leo are the monarch or aristocrat, the warrior, the advocate or proclaimer, or, conversely, the victim of overpowering forces or people.",u,0,0,1,0
8,"The next engine of the class – no.3024 MONARCH, also built in 1953 – was the last.",d,0,0,0,1
9,"Quoting Roman wisdom, the monarch pronounced that ''art should elevate and instruct ... it should not make the misery that exists appear even more miserable than it is''.",u,0,0,1,0
10,"So here was the novelty of a king without a keeper, an absolute monarch who was absolute in sober truth and not by a fiction of words.",m,0,1,0,0
11,"Yet besides the appearance of standing above party squabbles and the undoubted propaganda value provided by royal continuity, pageantry, local visits and nationwide broadcasts, the monarch retains certain powers that could serve the interests of capital well in an emergency situation.",u,0,0,1,0
12,In England Henry VIII (1509-47) rejected papal authority and established an independent church with the monarch as its head.,m,0,1,0,0
13,"1 – If Wishee Washee is on stage, which Christmas panto are you watching? 2 – Rearrange SOME TITLE to find something we hang up at Christmas. 3 – What was at Number One in the pop charts at Christmas last year? 4 – Why was December 25 chosen as the date to celebrate Christmas? 5 – Which monarch made the first Christmas Day broadcast to the nation? 6 – The following people have names with a Christmas connection – a) she sang Kiss Kiss , b) Sale Of The Century presenter, c) Countdown girl, d) The King And I star. 7 – Why do we wear paper hats at Christmas parties? 8 – Which of Santa''s reindeer has the same name as a well-known retailer? 9 – "" Look to the future now it''s only just begun "" are lyrics from which Christmas pop song? 10",u,0,0,1,0
14,"the crematorium was a hotbed of rumour When home was the Torry Battery The Aberdeen Mafia in Hong Kong Folk who speak in Strathspeys John Anderson: The Wizard of the North The Wow oâ€TM Riven New clan herald dons his tabard Nechtan, high king of Picts January 2002 Marion Youngblood If Pictish sagas could be unearthed from the oblivion into which they descended after â€ ̃unionâ€TM with the Scots, Nechtan highking of Picts, the last in the Heroic Age of Pictish warriors, anointed leader of his people, evangelising monarch, would top the bill.",m,0,1,0,0
15,He was the first child to be born to a reigning monarch for 103 years.,m,0,1,0,0
16,"In particular, Christmas issues and other special supplements of celebrated Victorian and Edwardian magazines - typically those commemorating a royal anniversary or paying tribute on the death of a monarch - employ vibrant illustrations and meticulous design of the very finest standards.",u,0,0,1,0
17,This was the first public event undertaken jointly by a British monarch and the President of Ireland.,u,0,0,1,0
18,"LOAN) [Neoclassical] sculpture close to plinth (5) SOCLE (Anag CLOSE) Name monarch in [criminal] charge (4) ERIC (ER (Queen) + IC (in charge)) A posh motoring club [orders] books about vehicle (7) AUTOCAR ( A + U (posh) + RAC+ OT (Old Testament) rev.) Germanic raider [rashly] attacked Hungary (4) GOTH (GOT + H(ungary)) Chicken feed [really] contains very little (5) PAVID (V(ery) inside PAID) Wrongdoing''s [usually] rejected, with one legal proviso",d,0,0,0,1
19,"Apart from a brief spell between 1649 and 1660, when the English refused to hold Charles II of Scotland as their monarch, the Scots have been the true descendants of what is now held to be the British royal family.",m,0,1,0,0
20,"It leads into Canterbury Quad. 87 using an instrument a cant phrase in the newspaper for the tools of the trade of abortion, then an illegal vocation 88 Stonyhurst prominent Jesuit school in Lancashire. 88 the Guards the most prestigious regiments in the Army, charged with guarding the monarch.",u,0,0,1,0
21,""" This was insufferable to the insensate and irritated monarch, and he commanded that Shadrach, Meshach, and Abednego should be brought.",m,0,1,0,0
22,"The replies received state that the Queen is obliged to act on the advice of her Ministers - presumably even if that advice amounts to making her break her oath to her people, which is an act of treason, in legal terms, ''persuading the monarch to govern in a particular way''.",f,1,0,0,0
23,The last monarch to do so was James II.,m,0,1,0,0
24,"It was surely possible that, while believing that the party which had brought Charles to the scaffold had violated the letter of the constitution, he may also have believed that it was in righteous punishment of one whose whole career as a monarch had been one long conspiracy against it, and who had aimed, by fourteen years of force and perfidy, to establish despotism upon the ruins of popular liberty.",m,0,1,0,0
25,The degree of influence the monarch has on actual government formation is a topic of ongoing speculation.,u,0,0,1,0
26,But it was not - the monarch could not write his name.,m,0,1,0,0
27,"A boy prince, married in infancy to a Grandee''s daughter, snatched from the arms of his Methodist monarch father, brought up anonymously as a gondolier, with no-one knowing who was heir to his father''s throne, provides the archetypal tangled plot for which the Savoy operas are so well known.",m,0,1,0,0
28,"Here George III emerges in much the same way as he does in the chapter on high politics – as a monarch who was not afraid to have his say, but who was not his own first minister.",m,0,1,0,0
29,"In a spirited and large cast version of his 1972 cod pageant Elizabeth the First, they represent a sixteenth century troupe of strolling players, touring a show about the politics and personalities of their own time - with interruptions by local big-wigs and the monarch himself.",m,0,1,0,0
30,"Tarquin had been a cruel and arrogant monarch, and the new republic was determined to be free of kings for ever.",m,0,1,0,0
31,"Besides possessing wealth and power above any monarch of his time, he was a man of great ability, decision, and activity.",m,0,1,0,0
32,"""The Queen doesn''t seem to be worried,"" she revealed, and earnestly explained the means by which the monarch was to kick start this singalong - ""it''s a very special metronome,"" she emphasised, mysteriously.",f,1,0,0,0
33,"At the cutting edge of climate change research, MONARCH assesses which areas will become suitable for different species, as the climate changes, and also tries to work out what other factors may help or block their movement. â€œIf habitats change and species need to move because of climate change, we need to find out how land management might help those species move into other areas,â€? explains Clive Walmsley, CCWs Environmental Change Adviser and manager of the MONARCH project.",d,0,0,0,1
34,"Belgium - Language, Culture and Business Etiquette Facts and Statistics Location: Western Europe, bordering France 620 km, Germany 167 km, Luxembourg 148 km, Netherlands 450 km Capital: Brussels Climate: temperate; mild winters, cool summers; rainy, humid, cloudy Population: 10,348,276 (July 2004 est.) Ethnic Make-up: Fleming 58%, Walloon 31%, mixed or other 11% Religions: Roman Catholic 75%, Protestant or other 25% Government: federal parliamentary democracy under a constitutional monarch Languages of Belgium Official Languages of Belgium are French , Dutch and German . Wallon is used by 33% of population.",u,0,0,1,0
35,This biography introduces the monarch.,u,0,0,1,0
36,Very few of us remember any other monarch other than The Queen.,f,1,0,0,0
37,Queen Elizabeth II is the 40th monarch since William the Conqueror to rule from her throne in London.,f,1,0,0,0
38,Kids and Teens Biography British Monarchs The British Monarchy - Provides brief biographical sketches of each monarch in the house of Windsor.,u,0,0,1,0
39,No monarch has set foot in the Commons since Charles I entered the Commons and tried to arrest five Members of Parliament in 1642.,m,0,1,0,0
40,"Furthermore human rights were being increasingly recognised by the courts as part of the common law, ''the birthright of the people'' and part of the compact between the monarch and Parliament.",u,0,0,1,0
41,"By the year''s end the little army was scattered, many of Northumberland''s nobility and gentry dead and the Hanoverian monarch more firmly on the throne.",u,0,0,1,0
42,"Traditions surrounding the State Opening and delivery of a speech by the monarch can be traced back at least to the 16th century, but the modern ceremony dates from the opening of the new Palace of Westminster in 1852.",u,0,0,1,0
43,"Births and Deaths Anne 1665: Queen Anne, last Stuart monarch of Great Britain and Ireland 1702 14, born in London, England ( 1714).",f,1,0,0,0
44,Very different than a concept of an earthly monarch or a false god.,u,0,0,1,0
45,The aristocrats of that day were not independently wealthy and owed their holdings and titles to the monarch.,u,0,0,1,0
46,"The united burghs, under the common name of Fortrose, received a confirmation of all ancient privileges from James VI., in 1592; and by charter of the same monarch, in 1612, these privileges were extended, and the burgesses invested with all the liberties and immunities enjoyed by those of Inverness.",m,0,1,0,0
47,"The first is independence, for the members of the Commission were appointed by the monarch in council, and this has remained unchanged through the years.",u,0,0,1,0
48,""" The idea seemed whimsical enough for a dream: by the sacrifice of my heavy moustache and carefully pointed imperial, I was to be transformed into a monarch!",m,0,1,0,0
49,We also include brief notes about each monarch and their coins.,u,0,0,1,0
50,It is perhaps fitting that a monarch who gave her name to a 19th century age of such vitality and forward thinking should have died in the 20th century.,f,1,0,0,0
51,"A practising Catholic monarch would submit to the Pope as the highest temporal and spiritual authority in the land, and this would have religious, constitutional, political and social implications for the country - although the extent to which these would impact upon an increasingly secular society, is indeed arguable.",u,0,0,1,0
52,The Telegraph on Monday reported that Michael Howard backs the abolition of the centuries-old ban on the monarch becoming or marrying a Roman Catholic.,u,0,0,1,0
53,He was the first Stuart monarch and the first English king to be called James.,m,0,1,0,0
54,The coin would normally bear the portrait of the monarch so that the piece could take the place of the monarch.,u,0,0,1,0
55,"It is recognized that the mention of the king can quite conceivably be in reference to a Gentile monarch, e.g. in viii.15; xxx.22, 27; xxxi.4 belonging to later collections.",m,0,1,0,0
56,"In addition to his role as monarch, the Kabaka was also he head of all the clans in the kingdom.",m,0,1,0,0
57,The timid monarch was easily persuaded to exchange the risks of flight for the prospect of ease and pleasure in banishment.,u,0,0,1,0
58,"Other losses included the Gainsborough portrait of Mark Beaufoy, the Kneller portrait of William III showing the mounted monarch leading his troops at the Battle of the Boyne, the Hoppner portrait of William Pitt the Younger (Honorary Freeman, 1784) and the Winterhalter portrait of the young Queen Victoria.",m,0,1,0,0
59,"Captain Britain and Meggan find him in ""the Emperor''s compound"" in Mbangawi, but Emperor is a rather grandiose title for the ruler of a small African nation, and it may simply be that this is a holdover from colonial days, when a foreign monarch ruled Mbangawi prior to independence - e.g. the compound used to be the residence of the Emperor when he visited the country, and has retained that name long after the Empire faded.",u,0,0,1,0
60,"She knows nothing of her husband''s death, nor will she until the brig Douglas sails into the harbour at the island with the body of the island monarch on board.",u,0,0,1,0
61,"Until this point, Ireland had had general elections only on the death of a monarch.",u,0,0,1,0
62,"What can be a greater adventure than raiding the city of Savatthi, or a greater conquest than the rape of the fingers of its monarch?",u,0,0,1,0
63,"The base ingratitude with which they were afterwards treated, in 1662, by the very monarch whom they helped to restore, is one of the most shameful pages in the history of the Stuarts.",u,0,0,1,0
64,Restore the right of the people to effectively petition the monarch against bad government by Ministers of the Crown.,u,0,0,1,0
65,Valerie Mason-John is one of our most adventurous performance artists - a veritable monarch of marauding mayhem.,d,0,0,0,1
