Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Every musician has a hero and mine was, and still is, Andy Mackay.",u,0,0,1,0
2,"Mary came to regard her foolish husband as an embarrassment and spent much time with her favourite Italian musician, David Rizzio.",m,0,1,0,0
3,"MARTIN e GREIL (Dornbirn, Austria) Martin e Greil is a composer, sound artist/musician.",m,0,1,0,0
4,"Bernstein was a hard-working musician, starting out initially as a pianist.",u,0,0,1,0
5,"He asks for a divorce from Rebecca, staying that if he were free he thought he could become a great musician.",m,0,1,0,0
6,"Whatever his or her level, the musician will appreciate the feel and the acoustic qualities of BUFFET CRAMPON student clarinets.",u,0,0,1,0
7,"But all this other stuff, the attitude, going on around it, I mean U can be a great musician and not have the right kind of approach.",u,0,0,1,0
8,"Anthony Joseph, poet, musician, novelist and lecturer; publications include Desafinado (poisonenginepress, 1994), Teragaton (poisonenginepress, 1997) and The African Origins of UFOs (forthcoming, Salt, autumn 2006).",m,0,1,0,0
9,"An Italian musician at the Court desired to compose some music for a new opera, and as there was no time to send to Italy I offered to compose the libretto.",u,0,0,1,0
10,"David subsequently became known to Saul, and 1 Samuel gives two accounts of this: the first tells how David, an able musician, played the lyre to soothe the king when he was suffering from depression (or plagued by an evil spirit); the second is the familiar tale of David''s killing of the Philistine giant, Goliath.",m,0,1,0,0
11,Mozart had finally broken free and would remain an independent musician for the rest of his short life.,m,0,1,0,0
12,"You *can* make your device memory mapped, but it''s usually not a good idea. - Mark Sokos (msokos1@gl.umbc.edu) Electrical engineer, computer geek (er, programmer), no-talent bum musician, and perpetual student http://www.gl.umbc.edu/~msokos1: alt.comp.hardware.homebuilt FAQ, ISA and other bus info, and schematics (mostly audio). === Simple PIC prgmmer at... http://www.isc-durant.com/nolan === Someone looking for a 4 channel, 12 bit ADC equipped chip got the reply...",m,0,1,0,0
13,"Karine Polwart - Town Hall BBC Radio 2 Folk Awards winner for Best Album, Best Original Song and Best Emerging Artist Lea DeLaria - Town Hall Jazz musician, Broadway Diva, actor, writer and stand-up comic, Lea DeLaria was the first openly gay comic to appear on national television in the US.",f,1,0,0,0
14,All students were studying A Level Music and were confronted with a rather different experience than they might perhaps have been expecting - a workshop about music from the perspective of a theatre director rather than a musician.,u,0,0,1,0
15,"Often what I''d do, in the old days, when they still did this, was if I really liked the musician I''d watch one show then photograph the other one, if they did two a night.",u,0,0,1,0
16,But to a musician the third bar (Expand) is the most useful.,u,0,0,1,0
17,The story is one of interaction and change; the lines are fluid; and the many individual nooks and crannies that each musician made in this musical stream are the focus of these entertaining and important lives.,u,0,0,1,0
