Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Table 9- Patients'' experience of their primary nurse ""White European"" ""Other"" Had the term ''primary nurse'' explained to him/her 62% 50% Knew name of primary nurse 83% 71% Stated that primary nurse had discussed his/her understanding of the patients'' problems 67% 64% Felt able to talk about personal problems with primary nurse 77% 71% Found that it was easy to contact their primary nurse when they had a problem 84% 71% As far as the ""primary nurse"" section is concerned, it is evident that """,u,0,0,1,0
2,"We went to an adjoining room where she wrote the same in my diary . I then had an appointment with the oncologist and he said there was nothing in his records to show any evidence of DCIS . Well, we were both shocked & then I had to wait a week because the nurse was on holiday & the surgeon that operated on me was ill.",u,0,0,1,0
3,"Where we need to get to The existing PMS arrangements continue to focus on chronic disease management, nurse triage and the provision of extending services to patients in a primary care setting.",u,0,0,1,0
4,"NURSE: Up to 360, now.",u,0,0,1,0
5,"at the moment i am studying my A levels in f/e, i hope to become a veterinery nurse. i enjoy spending time at the stables and riding but i also like going out with my mates into town shopping, cinema pubs/clubs etc. other than horse riding i enjoy swimming walking, cycling and rugby(although i dont play lol).",d,0,0,0,1
6,"(1990) ''Preliminary report on nurse job satisfaction on wards for elderly, mentally ill''.",u,0,0,1,0
7,""" A nurse hurried up to the side of the bed And cheerfully asked him, ""Sir, what''s that you said?",u,0,0,1,0
8,The response rates were 84% for nurse training and 91% for midwife training establishments.,u,0,0,1,0
9,"The team is made up of a nurse, occupational therapist, physiotherapist and a social worker.",u,0,0,1,0
10,"Or else by way of request; as the infant will show the apple or jewel, or whatever it hath received, to the parent or nurse, so the soul representeth to God whatever it hath gotten by meditation, and taketh occasion further to converse with God, and beg grace of him.",u,0,0,1,0
11,By 2010 every primary care trust should have one full-time year-round school nurse responsible for a cluster of primary schools and related secondary schools.,u,0,0,1,0
12,Nurse prescribers & reporters.,u,0,0,1,0
13,"We use a referral system and a caller display system, so that when you call, we will usually know who you are and have some information about you from your key worker, named nurse or doctor, so that we can help you more effectively.",u,0,0,1,0
14,Fat being sucked through tube turns bright red.) CUT TO: (NURSE WAITE exiting pre-op room.,u,0,0,1,0
15,"Another form of communication, writing, is used by the deaf-mute brother when conversing with anyone else, including the girl he eventually marries (his best friend''s sister, a nurse at the aforementioned hospital).",f,1,0,0,0
16,(Note: Mrs B was a nurse employed by the Trust.) 3.,f,1,0,0,0
17,"With care in the community expanding rapidly as a result of government restructuring within the NHS (DoH, 1990; 1997) and the role of the community nurse increasing and developing all the time; a support system for staff that encourages critical analysis of standards by means of reflective practice is very important.",u,0,0,1,0
18,"The MS Nurse role also involves acting as a kind of consultant, working with the GPs, other therapists, employers and with MS charities and also providing a resource for staff striving towards greater awareness and knowledge of MS in the health and social arena.",u,0,0,1,0
19,The staff nurse in charge of the night shift (the fourth staff nurse) did not remember Mr Y.,u,0,0,1,0
20,For example: • People often cannot grow or buy good food that would help them to feel better for longer. • They are less likely to be taught about health care and to know how to prevent HIV. • They might not be able to see a doctor or nurse who can tell them why they feel ill and what to do about it. • Governments cannot afford to buy the medicines that people in richer countries use to slow down the virus.,u,0,0,1,0
21,""" Author profile Julie Sobczak BSc (Hons), Dip N, RM, RN, RSA has been a nurse for over 25 years in the UK and West Indies.",f,1,0,0,0
22,He asked this nurse about the dosage.,u,0,0,1,0
23,"The circumstances are dealt with in some detail in a contemporaneous statement by Mr. Neville Porter, the senior nurse advisor/nursing homes inspector (mental handicap) for the North Lincolnshire Health Authority, (dated the 31 st March 1990), which refers to complaints by Mr. Seela-Natha about his wife''s behaviour in undermining his position, including a staged abduction of a patient in an apparent attempt to discredit Mr. Seela-Natha, care assistants asleep on duty, inadequate food supplies for patients because of unpaid bills and lack of gas for cooking for similar reasons.",m,0,1,0,0
24,"Once the reasons for performing the examination have been explained, the doctor, nurse or midwife will usually want to examine the cervix first.",u,0,0,1,0
25,"'' (Kate, 13) If you are worried about anything you have read, you might: Try talking to your parents, an adult you trust, your school nurse or if you have one, your school counsellor.",u,0,0,1,0
26,"The post of lead nurse for children''s services, for example, has been vacant for 13 months despite several attempts at recruitment including the use of a headhunter.",u,0,0,1,0
27,I was told this morning by the nurse that Dr. Macdonald Cameron''s surgeon came in last night to check on Cameron and ended up falling asleep in the chair as he watched over him...they had to make him leave at about 2am so he could get some rest his self.,u,0,0,1,0
28,"Leg ulcer care As has already been mentioned, leg ulcer care is not a large area of work for practice nurses and stands out as an area of chronic disease management which involves clinicians other than the GP or practice nurse, usually district nurses.",u,0,0,1,0
