Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,If you are a child under 13 and want to submit personal information to us please ask your parent or legal guardian to send us an email at info@umusic.com specifying that they consent to us collecting your personal information through this Website.,u,0,0,1,0
2,"Finally thereâ€TMs the whole experience of settling down in one house, with one atmosphere, one set of rules, and one parent just to be ripped up and deposited somewhere else a few days later.",u,0,0,1,0
3,"A third example is included, showing the inverse use of the method of ESDU 88038 by which the parameters of the Fisher-Tippett Type 1 extreme value distribution are deduced from the Weibull parameters of the parent cumulative distribution (in this case a two-year continuous wind speed record).",d,0,0,0,1
4,"If a parent has such worries about their child, schools welcome contact from parents as early as possible so that an attempt can be made to deal with the matter quickly and avoid the parent and possibly the child becoming more worried about the problem.",u,0,0,1,0
5,THEY say you need extra pairs of hands to parent youngsters under the age of five.,u,0,0,1,0
6,"If you look after children of this age within a nursery, crèche, or as a health visitor, child minder, foster parent this is for you.",u,0,0,1,0
7,"Keeping school informed of any changes in place of work or home circumstances could prevent an upset child having a long anxious wait at school or more importantly, in hospital, where sometimes treatment will not be given until a parent is present.",u,0,0,1,0
8,"Q: How can a child ''show that they have a parent or guardian who is responsible for their care, and that they have suitable travel, reception and care arrangements for their travel to the UK''?",u,0,0,1,0
9,"path %SCRIPTSUFFIX% The script suffix, ex: .pl , .cgi %WEB% The name of the current web. %TOPIC% The name of the current topic. %WEBTOPICLIST% Common links of current web, defined in the WebPreferences . It includes a Go box %TEXT% The topic text, e.g. the content that can be edited %META{""form""}% TWikiForm , if any %META{""attachments""}% FileAttachment table %META{""parent""}% The topic parent %EDITTOPIC% Edit link %REVTITLE% The revision title, if any, ex: (r1.6) %REVINFO% Revision info, ex: r1.6 - 24 Dec 2002 - 08:12 GMT - TWikiGuest %WEBCOPYRIGHT% Copyright notice, defined in the WebPreferences %BROADCASTMESSAGE% Broadcast message at the beginning of your view template, can be used to alert users of scheduled downtimes; can be set in TWikiPreferences The ""Go"" Box and Navigation Box The default %WEBTOPICLIST% includes a ""Go""",d,0,0,0,1
10,"Of course bosses at Xfm''s parent company, the Capital Radio Group, will probably have their fingers crossed for Christian in the latter two of those categories, surely preferring for Capital FM''s flagship presenter Johnny Vaughan to take the Breakfast Show Of The Year award.",d,0,0,0,1
11,"One parent whose child used the playground said: ""It is such a shame.",u,0,0,1,0
12,"In 1999 only 25% of single parents lived in owner occupied housing, compared to 71% of two parent families. 6% rented from private landlords ( compared to 3% of two parents), with the remainder renting from the local authority/Scottish Homes ( 55% ) and other Housing Associations ( 13% ) compared to 22% of two parent families.",u,0,0,1,0
13,For people with children Working Tax Credit is available to parents if: At least one parent works at least 16 hours a week.,u,0,0,1,0
14,"PTA CLASS REPRESENTATIVES At the last PTA meeting, it was agreed that each class would have a parent representative to act as a conduit of information between the teacher and parents.",u,0,0,1,0
15,Since any duck receives one gene for a particular character from each parent it must have two genes for any character.,d,0,0,0,1
16,"For example, to help both men and women benefit from increased flexibility, there could be a period of six month''s shared parental leave which could be taken by either parent, in addition to the existing six months'' paid maternity leave.",u,0,0,1,0
17,"Benefits: changes coming into force in April 2006 Help balance the media debate Journalists often want to interview single parents for press, tv and radio stories about one parent family life.",u,0,0,1,0
18,"Guidance makes clear that head teachers may permanently exclude pupils for physical violence and we fully back tough decisions to remove or prosecute anyone, whether pupil or parent, who is behaving in an aggressive mannerâ€?",u,0,0,1,0
19,This kind of thing is always a dilemma and any advice or support that I offered might be interpreted as pitting child against parent.,u,0,0,1,0
20,"The stone has to be blasted from the parent rock, and it is therefore difficult to get a large portion of the stone without flaws.",d,0,0,0,1
21,Content Detaches this child from its parent or does nothing if the child has no parent. detachRootElement() - Method in class org.jdom.,d,0,0,0,1
22,"The letterhead used should be that of the parent organisation, the name of the initiative can be printed as the first line of the address, and this can be in NHS Blue for emphasis if required. back to top The NHS Typefaces A further way to establish a recognised and professional identity is to use consistent typefaces that are clear and easy to read.",d,0,0,0,1
23,"There is also correspondence dealing with the relations between Rocappi Ltd and the parent firms of Rocappi Inc., Westerham Press and Hazell Sun/British Printing Corporation.",d,0,0,0,1
24,"Generally the sentence of imprisonment would be suspended so long as the non resident parent pays a regular sum, fixed by the Court, of the arrears, Alternatively the Court can disqualify the non resident parent from holding or obtaining a driving licence for up to a maximum of two years which again can be suspended on whatever term and conditions the Court thinks appropriate.",u,0,0,1,0
25,"A carer is someone who supports another person who could not cope or continue to live in their own home without that help, be it a child with special needs or an adult, a parent or partner, a friend or neighbour.",u,0,0,1,0
26,"School Travel Plans The Scottish Executive recently started to provide funding for new School Travel Co-ordinators who ...read more about School Travel Plans Walking Bus It is a simple idea - groups of children walk on a regular route with parent ""drivers"" and ...read more about Walking Bus",u,0,0,1,0
27,There will be no parent or teacher to meet the 8.30 am bus outside the Flying Childers to supervise children crossing the road.,u,0,0,1,0
28,"A ''listening'' ear from a counsellor or trusted friend can help the parent move forward positively again. 4 Stability Once the stability of the family is established over time, i.e. the parent and children are stable, the setbacks are more easily recovered.",u,0,0,1,0
29,"If, after the process, parent governor vacancies still exist the governing body can appoint parents to these vacancies if they satisfy the following criteria in this order: I.",u,0,0,1,0
30,Of foreign-born parents to on each parent health status an employee''s spouse.,u,0,0,1,0
31,Precautions such as useful antipyretic measures for this vaccine should be relayed to the parent or guardian and the need to report any adverse event should be stressed. 4.5 Interaction with other medicinal products and other forms of interaction Menjugate Kit must not be mixed with other vaccines in the same syringe.,u,0,0,1,0
32,Of state tax structure and parent medicaid coverage was appropriate to your situation.,d,0,0,0,1
33,"Hence the Saviour has taught us to call God, in our petitions for his graces, by no other name than that of Father (Our Father), that we may have recourse to him with the confidence with which a child seeks assistance from an affectionate parent. 5.",m,0,1,0,0
34,"Web Sites: www.internet2.edu (most is open to the public, and much useful info is already there) www.ucaid.edu (parent organisation) www.vbns.net (vBNS Network) www.ucaid.edu/abilene (Backbone network for I2) Salient findings: International membership is through consortia, not individual HEIs (in the USA, individual institutions must provide a 50Mbps connection and pay a subscription).",d,0,0,0,1
35,"With Colin Doyle unable to play against his parent club and Andy Marshall out with a knee injury, Pidgeley was signed on an emergency seven day emergency loan deal specifically for this game.",d,0,0,0,1
36,"Features on Voyager, Explorer and Cross Country: A patented feature, unique to LittleLife, is the anchor point, which enables the parent to steady the pack with their foot when the carrier is on the ground, leaving both parent''s arms free.",u,0,0,1,0
37,64 set_tc_index tc filter add dev eth0 parent 1:0 protocol ip prio 1 tcindex mask 0xfc shift 2 tc qdisc add dev eth0 parent 1:0 handle 2:0 cbq bandwidth 10Mbit cell 8 avpkt 1000 mpu 64 # EF traffic class tc class add dev eth0 parent 2:0 classid 2:1 cbq bandwidth 10Mbit rate 1500Kbit avpkt 1000 prio 1 bounded isolated allot 1514 weight 1 maxburst 10 # Packet fifo qdisc for EF traffic tc qdisc add dev eth0 parent 2:1 pfifo limit 5 tc filter add dev eth0 parent 2:0 protocol ip prio 1 handle 0x2e tcindex classid 2:1 pass_on (This code is not complete.,d,0,0,0,1
38,This is the 5th parent I have now met on the class restructuring.,u,0,0,1,0
39,Leaving Heterosexual Relationships Feelings of guilt It is common for the lesbian or gay parent to feel guilty about splitting up the relationship and about the possible impact on the children of having a gay parent.,u,0,0,1,0
40,(4) The authorisation mentioned in subsection (1) shall extend to all children of the absent parent in relation to whom the parent first mentioned in subsection (1) is a person with care.,u,0,0,1,0
41,"That provision is to be contrasted with section 6(1), which provides that where income support, family credit or any other benefit of a prescribed kind is claimed by or in respect of, or paid to or in respect of, the parent of a qualifying child she shall, if she is a person with care of the child and she is required to do so by the Secretary of State, authorise him to take action under the Act to recover child maintenance support from the other parent.",u,0,0,1,0
42,"Data Select''s parent company, Phones International Group, already provides fulfilment for Vodafone''s web sales and sells prepay.",d,0,0,0,1
43,After the meeting: If you are still unhappy try to contact a more senior person in the school and/ or contact the parent partnership service and/ or one of the specialist organisations in ACE''s leaflet Children with Special Needs ( see our Publications page ).,u,0,0,1,0
44,Parents may wittingly or unwittingly encourage disturbed behaviour for this purpose. live with a parent who is so consumed with anger or distress that there is no-one offering the child much parenting or support.,u,0,0,1,0
45,A CStatic control is always a child window to some parent window.,d,0,0,0,1
46,"I found that I did not feel uncomfortable as a single parent as there were many other parents, probably locals, who were not in big family groups.",u,0,0,1,0
47,I really feel like that there''s enough children in the world and I''ve really never been interested in being an absentee parent and unless you have the time to really get involved with them I think as I say there''s enough in the world.,u,0,0,1,0
48,"Click on one of these topics or use the scrollbar: Introduction to Molecular Visualization Introduction to the WebLab Viewer Return to parent of this topic Introduction to Molecular Visualization Most chemists use 3D hand-held wireframe, ball and stick, or CPK molecular models at one time or another during their training.",d,0,0,0,1
49,"The 1989 Act replaced the traditional approach to parents'' ''rights'' with a new concept of ''parental responsibility'', which it defines as ''all the rights, duties, powers and responsibilities and authority which by law a parent of a child has in relation to the child and his property''.",u,0,0,1,0
50,A child becomes the burden of the parent and is treated with likely contempt.,u,0,0,1,0
51,"This magazine serves to provide much of this information, and support midwives in enabling women to have a positive start to life as a parent.",f,1,0,0,0
52,"The concept encountered a spot of turbulence recently when Eads, Airbus''s parent company, announced that a number of orders would be delayed.",d,0,0,0,1
53,It gives the menu a TransientShell parent and then maps the parent as a top-level window.,d,0,0,0,1
54,Parent/Carer''s comments: Toby is greatly motivated by the instant feedback system on this typing course.,u,0,0,1,0
55,"A tag''s parent is the tag that directly encloses it in a JSP, or null if there is no enclosing tag.",d,0,0,0,1
56,Sure Start Dino parent satisfaction survey.,u,0,0,1,0
57,"The Škoda group consists of the parent holding company and numerous subsidiaries and associated companies, each specialised in a particular product line.",d,0,0,0,1
58,I knew the babies had fledged as the frequency of the parent birds to the feeders were now down to seconds over the last few days.,d,0,0,0,1
59,"Counsellors and psychotherapists are able to hear your feelings about having depression yourself, or experiences of living with depression in the family, either as partner of a sufferer, the child of a depressed parent, or parent of a depressed child.",u,0,0,1,0
