Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"This would not include payment for medical attendance, for which the patient would be responsible.",u,0,0,1,0
2,"During the procedure, any white cells that remain in your platelet donation are also removed as these could cause problems in a patient despite being harmless to you.",u,0,0,1,0
3,"In almost half of these (17.8%) there had been no explicit request from the patient, nor had there been any discussion of ending the patient''s life, and the doctor did not believe that the patient had expressed a wish for death to be hastened.",u,0,0,1,0
4,"This is likely to improve both patient care and patient safety, and alleviate concerns about the clinical benefits of some oxygen therapies.",u,0,0,1,0
5,If the patient needs to travel by ambulance this should be stated when booking.,u,0,0,1,0
6,"''When the psychiatrist bids the patient to lie on the couch, he is asking him to stretch out alongside a horse and a crocodile .... The reptilian brain is filled with ancestral lore and ancestral memories and it is faithful in doing what its ancestors say, but it is not very good for facing up to new situations . . . The lower mammalian brain plays a fundamental role in emotional behaviour.",m,0,1,0,0
7,"The patient might, for example, be on holiday or absent on business.",u,0,0,1,0
8,"The audience challenge Delivering a message for a product, which gives better quality of life to the patient, to an audience of specialists who do not consider these benefits to the patient to be of much importance was a big challenge.",u,0,0,1,0
9,"Adequate analgesia in patients with thoracic trauma improves respiratory function by allowing the patient to breathe adequately, cough and cooperate with chest physiotherapy.",u,0,0,1,0
10,"When a planned underground operation fails, Richard is forced to emigrate and Eliska is given a new identity and safe passage to live out the war in the mountain village of Zelary with Joza (Gyorgy Cserhalmi), a patient at the hospital whose life was saved by Eliska''s blood donation.",m,0,1,0,0
11,"Due to the mechanisms of injury we immobilised the patient and administered morphine to ease the pain, once the patient was relatively pain free we applied traction to the affected leg and applied a traction splint to good effect.",u,0,0,1,0
12,"Introduction The concept of term ""sports injuries"" presents to the physician an image of an adult patient involved in a physical activity and receiving a form of injury, either through accident, physical contact or overuse.",u,0,0,1,0
13,"A maximum wait of four weeks has been suggested 13 , although the recently published SIGN guidelines suggested two weeks 7 . Information about the condition from voluntary organisations such as the National Society for Epilepsy, Epilepsy Action or Epilepsy Action Scotland can be made available in the surgery, and management plans drawn up by patient, specialist and GP can reduce duplication of services and emphasise the importance of co-operation.",u,0,0,1,0
14,"Although the drug was well tolerated in most patients, a previously unrecognized treatment toxicity of acute left ventricular dysfunction occurred in a responding patient with HES within the first week of treatment.",u,0,0,1,0
15,"A spokeswoman for the University Hospital NHS Trust said: ""A consultant was suspended on Wednesday following an alleged incident at the hospital which did not relate to any patient or another member of staff.",u,0,0,1,0
16,If the patient has never had a fit before a brain scan will be necessary to exclude more serious conditions.,u,0,0,1,0
17,"She said it was very, very unlikely she would refer a patient for abortion even in the case of a non-viable fetus.",u,0,0,1,0
18,This paper presents the findings of a project to evaluate the methods and impact of patient and carer involvement in the first clinical guidelines developed on behalf of NICE.,u,0,0,1,0
19,"Following an asymptomatic period, the patient may develop pre-ATL, in which they remain asymptomatic but there is a clonal expansion of T-cells which can be morphologically-altered. 50% of patients with pre ATL progress to chronic/smouldering ATL.",u,0,0,1,0
20,"It can be used to move a patient from a sitting to standing position, or to transfer them in a standing or sitting position, with the addition of appropriate slings or support belts.",u,0,0,1,0
21,"As the period over which this treatment works is so long, we are unable to offer a moneyback guarantee on this product as it is impossible to determine whether each individual patient would or would not benefit from it.",u,0,0,1,0
22,"The guidance reminds doctors that where a patient has a problem taking fluids or food orally, they must carry out a thorough assessment and consider carefully the various options for artificial nutrition and hydration (provided by tube or other medical means).",u,0,0,1,0
23,"A low haemoglobin, ferritin and folate will support the diagnosis of malabsorption Referral to the gastroenterology department Any patient with a positive endomysial antibody test is likely to have coeliac disease, and should be referred for further assessment by the gastroenterologist.",u,0,0,1,0
24,"(For agent and patient in Aristotle''s natural philosophy in general, see Waterlow 1982b.) The types of potency-based possibilities belonging to a species are recognized as possibilities because of their actualization - no natural potency type remains eternally frustrated.",u,0,0,1,0
25,"Any patient presenting with conditions that would form contra-indications to a reflexology treatment, i.e. pregnancy, history of deep vein thrombosis.",u,0,0,1,0
26,The consultant physician was also concerned about gaps in the nursing and medical notes for that day and the following day: he would have expected more notes for a patient as ill as Mr B.,m,0,1,0,0
27,Sometimes it is helpful to provide the service to the patient and their family.,u,0,0,1,0
28,It ensures that the patient is fit for the surgery and anaesthetic.,u,0,0,1,0
29,Such a course of conduct on the part of a doctor is not merely morally wrong but is also inconsistent with long-standing principles of the common law which should be upheld. it is directly contrary to the respect owing to the mentally incompetent to require doctors to withdraw treatment and care at the behest of managers and others when the reason for withdrawal is the judgement that the patient no longer has a worthwhile life; and it is likewise unjust for doctors to comply with such orders.,u,0,0,1,0
30,"In the future, ideally, somatic stem cells from the patient will be extracted and manipulated and then reintroduced into the same patient to cure debilitating diseases.",u,0,0,1,0
