Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Shareware email applications available (typically dependent on PC being present) listed here , part of an independent web site about the Pilot . It is now possible to connect the Pilot to the AT&T PocketNet Phone using Circuit Switched Data mode, in which the phone replaces the modem.",d,0,0,0,1
2,A brief experiment in opening one of the labs for 24 hours was carried out to gauge student interest more clearly; the experience gained led to the planning for a full pilot service.,d,0,0,0,1
3,"The concern about including participants from the pilot study in the main study arises because only those involved in the pilot, and not the whole group, will have had the experience.",d,0,0,0,1
4,"The study was conducted in 2005/6 in all seven of the original pilot areas by the Social Policy Research Unit at the University of York, the National Centre for Social Research and the Policy Studies Institute.",d,0,0,0,1
5,A two-year pilot scheme that puts money raised from speed fines back into buying and maintaining cameras began in April 2000 in eight police forces.,d,0,0,0,1
6,"The web site is available 24 hours a day, and the pilot project showed that there is clearly demand for NorthLine being open outwith normal office hours.",d,0,0,0,1
7,"Latest news You can contribute to this page by sending your relevant news items to Learning Connections . E-news Keep up to date with national and local news from around Scotland by registe ring for our free monthly e-newsletters - Adult Literacies - Community Learning and Development Identifying and quantifying the outcomes of Community Learning and development (CLD): A Pilot Study The Scottish Executive wishes to invite expressions of interest to undertake research, through Learning Connections within Communities Scotland, to develop and pilot methods to identify, and quantify as far as possible, the outcomes of CLD for individuals and communities in Scotland.",d,0,0,0,1
8,""" -Ends- For further information, contact Ali Bushnell, External Press and Media Relations Officer on 024 7688 8245 Additional news from this month Winning award is music to student''s ears 14/11/2006 Shoppers urged to ''Fill the Phoenix'' to mark Enterprise Week 10/11/2006 Nobody expects the Spanish Inquisition 08/11/2006 Univeristy chosen for national clinical pilot project 08/11/2006 University chosen to pilot maths project 07/11/2006 University spin-out company short-listed for national award 06/11/2006 University joins basketball club in mentoring programme 02/11/2006 Coventry''s E-music coup 01/11/2006 Funding success for overseas business training 31/10/2006 Business matters for people in Warwickshire 27/10/2006 University PhD student wins award for weighty issue 26/10/2006 University forges links with industry for unique course 24/10/2006 Church leaders gather for official blessing 24/10/2006 People of",d,0,0,0,1
9,"However, be aware that some navigations (the river Elbe, for example) require large vessels to engage a pilot.",u,0,0,1,0
10,The Borough Commander is supportive of this proposal and the implementation team have already held some initial meetings to see how the pilot can best be taken forward. 14.,d,0,0,0,1
11,I have also introduced a pilot paired computing scheme in which senior pupils help younger ones use multimedia resources.,d,0,0,0,1
12,"Currently a number of pilot car sharing schemes are running, including the CampusCar scheme at Cranfield University, where staff and students can book cars over the university web site, and Smart Moves in the Earlsdon area of Coventry, which is intended as a community-based car sharing club.",d,0,0,0,1
13,This was only a minor challenge for the pilot project.,d,0,0,0,1
14,I said I never would come home again till I was a pilot and could come in glory.,u,0,0,1,0
15,OLSIG was currently reviewing the pilot and would make a decision in due course.,d,0,0,0,1
16,Non-pilot schools are also encouraged to contact the pilot schools within their liaison groups for additional ideas and resources generated by the project.,d,0,0,0,1
17,The intention is to publish the results from the pilot phase in a peer-reviewed journal.,d,0,0,0,1
18,"Task Descriptions Task Title Description 4.1 Literature Review Review Conduct a literature review of the requirements of students and academics on the Web and use this as the basis for developing a concept of ""usability"". 4.2 Consultation Consult the Steering Committee as to what to measure, how to measure it, etc. 4.3 Development Develop an initial methodology, based on the concept of usability derived from the literature review and the consultation with the Steering Committee. 4.4 Pilot Pilot the methodology on a small group of around 10 users, identifying problems with the methodology. 4.5 Methodology Incorporate feedback from the pilot session to produce a methodology to be used for the full-scale evaluation.",d,0,0,0,1
19,(articulated in post-project evaluation) the project clearly generated debate and positive responses (demonstrated by the video data and by project observation) The pilot studies showed that the MPLV concept can and does work in practice.,d,0,0,0,1
20,"All that stood between Buckingham Palace and the German pilot''s payload of high explosive was the lone RAF fighter pilot whose guns, still hot from battle over the skies of London, had run out of ammo.",u,0,0,1,0
21,It is clear that the pilot programme provides a social context which draws the parents in more effectively than curriculum-based programmes might.,d,0,0,0,1
22,"Although there is no formal ''classroom'' support for these tests, the examiners will offer assistance as necessary, but you will also find that any pilot in the clubhouse will be willing to try to help (or offer an opinion at the very least!) Upon completion of the written and practical tests you will need to pay the appropriate fee for the award of your license to the friendly chaps at the CAA. why should I learn at perth?",u,0,0,1,0
23,The pilot uses a set of brake lines attached to the rear of the canopy to control the flying speed of the paraglider.,u,0,0,1,0
24,Pilot for the vehicles quot auto insurance michigan owner and cross doesn''t compensate.,d,0,0,0,1
25,"Course leaders: Sue Grace sg10@york.ac.uk , Jean McKendree jm51@york.ac.uk and Eleanor Loughlin el507@york.ac.uk All of the pilot project leaders met with the Vice-Chancellor at an evening event on 4 October, where they presented their projects. © University of York VLE Project - University of York - Heslington - YORK - YO10 5DD - tel: +44 (0)1904 32 1138 - fax: 01904 32 1130 - email:",d,0,0,0,1
26,"""Behold...he says, here''s another one...the ships, though they are so great and driven by strong winds, yet are they turned about with a very small rudder wherever the pilot desires...or wherever the impulse of the pilot desires.",u,0,0,1,0
27,This pilot project was an instant success and we were able to continue this project at Carling Weekend: Leeds and Reading and Liberty 2005.,d,0,0,0,1
28,He explained his role in this and the reactions of his colleagues when he suggested that Morecombe Bay Trust should be one of the pilot sites in the UK for this project.,d,0,0,0,1
