Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Professor of Computer Science, Head of Department of Computer Science 1988-1994.",u,0,0,1,0
2,"Laura Mulvey, professor of Film and Media Studies at Birkbeck College, University of London, is the author of Visual and Other Pleasures (1989), Fetishism and Curiosity (1996), and Citizen Kane (1996).",f,1,0,0,0
3,"In 1809, at the age of 26, Bessel was appointed director of Frederick William III of Prussia''s new Königsberg Observatory and professor of astronomy.",u,0,0,1,0
4,"Professor of Law & Legal Philosophy since 1989, and a law tutor at University College since 1966.",u,0,0,1,0
5,"The centenary concert in the Great Hall (3 November 1974) included a new work by the West Riding professor of music, Alexander Goehr, and the programme includes a picture captioned ''The Presbyterian Church in Cavendish Road, now undergoing conversion as a concert hall''.",m,0,1,0,0
6,"Evans, professor of modern history at Cambridge, spent nearly three years tracking down Irving''s original sources, to prove his concerted and deliberate efforts to pervert the historical record and to bend fact to his own political ends.",u,0,0,1,0
7,"The view that these fossils represent genuine intermediates has been challenged by the famous British anatomist Sally Lord Zuckerman(?) and Dr. Charles Oxnard, formerly director of The Graduate Studies, professor, by the way, of anatomy at the University of Southern California Medical School.",m,0,1,0,0
8,"Mack, professor of psychiatry at Harvard Medical School, and a Pulitzer Prize winner.",u,0,0,1,0
9,"The first professor of childhood epilepsy in Europe has been appointed by Great Ormond Street Hospital , the Institute of Child Health and the National Centre for Young People with Epilepsy . Professor Brian Neville has taken up the position, which will be known as The Prince of Wales''s Chair of Childhood Epilepsy, which will be based at University College London . Professor Neville will lead Europe''s largest group of clinical scientists devoted to childhood epilepsy, providing an international centre for research and teaching to develop and improve new treatments and care for children with epilepsy.",m,0,1,0,0
10,"As one Oxford professor put it, this is ''a landmark victory for the entire animal movement''.",u,0,0,1,0
11,"As Ran Lahav, an Israeli professor of philosophy and an influential practitioner put it, [...] philosophical counselling seeks to bring philosophy closer to everyday life.",u,0,0,1,0
12,"""structured vocabulary of more than 125,000 terms, scope notes, and other information for describing fine art, architecture, decorative arts, archival materials, and material culture"" Art history resources on the web - developed and maintained by Chris Witcombe, a professor at Sweet Briar College (N.Y.).",u,0,0,1,0
13,"professor of chemistry, University of Edinburgh Kendall | James | 1889-1978 | professor of chemistry, University of Edinburgh Knox | John | 1927-: | professor of physical chemistry, University of Edinburgh Lavoisier | Antoine Laurent | 1743-1794 | French chemist Playfair | Sir | Lyon | 1818-1898 | 1st Baron Playfair of St Andrews Plummer | Andrew | 1697-1756 | professor of chemistry and medicine, University of Edinburgh Ramage | Robert | 1935-: | Forbes professor of organic chemistry, University of Edinburgh Rankin | David WH | 1945-: | professor of structural chemistry, University of Edinburgh Scott | Alistair Ian | 1928-: | Forbes professor of organic chemistry, University of Edinburgh Walker | Sir | James | 1863-1935 | professor of chemistry, University of Edinburgh Watt | James | 1736-1819 | engineer Wieland | Heinrich | 1877-1957 | lecturer in chemistry, University of Edinburgh Businesses and Organisations Heriot-Watt College | 1885-1966 | college | Edinburgh (Scotland) Royal Society of Edinburgh | 1783-: | scientific society | Edinburgh (Scotland) Science & Engineering Research Council | funding body University of",u,0,0,1,0
14,"John Graunt, the first student of mortality tables, lived in a lane near Lombard Street, and William Petty, the developer of political arithmetic, was third Gresham professor of music.",m,0,1,0,0
15,"Up to 1992, he was associate professor in the Technical University Bucharest, Romania, where he taught Physics, Optics and optoelectronics and developed research on Lasers and fast optoelectronics.",m,0,1,0,0
16,"Jeff Ershler, JD Adjunct professor, Lynn University, USA",m,0,1,0,0
17,"Perhaps the concept of a Transylvanian count with a taste for virgins would not be conceptually appealing to the Pakistani market back in the day, so here we meet a manic professor who dreams of discovering a secret formula for the elixir of eternal life.",u,0,0,1,0
18,The Human Stain Publication Date: 23 January 2004 Coleman Silk (Hopkins) is a college professor who makes a casual remark about two of his absent students.,m,0,1,0,0
19,"Professor of Welsh History at the University of Wales, Bangor, specialising in the modern and contemporary history of society and politics in Wales.",u,0,0,1,0
20,"He is the author of numerous books including, A New Covenant with Nature: Notes on the End of Civilization and the Renewal of Culture and Powerdown: Options and Actions for a Post-Carbon World . January 7 - 26, 2007 Science & Spirituality Creating a new balance Dr. Elisabet Sahtouris is an internationally acclaimed, evolutionary biologist, futurist, author, professor and business consultant.",m,0,1,0,0
21,"There had been no such appearances or remarks by Mr Irving; Macmillan Ltd have declined to identify to him the ""Oxford professor"" mentioned in the next sentence.",m,0,1,0,0
22,"PROFESSOR MACDONALD: I actually also do not dissent from anything that has been said, except that I would say we were given a rather clear brief by the Committee and it was, as I understood it, to report on entirely scientific aspects, as far as we could discipline ourselves to do so, and there are elements of the question you raised which would go beyond the remit we were trying to address.",u,0,0,1,0
23,John was a recent Leverhulme visiting professor at QUB and a visiting fellow in the Hellenic Institute at Princeton University.,m,0,1,0,0
