Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"A proofreader faced with poorly edited work should alert the client, and should charge editing, not proofreading, rates for an especially bad job.",u,0,0,1,0
2,"(Added: 24-Apr-2003 Hits: 377) Accents translation and proofreading - Freelance translator and proofreader, reasonable rates, resident of Ruislip (Added: 4-Aug-2003 Hits: 274) Action Bikes Ruislip - Action Bikes Ruislip website.",u,0,0,1,0
3,"It is full of errors, contradictions, omissions, misspellings, etc. Having previously read another of Billy Harry''s books,(""The Ultimate Beatles Encyclopedia"") I knew that he wasn''t too keen on hiring a good proofreader, but the Lennon book is just too much!!",u,0,0,1,0
4,"This tends to be a mixture - part designer, part content provider, part information architect, plus usability tester and proofreader.",u,0,0,1,0
5,All our books are carefully checked by a professional proofreader.,u,0,0,1,0
6,Has anything been agreed with the client of which the proofreader should be aware?,u,0,0,1,0
7,"If you enjoy writing creatively and have a love of words, here are some careers where you could use your literary talents: writer technical author advertising copywriter journalist proofreader publisher broadcast journalist editor You could also write jingles for local radio, create your own web pages, think up advertising slogans or write training manuals.",u,0,0,1,0
8,"Is the profile of the typical editor or proofreader changing and, if so, how should SfEP be responding?",u,0,0,1,0
9,TAC''s editor and the in-house proofreader were deep on the Plain of Albion for the editorial sister''s wedding.,u,0,0,1,0
10,"I am a philosophy graduate and former teacher, having worked extensively as a freelance proofreader for high-profile publishers such as Trafford, Writersworld and Pegasus.",u,0,0,1,0
11,"I have worked in house for Routledge & Kegan Paul, HMSO and Larousse, and been a freelance copy-editor, indexer and proofreader since 1993.",u,0,0,1,0
12,"Monatte, Pierre (1881-1960) A proofreader by profession, he entered politics as an anarchist and later founded the revolutionary syndicalist revue La Vie Ouvrière.",m,0,1,0,0
13,"Workshop: Tuesday, 19 September Indexing for editors Joan Dearnley This session will cover what the editor/proofreader should know about the structure of an index, including main headings, subheadings, cross-references, set-out, run-on layouts, and filing.",u,0,0,1,0
14,"OmniPage 15''s proofreader offers increased speed and flexibility to make the proofing process easier, faster and more intuitive than ever before.",d,0,0,0,1
15,"If you are looking at a career as a proofreader, this might be a lonely occupation if you do it from home and you may want the company of other adults after some time at home.",u,0,0,1,0
16,She has been a freelance copy-editor and proofreader for 19 years and a member of the SfEP for over nine years.,f,1,0,0,0
17,Rod Cuff spent far too long working for IBM before ''retiring'' to become a freelance proofreader and editor in 1998.,m,0,1,0,0
18,"A built-in proofreader even gives you step-by-step guidance when creating, editing, and spell-checking any form.",d,0,0,0,1
19,"(Information on training facilities is, of course, provided in my book.) You may also come across a number of ''How to be a proofreader'' advertisements in the press.",u,0,0,1,0
20,"Expelled from the PCF for his part in the fight against nascent Stalinism, he worked as a proofreader and was an animator of Left Opposition forces in France.",m,0,1,0,0
21,With whom should the proofreader liaise over queries?,u,0,0,1,0
22,"Perhaps you are an SfEP accredited or registered proofreader or copy-editor, or have some other evidence of your competence.",u,0,0,1,0
23,"But in that little word ''hardly'' lies a hundred stories of lurking graphological and grammatical inconsistencies and uncertain intuitions, where I have had to admit, with reluctant humility, that my copy-editor or proofreader has seen what I have not seen.",u,0,0,1,0
24,"In addition, a professional proofreader will be familiar with the production process and will know which changes will be uneconomic.",u,0,0,1,0
25,"I work as a freelance editor and proofreader, and am also a qualified EFL teacher.",u,0,0,1,0
26,Top What does a proofreader do?,u,0,0,1,0
27,"Learn and work from home as a proofreader, editor, copywriter or picture researcher The Publishing Qualifications Board The Publishing Qualifications Board ( PQB ) is a charitable organisation, established 15 years ago.",u,0,0,1,0
28,How much does a copy-editor or proofreader cost?,u,0,0,1,0
29,"On the way home, we stopped at the services for a coffee, and had a fascintaing conversation with the boys about work, and about Sue''s early work at the RNIB as a Braille proofreader: she was explaining that proofreading was the best job in the world, even if you have to do it in Braille!",f,1,0,0,0
30,"Contact the Glasgow SfEP group If you need the help of a professional copy-editor, proofreader or project manager, please fill in the form below and someone will contact you directly.",u,0,0,1,0
