Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,Find and organise informationExplore the effects of changing the variables in an ICT based model In this example the pupil carried out some research as part of a homework task on the Internet to find out current costs of party food and drink.,u,0,0,1,0
2,""" The father of another St Leonard''s pupil Azhar Shah, of Daventry Road, said: ""People see the traffic lights are about to change and put their foot down to catch them.",u,0,0,1,0
3,"The appeal is heard by an education appeal committee (if there is no CSP ), or by the Additional Support Needs Tribunal where there is a CSP (or where there is also an appeal to determine whether the pupil requires one).",u,0,0,1,0
4,The position of an opacity can be inferred from its parallax with respect to the pupil.,d,0,0,0,1
5,A pupil who lives within three miles of an all-ability school but who is given a place at a grammar school more than three miles from home is not eligible for free travel unless they are entitled to free travel on one of the grounds set out below.,u,0,0,1,0
6,"One of the best results I have had recently has been through the use not of the girl''s IEP but of her personal monitoring target card which has a list that we wrote together of things that she could do well - answer a question in class, write neatly, help another pupil when they''re stuck, etc. Every lesson she decides which of these things she has done well and ticks the card and the teacher initials it.",u,0,0,1,0
7,"She was a pupil at St Anneâ€TMs RC Primary School which she left in 1934 and took up a job at Stanhill Ring and Hambledon Mill, West End, Oswaldtwistle.",f,1,0,0,0
8,"Firstly, where the average class size is 30 pupils it is extremely difficult for teachers to come up with meaningful targets for each pupil, for each subject.",u,0,0,1,0
9,Has studied the effects for pupil participation in school exchange visits to France on their proficiency in French.,u,0,0,1,0
10,And there are those who maintain that tribal life is alien to the spirit of capitalism ( The Times ) Taking Lessons to Heart A headmaster has banned a pupil from classes for buying ice creams outside school hours.,u,0,0,1,0
11,"As well as questioning the clinical use of pupil cycling, our results shed light on the asymmetry between pupil constriction and dilation.",d,0,0,0,1
12,Pupils back. 8:30am Enrol new pupil to school welcome back all pupils with a visit to each class.,u,0,0,1,0
13,"training expenditure in England since 1994-95 This publication from DfES provides details of central government and local authority expenditure on education (both current and capital) and expenditure on training initiatives in England . It includes figures on: local authority expenditure on schools, adult and community learning, youth services and administration; employment costs and running expenses; and central government expenditure on Sure Start, schools, support services, higher education, further education, adult learning, etc. The figures are also broken down to identify the level of expenditure and funding per pupil/student. http://www.dfes.gov.uk/rsgateway/DB/SBU/b000530/index.shtml Detailed analysis of PhD completion rates The first comprehensive report on entry and completion rates of PhD students has been published by the Higher Education Funding Council for England (HEFCE).",u,0,0,1,0
14,"The teachers'' notes contain further assessment activities, with anticipated pupil responses.",u,0,0,1,0
15,"Highlight key vocabulary on worksheets Reinforce with games, glossaries, word searches and cross words Provide annotated diagrams and combine with visual cloze activities as reinforcement Speaking and listening Speak slowly but make sure that normal intonation and stress patterns do not become distorted Pause often to allow students to process what they hear Seat pupil in front of the class pupil with clear access to teacher and visuals Provide as much visual support a s possible -- objects, pictures, gestures, facial expressions Do not worry if the pupil does not participate.",u,0,0,1,0
16,"In the entertainer''s classroom the pupil spends more time looking at alternative presentations, works in groups and to some extent, the subject is adapted to the pupil.",u,0,0,1,0
17,"If the minimum schools guarantee is 4%, he would expect the minimum increase in SFSS again to be around 5% per pupil.",u,0,0,1,0
18,"that they will be receiving a new arrival so they are prepared to be welcoming on the first day interview the new pupil to assess his or her past educational experiences and future needs record educational background information and make it available to staff who will be working with the pupil give the new pupil helpful induction information, such as a local map, plan of the school, name of their teachers and a timetable and make sure this material accessible to learners who speak little or no English allocate a ''befriender'' for the newly arrived pupil -a well established pupil who ideally shares the newcomer''s language, and can act as a friend during the first days and weeks make sure the ''befriender'' is briefed to make sure the pupil knows where the toilets are, what to do about lunch, where to go for different lessons, and to introduce them to their teachers give the new pupil with a card which gives vital information to staff coming into contact with them during the first few days and means they don''t have to repeat themselves endlessly Young people from refugee",u,0,0,1,0
19,"The Economist on Friday noted that special schools can cost up to £250,000 per pupil, paid for by the state, and that for-profit providers are moving into the market ( Economist, p.26 ).",u,0,0,1,0
