Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Two in-form teams - Chelsea with seven wins in eight games, Leeds defeated once in 10 Premiership fixtures - produced a match memorable almost solely for the number of times the referee Graham Poll reached for his cards in the first half.",m,0,1,0,0
2,"Morley went down under the challenge, but the referee waved away penalty claims.",u,0,0,1,0
3,That doesn''t stop the Frenchman hitting out at referee Graham Poll for not giving his side a penalty that would almost certainly have earned them a draw.,m,0,1,0,0
4,Lee Bullen is ruing the fact that Wednesday played well against Tranmere just to be robbed by a referee who spoiled the game and gifted Rovers two controversial goals.,u,0,0,1,0
5,"The sending-off could prove crucial to Swansea''s chances of automatic promotion from the Third Division as the dismissal holds a three-match suspension because referee Keith Hill, from Royston, Hertfordshire, sent Bound off for serious foul play.",m,0,1,0,0
6,"A 10 minute break in play ensued, as the referee stopped the game due to a hole in the pitch, but two buckets of sand and a breathless grounds man later play recommenced.",u,0,0,1,0
7,"I have spoken to the referee since, and I said to him: ""Bad decision that one.",m,0,1,0,0
8,"Immi666 | 28/06/06 | 9 answers Last answer 30/06/06 Football Which World Cup referee, a Teacher by profession, was once banned by his own country, for disallowing a controversial goal after watching the video clippings? v_cmohan44 v_cmohan44 | 28/06/06 | 1 answer on 28/06/06 Football When did Pele and Danny McGrain play against each other? ashollis | 28/06/06 | 2 answers Last answer 28/06/06 Henman V Federer HA HA Good luck ""tiger Tim"" (have you ever seen anyone less tiger like than Tim flippin'' Henman??",m,0,1,0,0
9,"A former qualified referee, he was also chairman of the World Amateur Golf Council.",m,0,1,0,0
10,"Those that played yesterday performed minor miracles in defence, under severe intimidation at times - which eventually led to the referee deciding he''d had quite enough thank you, and proffering a yellow card to three of the home players.",m,0,1,0,0
11,Referee: D.,d,0,0,0,1
12,Saturday''s referee will be Anthony Bates from Staffordshire who is now in his eleventh year as a football league referee.,m,0,1,0,0
13,"Mark Munday punched a cross off the head of the waiting Steve Butler and a clear second penalty was awarded, but in keeping with the frustrating tone of the evening so far, the referee produced just a yellow card for deliberate handball.",u,0,0,1,0
14,"Meanwhile, Doncaster manager John Buckley revealed he would send off the twins if he was a referee.",m,0,1,0,0
15,Lathom called for the referee.,u,0,0,1,0
16,"Katy who lives in Peterlee and is also a qualified football referee, has moved back to her native area from Bognor Regis to become self-employed with the help of the North East Business & Innovation Centre (BIC) - based in Sunderland but a resource for the whole region.",f,1,0,0,0
17,According to the Dominican Republic''s Trade Ambassador: ''The WTO was supposed to have been an impartial referee of common rules ... it hasn''t turned out like that.,d,0,0,0,1
