Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,IWG secretary to ensure that all material submitted by stakeholders to IWG is registered and also publicised within CoRWM.,u,0,0,1,0
2,"and Recoveries in the Holocene, September 2002, Brunel, West London Milankovith and Plio-Pleistocene vegetation succession from 2.6 to 0.9 Ma, Ankara, 1997 Publications Books Articles Chapters Contributions to learned societies 2003-2007 INQUA (International Quaternary): Full member of the Commission of Palaeobiology and Human Evolution 1999-2003, INQUA (International Quaternary): secretary of the Holocene commission leader of one of the INQUA working groups in the Palaeoclimate commission: Vegetation successions at the scale of Milankovitch cycles in between 2.6 and 0.9 Ma 1995-1999, INQUA (International Quaternary): secretary of the Holocene commission leader of one of the INQUA working groups in the Palaeoclimate commission: Vegetation successions at the scale of Milankovitch cycles in between 2.6 and 0.9 Ma member of the INQUA Congress Scientific Programme Committee PAGES (Past Global Change, a core project of International Geosphere-Biosphere Programme): member of the task force on lake drilling 1994- 2002 Research grants November 2003 Isaiah Berlin Israel Travel Grant 2004-2005, ICSU Grant, category I, on "" Dark nature: rapid natural change and human response "".",u,0,0,1,0
3,"His letter to the education secretary follows the publication of a study by the UK''s largest insurer of schools, Zurich Municipal, which explained that arson attacks are damaging an average of 20 schools a week in England and Scotland.",u,0,0,1,0
4,"If you are interested and would like to hear more, please contact our secretary or any club member.",u,0,0,1,0
5,"Benefits and features Epress is a researcher and a filing system, a secretary and an administrative assistant, an electronic channel and reminder service, an intelligent guide and letter-writer, a monitor of progress and a prompt to action.",d,0,0,0,1
6,"All scripts will be checked against the attendance registers by the examinations secretary, and posted by first class to the appropriate examiners.",u,0,0,1,0
7,As Clerk of the Course I would like to thank all the marshals who came out over the weekend and the team organising who made it all happen:- Jacqui Leech who was a super efficient secretary and did most jobs before rather than after I''d asked for them.,f,1,0,0,0
8,"Gary Weston, secretary of Swindon railworkers union, the RMT (pc) ""I urge all trade unionists to support Andy.",m,0,1,0,0
9,"These are the archives for the week ending 11th March 2005 Annan attacks erosion of rights The UN secretary general, Kofi Annan, launched a fierce attack on Britain and the US yesterday for weakening human rights in the name of the war on terror.",m,0,1,0,0
10,"John Prior, vice chairman and Norman Dannatt, secretary Schneller Orphans read the names of those who had died in the past year.",m,0,1,0,0
11,"Regional secretary of the FSU teachers union and teacher in a technical college in a poorer suburb of Paris : ""Respecting young people doesn''t mean that anything goes - burning cars and schools is unacceptable.",u,0,0,1,0
12,"(10) Tom Mann , Memoirs , (1923) Ben Tillett, general secretary of the Tea Operatives'' and General Labourers'' Union, would pour forth invectives upon all opponents, would reach the heart''s core of the dockers by his description of the way in which they had to beg for work and the paltry pittance they received, and by his homely illustrations of their life as it was and as it should be.",m,0,1,0,0
13,"Constitution i) Any proposed amendments to the constitution must be conveyed in writing to the secretary at least seven days prior to the date of an up-coming general meeting, and shall be passed only by a majority vote cast at said meeting. ii) Copies of the constitution shall be available to any interested party from the secretary upon request.",u,0,0,1,0
14,"Both were members of the Council of the Cremation Society and Mr. Swinburne-Hanham, who had succeeded Mr. William Eassie as the honorary secretary of the society, had already played a decisive part in the history of the Cremation Movement by assisting at the cremation ceremony which took place at Blandford, Dorset, in 1882 in opposition to the ruling of the Home Secretary. 1902 also saw the opening of the Leicester Crematorium which was established by the Borough Council on the instigation of the local branch of the Cremation Society.",m,0,1,0,0
15,"Sue Renwick, booking secretary, Tel: 01434 602888",f,1,0,0,0
16,SECRETARY RUMSFELD: I''ll say what we always say.,u,0,0,1,0
17,The direct decision to withdraw this support (aside from the Home secretary) was taken by the National Asylum Support Service (NASS) who made judgements solely on answers given on a form.,u,0,0,1,0
18,"The campaign, being called ''A Level of Pride'', which is backed by education secretary Charles Clarke, will wish students preparing to take their A Levels this year good luck.",m,0,1,0,0
19,"That''s not exactly a view shared by UN''s deputy secretary general, Mark Malloch Brown who thinks that Blair should take a back seat over Lebanon.",m,0,1,0,0
20,"The fascist home secretary is capitalising on concern over international terrorism and crime to rush through ""superficially attractive and populist measures"" such as detention without trial, derogation from the European convention on human rights, and proposed introduction of ID cards, he said.",u,0,0,1,0
21,GMB agrees ballot delay (129 words) Union news Paul Kenny will stay on as acting general secretary of the GMB general union until the investigation into allegations against former general secretary Kevin Curran is complete.,m,0,1,0,0
22,""" ""Pe galm,""said the secretary.",u,0,0,1,0
23,"Speakers included NUS president Mandy Telford who commented that â€ ̃fees would entrench elitism, preserving the top universities as the bastion of the middle classesâ€TM and ATL general secretary Dr Mary Bousted, who said that â€ ̃it is deeply disappointing that a Labour government, with a social partnership agenda, can despite all available evidence continue with this misguided and divisive policyâ€TM.",f,1,0,0,0
24,"American basketball star Dennis Rodman confides that he doesn''t know how he''ll get through 23 days without sex; Faria Alam, former secretary at the FA and lover of Sven, might equally struggle to get through a fortnight without an older sporting icon.",f,1,0,0,0
25,At the AGM in December it was recommended that the subscriptions would remain at £20.00 . These are payable to the secretary now.,u,0,0,1,0
26,"New Mexico Gov. Bill Richardson (D), who served as energy secretary under President Clinton , kicked off the retreat with a feisty call to arms: ""Let''s face it, if we wait around for the federal government to act, we aren''t going to see anything happen,"" he said.",m,0,1,0,0
27,"This presented me with a slight problem, in that it could reasonably be assumed that I, the patient, would already know any song that I, the doctor, knew, so I got my long-suffering secretary to fetch me an album at random from a music shop.",u,0,0,1,0
28,"paying poverty wages "" Battles In Europe: Leaders'' fear of effective strikes The jailing of José Bové is a signal by France''s Tory government of its determination to carry through a wide-ranging assault on welfare provision, workers and wider social movements "" What''s happening in Iraq?: Things get sticky for the occupiers Alex Callinicos looks at how things are starting to go badly wrong for US and British forces two months after the official end of the war "" The future of the movement: The mood is bubbling in Britain Mark Serwotka, general secretary of the civil servants'' union PCS, spoke to Socialist Worker as part of our series on the future for the left "" Unity to stop BNP Anti-Nazis, trade unionists and people from different political backgrounds came together last Saturday to oppose the Nazi British National Party Letters "" Wales is no advert for sticking with Labour | Welsh Labour | Politics at work | FBU leaders not only ones to blame | School against deportations | Awkward squad are a good sign | News & Reports "" Amicus-AEEU conference: A breath of fresh air sweeps through union",m,0,1,0,0
29,"Nigel White, secretary of the Stilton Cheesemakers Association, which oversees the UK''s seven licensed Stilton producers, said ""amicable"" negotiations with the FSA were continuing.",m,0,1,0,0
