Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,"Although Elizabeth''s day goes further down hill when Liam, the shop manager, calls to say that he''s taken a job with a previous employer in a new venture and won''t be coming back ... Wednesday 13th December Lynda does not like her Christmas hamper.",m,0,1,0,0
2,"Given this scenario, what help is the local shop manager given in creating a setting for effective voluntary effort?",u,0,0,1,0
3,"Prior to starting the day''s work, the print shop manager goes round each lamp with a Pocket PC, clicking on the sensor associated with each lamp to establish that it is producing the required amount of ultra violet light.",u,0,0,1,0
4,Where to buy: www.talesfromearth.com Rock-a-bye-baby ''Possibly the most beautiful wooden rocker I have ever seen'' says the babyworld shop manager.,u,0,0,1,0
5,Charity shop given rare ''Lord of the Rings'' A charity shop manager said today she was amazed to receive a set of first edition Lord of the Rings books handed over by an anonymous customer... more 29.03.04 . Folklorist''s priceless collection finds a home The lifework of the late legendary American folklorist Alan Lomax has been acquired by the American Folklife Center in the Library of Congress... more 29.03.04.,f,1,0,0,0
6,"The Library Shop also supports and promotes quality local and Welsh art by offering a mix of well-known and established artists, as well as the up and coming and new, the opportunity to display and sell their work,"" said Helena Ní Shuilleabháin, the shop manager.",f,1,0,0,0
7,"Eventually, I was hired as a shop manager in Bradford, working there for 9 years.",u,0,0,1,0
8,"John Kamara spent the best part of 20 years fighting to prove his innocence in the murder of John Suffield, a betting shop manager.",m,0,1,0,0
9,"MBE For services to Oxfam in Lanarkshire She works as volunteer shop manager for Oxfam in Blankburgh, Lanarkshire, one of the most profitable volunteer-run Oxfam shops in the country.",f,1,0,0,0
10,"If you would like to volunteer in our Charity Shop, whether it be for a few hours a week, half a day or even more, then please contact the shop manager, Ms Judy Huspeth, on 020 8649 9306.",f,1,0,0,0
11,She is invited to a lesbian club by Saint (Sarah Jane Potts) a sex shop manager and part time DJ only to be ignored upon arrival.,f,1,0,0,0
12,Body shop manager must be culturally relevant years the suv.,u,0,0,1,0
13,"The stall was even big enough to get a reaction from a local shop manager, who was adamant that young people get paid what they deserve.",u,0,0,1,0
14,Betting shop manager: Prospects Web - profile of a betting shop manager from the official UK graduate careers website.,u,0,0,1,0
15,"If this wasnâ€TMt enough, each item had to be written in against itâ€TMs estimate in percentages, all this bumph was sent overnight by each shop manager on a slip of paper about two feel long and just over half an inch wide, they were torn out of a book they were given for this purpose.",u,0,0,1,0
16,"But the shop manager is given no help in understanding volunteer motivation, working with a variety of work ethics, managing the tensions between volunteers and paid staff, developing skills and recognising development needs.",u,0,0,1,0
17,"Once a shop manager proved his worth to the company, he was allowed to start his own private business within the Hagstrom store - selling accessories.",m,0,1,0,0
18,""" One man is already serving life for the murder of Toxteth betting shop manager John Suffield in 1981, but another man who carried out the attack with him is still to be found.",m,0,1,0,0
19,"'' Theresa Best, Barnardo''s shop manager, Littlehampton",f,1,0,0,0
20,He was always very keen to join the RAF and from leaving school to joining he worked for me first in my building company and then as my shop manager.,m,0,1,0,0
21,"Malignant melanoma diagnosis Following a minor surgical procedure Ms B, a 30-year-old shop manager, attended her GP surgery for wound inspection and a change of dressings.",f,1,0,0,0
