Task,Subj,SubjGender,Handedness,BottomGender,BottomProf,GenderCond,HierarchyCond,HighPosition,ItemNo,LowPosition,Resp,RT,PairName,LogRT,LogComp.RT,ACC,GenderPower,DoubleMatch,PickedGender
powerless,1,female,right,male,dancer,FemaleTop,TopPower,dance instructor,20,dancer,down,2258,dance_instructor:dancer,7.722234744709607,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,female,dentist,MaleTop,BottomPower,dentist,8,assistant,up,1945,dentist:assistant,7.573017256052546,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,male,captain,FemaleTop,BottomPower,captain,3,sailor,up,1912,captain:sailor,7.555905093611346,NA,TRUE,male=powerful,no match,male
powerless,1,female,right,male,vet,FemaleTop,BottomPower,vet,19,veterinary assistant,up,1687,vet:assistant,7.430707082545968,NA,TRUE,male=powerful,no match,male
powerless,1,female,right,male,landowner,FemaleTop,BottomPower,landowner,32,labourer,up,1669,landowner:labourer,7.419979923661835,NA,TRUE,male=powerful,no match,male
powerless,1,female,right,female,employee,MaleTop,TopPower,employer,10,employee,down,2472,employer:employee,7.812782818577581,7.044905117129371,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,female,servant,MaleTop,TopPower,monarch,13,servant,down,2469,monarch:servant,7.81156848934518,7.313886831633462,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,male,factory manager,FemaleTop,BottomPower,factory manager,23,worker,up,1750,factory_manager:worker,7.4673710669175595,NA,TRUE,male=powerful,no match,male
powerless,1,female,right,female,nurse,MaleTop,TopPower,doctor,9,nurse,down,1773,doctor:nurse,7.480428306074208,NA,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,male,footballer,FemaleTop,TopPower,referee,12,footballer,down,2506,referee:footballer,7.826443135456014,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,male,actor,FemaleTop,TopPower,director,1,actor,down,2109,director:actor,7.653969180478774,6.84587987526405,TRUE,female=powerful,no match,female
powerless,1,female,right,female,shop manager,MaleTop,BottomPower,shop manager,18,cashier,up,2253,shop_manager:cashier,7.720017940432244,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,male,judge,FemaleTop,BottomPower,judge,6,law clerk,up,2264,judge:clerk,7.724888439323074,6.981934677156389,TRUE,male=powerful,no match,male
powerless,1,female,right,female,vet,MaleTop,BottomPower,vet,19,veterinary assistant,up,1684,vet:assistant,7.428927194802272,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,male,monarch,FemaleTop,BottomPower,monarch,13,servant,up,1921,monarch:servant,7.560601162768557,NA,TRUE,male=powerful,no match,male
powerless,1,female,right,male,bank clerk,FemaleTop,TopPower,bank manager,29,bank clerk,down,1468,bank_manger:clerk,7.291656209174461,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,female,labourer,MaleTop,TopPower,landowner,32,labourer,down,1227,landowner:labourer,7.112327444710911,NA,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,female,law clerk,MaleTop,TopPower,judge,6,law clerk,down,1845,judge:clerk,7.520234556474628,NA,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,female,surgeon,MaleTop,BottomPower,surgeon,15,patient,up,1638,surgeon:patient,7.401231264413015,6.799055862058796,TRUE,female=powerful,no match,female
powerless,1,female,right,male,officer,FemaleTop,BottomPower,officer,24,cadet,up,2679,officer:cadet,7.893198869544609,6.859614903654202,TRUE,male=powerful,no match,male
powerless,1,female,right,male,nurse,FemaleTop,TopPower,doctor,9,nurse,down,1203,doctor:nurse,7.0925737159746784,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,male,pot washer,FemaleTop,TopPower,chef,4,cook,down,1307,chef:cook,7.175489713624222,6.709304340258298,TRUE,female=powerful,no match,female
powerless,1,female,right,female,veterinary assistant,MaleTop,TopPower,vet,19,veterinary assistant,down,1481,vet:assistant,7.300472814267799,NA,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,female,kitchen porter,MaleTop,TopPower,cook,30,kitchen porter,down,1212,cook:porter,7.10002716662926,6.630683385642372,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,female,pot washer,MaleTop,TopPower,chef,4,cook,down,1312,chef:cook,7.179307969504034,NA,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,male,conductor,FemaleTop,BottomPower,conductor,7,musician,up,2505,conductor:musician,7.826044013518965,NA,TRUE,male=powerful,no match,male
powerless,1,female,right,male,bank manager,FemaleTop,BottomPower,bank manager,29,bank clerk,up,1982,bank_manger:clerk,7.591861714889934,NA,TRUE,male=powerful,no match,male
powerless,1,female,right,female,captain,MaleTop,BottomPower,captain,3,sailor,up,2222,captain:sailor,7.706162970199576,6.511745329644728,TRUE,female=powerful,no match,female
powerless,1,female,right,male,pilot,FemaleTop,BottomPower,pilot,11,flight attendant,up,2082,pilot:flight_attendant,7.641084249174914,NA,TRUE,male=powerful,no match,male
powerless,1,female,right,male,musician,FemaleTop,TopPower,conductor,7,musician,down,1742,conductor:musician,7.462789157412448,6.654152520183219,TRUE,female=powerful,no match,female
powerless,1,female,right,female,waiter,MaleTop,TopPower,restaurant owner,28,waiter,down,1467,restaurant_owner:waiter,7.2909747781429814,NA,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,male,proofreader,FemaleTop,TopPower,publisher,26,proofreader,down,2774,publisher:proofreader,7.928045600874777,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,female,professor,MaleTop,BottomPower,professor,16,student,up,1228,professor:student,7.113142108707088,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,male,student,FemaleTop,TopPower,professor,16,student,down,1624,professor:student,7.392647520721623,NA,TRUE,female=powerful,no match,female
powerless,1,female,right,male,restaurant owner,FemaleTop,BottomPower,restaurant owner,28,waiter,up,2479,restaurant_owner:waiter,7.8156105320351905,NA,TRUE,male=powerful,no match,male
powerless,1,female,right,female,musician,MaleTop,TopPower,conductor,7,musician,down,1750,conductor:musician,7.4673710669175595,NA,TRUE,male=powerful,male powerful on top,male
powerless,1,female,right,female,conductor,MaleTop,BottomPower,conductor,7,musician,up,2113,conductor:musician,7.655864017616056,NA,TRUE,female=powerful,no match,female
